Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0000,   1.0000, 461.2326, 402.9303, 522.5925
1950.0000,   2.0000, 276.8800, 219.1247, 340.0715
1950.0000,   3.0000, 482.4578, 420.8746, 559.2738
1950.0000,   4.0000, 548.2873, 478.1964, 612.7571
1950.0000,   5.0000,  82.8911,  19.1358, 138.0216
1950.0000,   6.0000,  31.7595, -16.5393,  83.6964
1950.0000,   7.0000,  17.5810, -25.8335,  64.5610
1950.0000,   8.0000, -17.6129, -62.7161,  28.5823
1950.0000,   9.0000,  38.2341, -10.1150,  83.2165
1950.0000,  10.0000,  63.8083,  -6.3253, 125.6893
1950.0000,  11.0000, 136.7524,  84.1864, 189.9641
1950.0000,  12.0000, 305.3817, 234.5088, 358.1861
1951.0000,   1.0000, 265.4087, 220.2541, 311.6375
1951.0000,   2.0000, 406.1329, 342.7676, 468.3672
1951.0000,   3.0000, 419.0983, 339.9473, 503.1043
1951.0000,   4.0000, 391.0626, 338.6982, 460.7483
1951.0000,   5.0000,  92.3591,  20.2540, 153.8498
1951.0000,   6.0000,  57.9375,   1.9653, 109.9391
1951.0000,   7.0000,  12.5344, -48.7087,  58.2439
1951.0000,   8.0000,   0.9536, -42.7253,  42.6577
1951.0000,   9.0000,  -4.7046, -56.2273,  42.3419
1951.0000,  10.0000,  62.7298,   2.5447, 112.4223
1951.0000,  11.0000, 156.1658, 108.8098, 208.4886
1951.0000,  12.0000, 192.7319,  94.8698, 247.4842
1952.0000,   1.0000, 461.8889, 404.9137, 519.6416
1952.0000,   2.0000, 250.6124, 189.9249, 309.4710
1952.0000,   3.0000, 409.9128, 344.8745, 490.3390
1952.0000,   4.0000, 346.1333, 290.4844, 409.0966
1952.0000,   5.0000, 122.1285,  63.9478, 180.2373
1952.0000,   6.0000,   5.7095, -44.3496,  70.1051
1952.0000,   7.0000,  -9.5102, -47.9371,  42.1553
1952.0000,   8.0000,   1.1781, -36.4967,  43.5983
1952.0000,   9.0000,   0.0956, -42.9353,  46.9506
1952.0000,  10.0000, -15.6308, -75.9426,  39.2402
1952.0000,  11.0000,  69.3888,  17.2044, 116.6191
1952.0000,  12.0000,  90.9960,  20.9591, 159.0298
1953.0000,   1.0000,  93.0474,  37.8576, 158.0418
1953.0000,   2.0000,  71.8116,   8.2816, 129.7838
1953.0000,   3.0000, 270.7062, 210.0677, 350.1609
1953.0000,   4.0000, 180.7215, 132.3026, 248.3335
1953.0000,   5.0000, 116.8948,  64.7866, 169.4790
1953.0000,   6.0000,  79.7943,  27.4223, 123.8434
1953.0000,   7.0000,  23.0156, -25.8564,  67.0707
1953.0000,   8.0000,  26.2165, -15.7519,  72.3537
1953.0000,   9.0000, -27.1398, -81.4751,  30.9914
1953.0000,  10.0000, -34.5930, -95.7078,  18.9248
1953.0000,  11.0000,  20.4500, -47.1315,  84.8774
1953.0000,  12.0000,  39.5883, -29.6879, 111.0232
1954.0000,   1.0000,  51.1145,   1.2567, 113.8554
1954.0000,   2.0000, 481.2555, 427.6271, 541.9889
1954.0000,   3.0000, 463.2486, 407.4670, 530.2897
1954.0000,   4.0000, 347.0746, 288.1671, 415.9890
1954.0000,   5.0000,  66.1881,  -6.5519, 122.1298
1954.0000,   6.0000,  48.4270,   2.0100,  92.4970
1954.0000,   7.0000, -18.0737, -57.1911,  25.5376
1954.0000,   8.0000, -20.3977, -66.8705,  20.1382
1954.0000,   9.0000,   9.4543, -45.8158,  65.8185
1954.0000,  10.0000, 248.2933, 193.9324, 294.2995
1954.0000,  11.0000, 102.2000,  46.6951, 152.6278
1954.0000,  12.0000, 138.7672,  72.8081, 206.5526
1955.0000,   1.0000, 234.8845, 190.6502, 288.2562
1955.0000,   2.0000, 217.4642, 158.0309, 277.5804
1955.0000,   3.0000, 444.3552, 379.1559, 511.5593
1955.0000,   4.0000, 215.9437, 146.7904, 285.5450
1955.0000,   5.0000,  29.8697, -47.9422,  82.3643
1955.0000,   6.0000,   8.6223, -40.3793,  65.5910
1955.0000,   7.0000,  -5.0309, -47.2855,  38.7504
1955.0000,   8.0000, -22.0482, -74.4223,  20.2795
1955.0000,   9.0000,  26.7021, -10.1115,  82.3510
1955.0000,  10.0000,  97.2754,  39.4294, 142.8225
1955.0000,  11.0000, 130.7254,  84.3971, 184.4599
1955.0000,  12.0000, 124.5514,  52.5549, 188.2753
1956.0000,   1.0000,  27.4977, -23.3118,  91.7356
1956.0000,   2.0000,  95.7266,  34.6307, 145.5850
