Year,Month,Median,2.5 Percentile,97.5 Percentile
1950,   1,4753,4630,4862
1950,   2,4268,4157,4382
1950,   3,4309,4191,4419
1950,   4,5043,4944,5185
1950,   5,4957,4872,5052
1950,   6,5124,4947,5211
1950,   7,5268,5175,5344
1950,   8,5304,5216,5443
1950,   9,5361,5294,5431
1950,  10,5413,5333,5495
1950,  11,5329,5186,5448
1950,  12,5353,5210,5530
1951,   1,4643,4502,4753
1951,   2,4759,4623,4848
1951,   3,5382,5287,5495
1951,   4,5590,5513,5759
1951,   5,5723,5642,5845
1951,   6,5859,5699,5963
1951,   7,5994,5906,6066
1951,   8,6050,5945,6164
1951,   9,6013,5922,6080
1951,  10,6122,6044,6215
1951,  11,6143,6014,6239
1951,  12,6183,6033,6300
1952,   1,6299,6181,6402
1952,   2,5935,5816,6049
1952,   3,6095,6013,6212
1952,   4,6346,6257,6494
1952,   5,6308,6207,6440
1952,   6,6433,6270,6548
1952,   7,6431,6358,6500
1952,   8,6531,6446,6638
1952,   9,6497,6431,6580
1952,  10,6354,6294,6443
1952,  11,6135,6022,6221
1952,  12,6127,5995,6259
1953,   1,5967,5844,6077
1953,   2,5829,5713,5944
1953,   3,5968,5828,6055
1953,   4,5947,5873,6086
1953,   5,6155,6066,6258
1953,   6,6274,6132,6388
1953,   7,6351,6256,6440
1953,   8,6321,6254,6437
1953,   9,6200,6122,6302
1953,  10,6084,6017,6148
1953,  11,5995,5879,6084
1953,  12,5864,5740,6044
1954,   1,4970,4831,5068
1954,   2,4740,4618,4859
1954,   3,5882,5797,5975
1954,   4,5809,5714,5967
1954,   5,5885,5772,6018
1954,   6,6013,5902,6126
1954,   7,6128,6025,6238
1954,   8,6078,6012,6200
1954,   9,6018,5950,6097
1954,  10,6255,6182,6329
1954,  11,6143,6006,6282
1954,  12,6046,5939,6205
1955,   1,5856,5724,5955
1955,   2,5417,5312,5535
1955,   3,5921,5785,6027
1955,   4,5871,5776,6025
1955,   5,5887,5797,6020
1955,   6,5939,5787,6040
1955,   7,5935,5865,6047
1955,   8,5787,5689,5903
1955,   9,5643,5584,5718
