Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0000,   1.0000,  34.8351, -22.6942, 128.6444
1950.0000,   2.0000,-139.3332,-206.0530,-112.5324
1950.0000,   3.0000, 201.2196, 164.7370, 235.0077
1950.0000,   4.0000,  78.6796,  36.2264, 129.1148
1950.0000,   5.0000,  21.4370, -24.5357,  67.8947
1950.0000,   6.0000,   8.1112, -79.9243,  31.6471
1950.0000,   7.0000, -35.5525, -93.3153,  58.4386
1950.0000,   8.0000, -33.1507, -99.2471,  -6.1167
1950.0000,   9.0000,   5.7342, -30.8524,  39.2965
1950.0000,  10.0000, -23.0715, -65.3418,  27.2775
1950.0000,  11.0000,  46.1390,   0.4975,  92.5870
1950.0000,  12.0000,  -4.5918, -92.2711,  18.8658
1951.0000,   1.0000, -72.7052,-130.5473,  21.4129
1951.0000,   2.0000,  90.0823,  23.3378, 116.6091
1951.0000,   3.0000,  93.6825,  56.8694, 127.2605
1951.0000,   4.0000,  61.4702,  19.2517, 111.8169
1951.0000,   5.0000,  57.9930,  13.0219, 105.0815
1951.0000,   6.0000,  16.5622, -71.1765,  39.9643
1951.0000,   7.0000, -31.4652, -89.1767,  62.1759
1951.0000,   8.0000, -37.1104,-102.8980, -10.5078
1951.0000,   9.0000,  -6.9091, -43.4910,  26.5975
1951.0000,  10.0000,  -2.2308, -44.7156,  48.0281
1951.0000,  11.0000,  41.8372,  -3.2705,  88.2757
1951.0000,  12.0000,  94.7530,   6.4825, 118.0354
1952.0000,   1.0000,-126.6502,-184.3974, -32.7328
1952.0000,   2.0000,  55.1443, -10.3785,  81.8368
1952.0000,   3.0000,  39.9626,   3.6419,  73.2398
1952.0000,   4.0000,  65.9876,  23.0867, 116.2490
1952.0000,   5.0000,  83.4744,  38.0726, 129.7456
1952.0000,   6.0000,  -0.4090, -88.1048,  22.7055
1952.0000,   7.0000, -60.4500,-118.2382,  33.2464
1952.0000,   8.0000, -37.0908,-102.8298, -10.6267
1952.0000,   9.0000, -11.1142, -47.2742,  21.9836
1952.0000,  10.0000, -85.0406,-127.5139, -35.1989
1952.0000,  11.0000,  16.0759, -29.0433,  62.3684
1952.0000,  12.0000,   3.7504, -84.4382,  26.9809
1953.0000,   1.0000, -23.1395, -80.7011,  70.4078
1953.0000,   2.0000, -43.0273,-108.2612, -16.6778
1953.0000,   3.0000,  73.0873,  36.3703, 106.2018
1953.0000,   4.0000,  40.1495,  -2.6464,  90.1639
1953.0000,   5.0000,  79.2691,  34.1437, 125.6268
1953.0000,   6.0000,  12.4970, -75.0904,  35.5620
1953.0000,   7.0000, -35.6903, -93.3279,  58.1004
1953.0000,   8.0000, -41.1283,-106.5084, -14.9580
1953.0000,   9.0000, -24.0825, -60.3684,   9.2035
1953.0000,  10.0000, -31.4082, -74.3017,  18.6576
1953.0000,  11.0000,  -9.4037, -54.7767,  36.6828
1953.0000,  12.0000, -37.6547,-125.0921, -14.5679
1954.0000,   1.0000,-213.8694,-271.4280,-120.3353
1954.0000,   2.0000, 186.3216, 120.8754, 212.6361
1954.0000,   3.0000, 110.0713,  73.6152, 143.4124
1954.0000,   4.0000,  65.8128,  23.2709, 116.3979
1954.0000,   5.0000,  25.6801, -19.8087,  71.3876
1954.0000,   6.0000,  33.9183, -53.7335,  56.9430
1954.0000,   7.0000, -48.1129,-105.6619,  45.8978
1954.0000,   8.0000, -49.6151,-115.1848, -23.4166
1954.0000,   9.0000,  18.8566, -17.9450,  51.8990
1954.0000,  10.0000,  34.8589,  -7.7809,  85.5443
1954.0000,  11.0000,   3.4039, -41.6732,  49.1920
1954.0000,  12.0000,  32.8292, -55.0912,  55.9631
1955.0000,   1.0000,-106.0614,-163.6355, -12.8160
1955.0000,   2.0000,  44.1335, -21.4354,  70.3231
1955.0000,   3.0000,  64.6745,  28.2703,  98.0226
1955.0000,   4.0000,  18.7034, -23.9970,  69.2639
1955.0000,   5.0000,  38.0174,  -6.9196,  83.6221
1955.0000,   6.0000,  -0.1648, -88.2350,  22.6305
1955.0000,   7.0000, -52.1758,-109.8181,  41.9862
1955.0000,   8.0000, -70.1890,-135.7448, -44.0223
1955.0000,   9.0000, -15.5103, -51.9208,  17.8120
1955.0000,  10.0000, -43.7317, -86.4309,   6.6866
1955.0000,  11.0000, -17.9833, -62.7253,  27.9556
1955.0000,  12.0000,  12.3848, -75.7998,  34.9672
1956.0000,   1.0000,-362.7804,-420.3640,-269.2102
1956.0000,   2.0000, 103.6702,  38.2368, 129.7729
1956.0000,   3.0000, 221.9185, 185.8139, 255.1981
1956.0000,   4.0000, 130.0391,  87.4111, 180.0920
1956.0000,   5.0000,  58.5641,  13.8474, 104.4221
1956.0000,   6.0000,  12.8329, -75.8286,  35.5935
1956.0000,   7.0000, -27.5725, -84.9583,  66.5200
1956.0000,   8.0000, -24.7867, -90.4628,   1.3525
1956.0000,   9.0000, -28.3528, -64.7447,   5.0912
1956.0000,  10.0000, -47.9487, -90.5705,   2.5969
1956.0000,  11.0000, -26.5320, -71.3131,  19.1871
1956.0000,  12.0000,   4.1023, -83.8836,  26.8164
1957.0000,   1.0000,-160.0833,-217.4205, -66.2388
1957.0000,   2.0000,  98.9817,  33.1542, 125.1362
1957.0000,   3.0000,  52.2996,  15.8067,  85.5031
1957.0000,   4.0000,  87.2066,  44.6549, 137.6802
1957.0000,   5.0000,  62.6017,  17.9878, 108.3674
1957.0000,   6.0000, -17.1098,-105.0705,   5.3454
1957.0000,   7.0000,  -2.4206, -60.0585,  91.3048
1957.0000,   8.0000, -66.0080,-131.2752, -39.9902
1957.0000,   9.0000,   5.8617, -30.5629,  38.6856
1957.0000,  10.0000, -43.8193, -86.3689,   6.0196
1957.0000,  11.0000,  -0.8798, -45.3820,  44.6287
1957.0000,  12.0000,  45.5685, -42.2344,  68.0759
1958.0000,   1.0000,-304.9545,-362.4170,-211.2985
1958.0000,   2.0000,  99.1423,  33.7370, 124.9938
1958.0000,   3.0000,  56.3583,  20.0903,  89.2157
1958.0000,   4.0000,  91.5187,  48.7640, 141.6412
1958.0000,   5.0000,  58.4272,  14.2878, 104.3133
1958.0000,   6.0000,  12.7450, -75.3610,  35.2789
1958.0000,   7.0000, -15.1240, -72.8293,  78.5961
1958.0000,   8.0000, -49.6852,-114.4843, -23.7672
1958.0000,   9.0000,  10.2729, -26.0021,  43.3516
1958.0000,  10.0000, -31.3036, -74.0877,  18.8650
1958.0000,  11.0000, -31.1347, -75.1471,  14.9587
1958.0000,  12.0000, -29.0210,-117.1901,  -6.4327
1959.0000,   1.0000, -85.3925,-143.1112,   8.2348
1959.0000,   2.0000,  16.4272, -49.0580,  42.3570
1959.0000,   3.0000, 189.1183, 152.9541, 222.3068
1959.0000,   4.0000,  40.3092,  -2.0598,  89.9961
1959.0000,   5.0000,  78.9779,  34.9808, 125.1202
1959.0000,   6.0000, -12.8311,-101.0709,   9.7915
1959.0000,   7.0000, -52.2792,-109.9395,  41.6247
1959.0000,   8.0000, -24.9747, -89.7986,   1.0386
1959.0000,   9.0000,  -2.6421, -38.1997,  30.9081
1959.0000,  10.0000, -22.7765, -65.4194,  26.9874
1959.0000,  11.0000,  32.8936, -11.1619,  79.0278
1959.0000,  12.0000,  53.8961, -34.5507,  76.4429
1960.0000,   1.0000,-172.3153,-229.9145, -77.9209
1960.0000,   2.0000,  90.2392,  25.5940, 115.8494
1960.0000,   3.0000, 134.9969,  99.4689, 168.6057
1960.0000,   4.0000,  23.4217, -19.6831,  72.8248
1960.0000,   5.0000, 112.4839,  68.4514, 158.2320
1960.0000,   6.0000,  38.6332, -49.3777,  61.0493
1960.0000,   7.0000, -27.4339, -84.8550,  66.5482
1960.0000,   8.0000, -28.9859, -93.3050,  -3.4081
1960.0000,   9.0000,   1.6375, -33.9136,  34.8973
1960.0000,  10.0000, -64.1371,-107.0546, -14.5632
1960.0000,  11.0000, -27.1126, -70.5759,  19.2247
1960.0000,  12.0000,  12.5672, -75.5011,  34.8176
1961.0000,   1.0000,-118.5540,-176.2441, -25.0127
