Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.00,   1.00, 197.86, 189.28, 207.17
1950.00,   2.00, 207.09, 198.98, 215.98
1950.00,   3.00, 195.27, 187.17, 203.25
1950.00,   4.00, 159.25, 152.22, 169.65
1950.00,   5.00, 159.58, 151.91, 170.05
1950.00,   6.00, 159.38, 152.01, 170.26
1950.00,   7.00, 156.29, 148.00, 166.97
1950.00,   8.00, 159.21, 152.37, 169.67
1950.00,   9.00, 161.39, 152.62, 171.18
1950.00,  10.00, 204.26, 195.76, 213.22
1950.00,  11.00, 226.61, 218.53, 235.93
1950.00,  12.00, 211.95, 203.35, 221.20
1951.00,   1.00, 192.73, 183.68, 202.04
1951.00,   2.00, 170.49, 162.76, 179.56
1951.00,   3.00, 176.47, 169.23, 186.19
1951.00,   4.00, 226.77, 218.60, 235.46
1951.00,   5.00, 229.14, 220.67, 238.27
1951.00,   6.00, 229.01, 221.17, 237.65
1951.00,   7.00, 226.84, 218.34, 236.17
1951.00,   8.00, 231.90, 224.11, 240.23
1951.00,   9.00, 235.03, 225.08, 242.88
1951.00,  10.00, 238.11, 229.02, 246.28
1951.00,  11.00, 234.66, 226.21, 243.45
1951.00,  12.00, 212.00, 203.57, 221.35
1952.00,   1.00, 194.91, 186.22, 204.27
1952.00,   2.00, 198.18, 190.00, 206.74
1952.00,   3.00, 207.26, 199.33, 215.21
1952.00,   4.00, 231.79, 223.47, 240.65
1952.00,   5.00, 235.11, 226.52, 243.97
1952.00,   6.00, 234.97, 227.02, 243.56
1952.00,   7.00, 214.85, 206.50, 223.91
1952.00,   8.00, 228.82, 221.32, 237.56
1952.00,   9.00, 244.03, 233.88, 252.59
1952.00,  10.00, 240.95, 231.88, 249.78
1952.00,  11.00, 243.58, 235.57, 252.59
1952.00,  12.00, 223.89, 215.16, 232.98
1953.00,   1.00, 217.72, 208.93, 226.90
1953.00,   2.00, 215.07, 206.86, 223.81
1953.00,   3.00, 210.21, 202.31, 217.72
1953.00,   4.00, 248.72, 240.53, 257.21
1953.00,   5.00, 244.07, 235.32, 252.70
1953.00,   6.00, 240.96, 232.64, 249.61
1953.00,   7.00, 243.68, 235.07, 252.34
1953.00,   8.00, 237.73, 229.55, 246.10
1953.00,   9.00, 238.00, 228.73, 246.76
1953.00,  10.00, 235.02, 225.12, 243.29
1953.00,  11.00, 228.69, 220.41, 238.21
1953.00,  12.00, 218.05, 209.38, 227.09
1954.00,   1.00, 209.79, 201.15, 219.39
1954.00,   2.00, 204.10, 195.90, 212.39
1954.00,   3.00, 212.21, 204.13, 220.16
1954.00,   4.00, 164.17, 156.71, 174.10
1954.00,   5.00, 178.40, 170.27, 188.60
1954.00,   6.00, 176.24, 168.63, 186.24
1954.00,   7.00, 184.06, 175.70, 193.86
1954.00,   8.00, 231.77, 223.91, 239.52
1954.00,   9.00, 235.07, 225.02, 243.44
1954.00,  10.00, 228.98, 219.76, 237.88
1954.00,  11.00, 223.79, 215.68, 232.47
1954.00,  12.00, 217.87, 209.24, 227.38
1955.00,   1.00, 211.70, 202.50, 221.19
1955.00,   2.00, 215.09, 207.27, 223.38
1955.00,   3.00, 212.17, 204.02, 220.34
1955.00,   4.00, 226.74, 218.60, 235.46
1955.00,   5.00, 224.18, 215.41, 233.39
1955.00,   6.00, 190.30, 182.29, 199.59
1955.00,   7.00, 181.08, 172.70, 190.71
1955.00,   8.00, 195.01, 187.79, 203.91
1955.00,   9.00, 221.08, 212.00, 229.82
1955.00,  10.00, 240.90, 231.00, 249.27
1955.00,  11.00, 234.66, 226.61, 243.51
1955.00,  12.00, 220.76, 212.27, 230.08
1956.00,   1.00, 209.93, 201.48, 219.22
1956.00,   2.00, 207.13, 199.37, 215.82
