Year,Month,Median,2.5 Percentile,97.5 Percentile
 1.9500e+03, 1.0000e+00, 3.7925e+01, 3.0182e+01, 4.5777e+01
 1.9500e+03, 2.0000e+00, 3.8497e+01, 3.1205e+01, 4.5887e+01
 1.9500e+03, 3.0000e+00, 2.9192e+01, 2.2103e+01, 3.6368e+01
 1.9500e+03, 4.0000e+00, 1.4320e+01, 7.2547e+00, 2.1438e+01
 1.9500e+03, 5.0000e+00, 5.4819e+00,-2.0559e+00, 1.3066e+01
 1.9500e+03, 6.0000e+00, 4.1233e+01, 3.3279e+01, 4.9246e+01
 1.9500e+03, 7.0000e+00, 6.6862e+01, 5.8274e+01, 7.5898e+01
 1.9500e+03, 8.0000e+00, 1.0459e+02, 9.5698e+01, 1.1348e+02
 1.9500e+03, 9.0000e+00, 1.4562e+02, 1.3603e+02, 1.5504e+02
 1.9500e+03, 1.0000e+01, 1.2751e+02, 1.1771e+02, 1.3773e+02
 1.9500e+03, 1.1000e+01, 1.8687e+02, 1.7734e+02, 1.9684e+02
 1.9500e+03, 1.2000e+01, 8.2234e+01, 7.3835e+01, 9.0454e+01
 1.9510e+03, 1.0000e+00, 3.1830e+01, 2.4150e+01, 3.9633e+01
 1.9510e+03, 2.0000e+00, 1.6996e+01, 9.5308e+00, 2.4449e+01
 1.9510e+03, 3.0000e+00, 1.6353e+01, 9.1924e+00, 2.3050e+01
 1.9510e+03, 4.0000e+00, 4.9389e+00,-2.2040e+00, 1.2043e+01
 1.9510e+03, 5.0000e+00, 1.4164e+01, 6.6095e+00, 2.1842e+01
 1.9510e+03, 6.0000e+00, 3.2707e+01, 2.4962e+01, 4.0579e+01
 1.9510e+03, 7.0000e+00, 7.7074e+01, 6.8224e+01, 8.6041e+01
 1.9510e+03, 8.0000e+00, 1.2205e+02, 1.1343e+02, 1.3078e+02
 1.9510e+03, 9.0000e+00, 1.7432e+02, 1.6502e+02, 1.8360e+02
 1.9510e+03, 1.0000e+01, 1.5386e+02, 1.4401e+02, 1.6451e+02
 1.9510e+03, 1.1000e+01, 1.6305e+02, 1.5358e+02, 1.7279e+02
 1.9510e+03, 1.2000e+01, 7.6631e+01, 6.7955e+01, 8.4794e+01
 1.9520e+03, 1.0000e+00, 3.1672e+01, 2.3878e+01, 3.9404e+01
 1.9520e+03, 2.0000e+00, 2.2505e+01, 1.5190e+01, 2.9817e+01
 1.9520e+03, 3.0000e+00, 1.9731e+01, 1.2815e+01, 2.6833e+01
 1.9520e+03, 4.0000e+00, 7.1139e+00, 2.7340e-01, 1.4199e+01
 1.9520e+03, 5.0000e+00, 2.8907e+01, 2.1337e+01, 3.6646e+01
 1.9520e+03, 6.0000e+00, 3.4455e+01, 2.7043e+01, 4.2295e+01
 1.9520e+03, 7.0000e+00, 9.9141e+01, 9.1158e+01, 1.0765e+02
 1.9520e+03, 8.0000e+00, 1.1788e+02, 1.0920e+02, 1.2639e+02
 1.9520e+03, 9.0000e+00, 1.6913e+02, 1.5988e+02, 1.7862e+02
 1.9520e+03, 1.0000e+01, 2.3134e+02, 2.2117e+02, 2.4169e+02
 1.9520e+03, 1.1000e+01, 1.0989e+02, 1.0015e+02, 1.1997e+02
 1.9520e+03, 1.2000e+01, 7.5852e+01, 6.7419e+01, 8.4351e+01
 1.9530e+03, 1.0000e+00, 3.3476e+01, 2.5749e+01, 4.1179e+01
 1.9530e+03, 2.0000e+00, 3.3691e+01, 2.6747e+01, 4.1092e+01
 1.9530e+03, 3.0000e+00, 2.0867e+01, 1.3947e+01, 2.7521e+01
 1.9530e+03, 4.0000e+00, 2.3863e+01, 1.6878e+01, 3.0773e+01
 1.9530e+03, 5.0000e+00, 1.6738e+01, 9.2967e+00, 2.3999e+01
 1.9530e+03, 6.0000e+00, 3.2233e+01, 2.4099e+01, 4.0283e+01
 1.9530e+03, 7.0000e+00, 9.3095e+01, 8.5076e+01, 1.0229e+02
 1.9530e+03, 8.0000e+00, 1.1505e+02, 1.0687e+02, 1.2339e+02
 1.9530e+03, 9.0000e+00, 1.8737e+02, 1.7748e+02, 1.9655e+02
 1.9530e+03, 1.0000e+01, 1.4732e+02, 1.3726e+02, 1.5732e+02
 1.9530e+03, 1.1000e+01, 1.4322e+02, 1.3350e+02, 1.5296e+02
 1.9530e+03, 1.2000e+01, 1.2129e+02, 1.1276e+02, 1.2980e+02
 1.9540e+03, 1.0000e+00, 4.4436e+01, 3.6478e+01, 5.2267e+01
 1.9540e+03, 2.0000e+00, 1.5462e+01, 8.2030e+00, 2.2659e+01
 1.9540e+03, 3.0000e+00, 3.0284e+01, 2.3587e+01, 3.7417e+01
 1.9540e+03, 4.0000e+00, 6.7724e+00,-3.2356e-01, 1.3690e+01
 1.9540e+03, 5.0000e+00, 3.4219e+01, 2.6268e+01, 4.2109e+01
 1.9540e+03, 6.0000e+00, 3.4537e+01, 2.6853e+01, 4.2443e+01
 1.9540e+03, 7.0000e+00, 8.4914e+01, 7.6423e+01, 9.3572e+01
 1.9540e+03, 8.0000e+00, 1.2734e+02, 1.1867e+02, 1.3622e+02
 1.9540e+03, 9.0000e+00, 1.3931e+02, 1.2953e+02, 1.4863e+02
 1.9540e+03, 1.0000e+01, 1.6136e+02, 1.5127e+02, 1.7133e+02
 1.9540e+03, 1.1000e+01, 1.3502e+02, 1.2537e+02, 1.4475e+02
 1.9540e+03, 1.2000e+01, 9.5699e+01, 8.6781e+01, 1.0425e+02
 1.9550e+03, 1.0000e+00, 5.0045e+01, 4.1904e+01, 5.7868e+01
 1.9550e+03, 2.0000e+00, 1.7481e+01, 9.9469e+00, 2.4867e+01
 1.9550e+03, 3.0000e+00, 2.3474e+01, 1.6630e+01, 3.0350e+01
 1.9550e+03, 4.0000e+00, 2.1821e+00,-4.7174e+00, 8.8692e+00
 1.9550e+03, 5.0000e+00, 3.0001e+01, 2.2157e+01, 3.7514e+01
 1.9550e+03, 6.0000e+00, 5.0314e+01, 4.2662e+01, 5.8122e+01
 1.9550e+03, 7.0000e+00, 7.8656e+01, 7.0347e+01, 8.7270e+01
 1.9550e+03, 8.0000e+00, 1.3730e+02, 1.2892e+02, 1.4588e+02
 1.9550e+03, 9.0000e+00, 1.7104e+02, 1.6172e+02, 1.8026e+02
 1.9550e+03, 1.0000e+01, 1.8202e+02, 1.7227e+02, 1.9199e+02
 1.9550e+03, 1.1000e+01, 1.7045e+02, 1.6081e+02, 1.8053e+02
 1.9550e+03, 1.2000e+01, 7.6926e+01, 6.8561e+01, 8.5176e+01
 1.9560e+03, 1.0000e+00, 3.4325e+01, 2.6490e+01, 4.2068e+01
 1.9560e+03, 2.0000e+00, 2.0490e+01, 1.3125e+01, 2.7214e+01
 1.9560e+03, 3.0000e+00, 2.0282e+01, 1.3346e+01, 2.7338e+01
 1.9560e+03, 4.0000e+00, 8.2385e+00, 1.0100e+00, 1.5447e+01
 1.9560e+03, 5.0000e+00, 1.7319e+01, 9.8241e+00, 2.4923e+01
 1.9560e+03, 6.0000e+00, 2.9898e+01, 2.1771e+01, 3.7774e+01
 1.9560e+03, 7.0000e+00, 6.5731e+01, 5.7002e+01, 7.4328e+01
 1.9560e+03, 8.0000e+00, 9.7527e+01, 8.9005e+01, 1.0601e+02
 1.9560e+03, 9.0000e+00, 1.6287e+02, 1.5339e+02, 1.7234e+02
 1.9560e+03, 1.0000e+01, 1.2994e+02, 1.2043e+02, 1.3998e+02
 1.9560e+03, 1.1000e+01, 1.6571e+02, 1.5645e+02, 1.7521e+02
