Year,Month,Median,2.5 Percentile,97.5 Percentile
1950,   1,5952,5724,6151
1950,   2,6145,5867,6389
1950,   3,5769,5528,5995
1950,   4,6303,6053,6543
1950,   5,6392,6160,6626
1950,   6,6175,5997,6386
1950,   7,5997,5751,6213
1950,   8,5857,5632,6040
1950,   9,5644,5434,5846
1950,  10,5685,5429,5889
1950,  11,5652,5468,5882
1950,  12,6064,5787,6285
1951,   1,5908,5669,6123
1951,   2,5993,5726,6380
1951,   3,6105,5876,6406
1951,   4,6718,6500,6955
1951,   5,6750,6513,6979
1951,   6,6615,6390,6880
1951,   7,6496,6199,6703
1951,   8,6292,6091,6503
1951,   9,6049,5864,6235
1951,  10,6076,5859,6256
1951,  11,6161,5972,6427
1951,  12,6342,6142,6595
1952,   1,6696,6445,6890
1952,   2,6710,6457,7038
1952,   3,6938,6679,7126
1952,   4,7387,7189,7660
1952,   5,7373,7132,7610
1952,   6,7013,6825,7194
1952,   7,6778,6592,6975
1952,   8,6663,6456,6869
1952,   9,6519,6343,6721
1952,  10,6523,6366,6731
1952,  11,6167,5934,6345
1952,  12,6040,5774,6246
1953,   1,6193,5923,6379
1953,   2,6369,6118,6684
1953,   3,6264,6054,6489
1953,   4,6580,6404,6830
1953,   5,6510,6238,6818
1953,   6,6392,6193,6638
1953,   7,6451,6255,6657
1953,   8,6408,6259,6576
1953,   9,6268,6100,6480
1953,  10,5997,5809,6197
1953,  11,5635,5459,5886
1953,  12,6198,6001,6452
1954,   1,5882,5659,6085
1954,   2,5711,5419,5993
1954,   3,6180,5935,6441
1954,   4,6238,6084,6486
1954,   5,6685,6441,6901
1954,   6,6489,6213,6695
1954,   7,6194,6036,6427
1954,   8,6244,6002,6484
1954,   9,5978,5743,6194
1954,  10,6493,6291,6696
1954,  11,6312,6105,6523
1954,  12,6200,5953,6442
1955,   1,6406,6157,6644
1955,   2,6277,6012,6590
1955,   3,6710,6414,6949
1955,   4,6821,6630,7041
1955,   5,6945,6741,7205
1955,   6,6612,6408,6786
1955,   7,6195,6035,6432
1955,   8,6209,5994,6424
1955,   9,5752,5571,5960
1955,  10,6050,5850,6249
1955,  11,6148,5881,6419
1955,  12,5744,5481,5977
1956,   1,6062,5871,6248
1956,   2,5362,5119,5732
1956,   3,5153,4873,5392
1956,   4,5722,5496,5939
1956,   5,6129,5886,6380
1956,   6,6161,5887,6364
1956,   7,5954,5686,6174
1956,   8,6106,5832,6339
1956,   9,6073,5892,6275
1956,  10,5554,5313,5772
1956,  11,5969,5759,6166
1956,  12,5457,5159,5701
1957,   1,5443,5250,5660
1957,   2,5228,4965,5470
1957,   3,5393,5057,5606
1957,   4,5737,5510,5994
1957,   5,5884,5669,6081
1957,   6,5842,5607,6104
1957,   7,5845,5601,6097
1957,   8,5930,5728,6110
1957,   9,5633,5411,5814
1957,  10,5402,5262,5589
1957,  11,5655,5355,5856
1957,  12,5360,5113,5631
1958,   1,5456,5233,5659
1958,   2,5123,4930,5417
1958,   3,5021,4791,5262
1958,   4,5242,5010,5454
1958,   5,5328,5015,5562
1958,   6,5201,4975,5403
1958,   7,5282,5063,5541
1958,   8,5293,5079,5517
1958,   9,5165,4971,5382
1958,  10,5004,4808,5189
1958,  11,5361,5190,5588
1958,  12,4998,4752,5226
1959,   1,4762,4545,4999
1959,   2,4993,4699,5293
1959,   3,5135,4923,5330
1959,   4,5485,5288,5771
1959,   5,5773,5555,6024
1959,   6,5728,5568,5968
1959,   7,5618,5445,5839
1959,   8,5246,5103,5416
1959,   9,5194,5037,5383
1959,  10,5203,4937,5437
1959,  11,5258,5079,5507
1959,  12,5036,4722,5270
1960,   1,5486,5304,5722
1960,   2,5418,5142,5674
1960,   3,5176,4862,5409
1960,   4,5583,5256,5859
1960,   5,5982,5777,6210
1960,   6,5938,5735,6203
1960,   7,5896,5644,6109
1960,   8,5792,5590,5983
1960,   9,5850,5650,6027
1960,  10,5856,5672,6045
1960,  11,5681,5497,5922
1960,  12,5712,5509,5934
1961,   1,5332,5160,5545
1961,   2,5298,5049,5631
1961,   3,5456,5249,5727
1961,   4,5762,5574,6015
1961,   5,6374,6089,6606
1961,   6,6205,5955,6396
1961,   7,6004,5806,6242
1961,   8,5915,5750,6212
1961,   9,5918,5664,6090
1961,  10,5801,5612,5991
1961,  11,5502,5320,5758
1961,  12,5636,5407,5936
1962,   1,5331,5091,5555
1962,   2,5203,4934,5447
1962,   3,5106,4843,5372
1962,   4,5576,5344,5878
1962,   5,5889,5708,6055
1962,   6,5388,5219,5618
1962,   7,5437,5256,5676
1962,   8,5380,5204,5564
1962,   9,5239,5055,5476
1962,  10,5243,5030,5470
1962,  11,4948,4742,5161
1962,  12,5286,5058,5490
1963,   1,5039,4838,5190
1963,   2,4871,4695,5144
1963,   3,4532,4341,4753
1963,   4,5183,4915,5433
1963,   5,5557,5334,5845
1963,   6,5573,5399,5756
1963,   7,5194,5002,5369
1963,   8,5097,4909,5289
1963,   9,4733,4563,4922
1963,  10,4665,4459,4849
1963,  11,4791,4581,4989
1963,  12,4877,4672,5046
1964,   1,4189,3991,4447
1964,   2,4039,3833,4344
1964,   3,4795,4579,5046
1964,   4,5235,5000,5435
1964,   5,5414,5224,5649
1964,   6,5152,4917,5348
1964,   7,4919,4714,5144
1964,   8,4988,4759,5245
1964,   9,4633,4470,4877
1964,  10,4711,4544,4882
1964,  11,4571,4415,4791
1964,  12,4566,4238,4767
1965,   1,4758,4569,4978
1965,   2,4623,4276,4913
1965,   3,4931,4632,5126
1965,   4,5133,4907,5407
1965,   5,5293,5105,5542
1965,   6,5370,5176,5568
