Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.00,   1.00, 149.18, 134.93, 163.70
1950.00,   2.00,  94.39,  79.74, 108.56
1950.00,   3.00,  78.89,  64.76,  93.60
1950.00,   4.00,  92.45,  78.64, 107.22
1950.00,   5.00,  38.25,  24.85,  51.68
1950.00,   6.00,  77.30,  63.86,  90.94
1950.00,   7.00,  92.19,  77.29, 105.79
1950.00,   8.00,  68.38,  54.55,  82.85
1950.00,   9.00,  88.39,  74.50, 102.94
1950.00,  10.00,  70.97,  57.13,  85.64
1950.00,  11.00, 134.29, 120.12, 148.84
1950.00,  12.00,  61.43,  47.11,  74.73
1951.00,   1.00,  62.57,  48.66,  76.72
1951.00,   2.00,  68.50,  54.16,  83.30
1951.00,   3.00,  92.01,  77.63, 105.59
1951.00,   4.00,  75.41,  61.47,  88.63
1951.00,   5.00,  66.04,  52.67,  80.44
1951.00,   6.00,  91.27,  76.89, 106.03
1951.00,   7.00,  65.51,  51.04,  79.26
1951.00,   8.00,  44.38,  31.63,  57.69
1951.00,   9.00,  67.20,  53.66,  80.73
1951.00,  10.00,  68.71,  54.48,  82.56
1951.00,  11.00,  97.73,  84.11, 111.76
1951.00,  12.00,  95.15,  81.15, 108.66
1952.00,   1.00,  90.33,  76.39, 103.90
1952.00,   2.00,  43.52,  30.27,  57.44
1952.00,   3.00,  64.34,  50.55,  78.34
1952.00,   4.00,  69.76,  55.90,  83.13
1952.00,   5.00,  82.04,  68.00,  96.88
1952.00,   6.00,  39.16,  26.65,  52.52
1952.00,   7.00,  54.52,  41.59,  68.12
1952.00,   8.00,  75.64,  61.35,  90.00
1952.00,   9.00,  70.78,  56.89,  84.91
1952.00,  10.00,  24.85,  13.35,  37.10
1952.00,  11.00,  61.55,  47.43,  75.08
1952.00,  12.00,  62.59,  49.20,  76.42
1953.00,   1.00,  69.71,  55.96,  84.03
1953.00,   2.00,  29.21,  16.94,  42.20
1953.00,   3.00,  66.54,  52.32,  80.46
1953.00,   4.00,  62.20,  48.79,  75.47
1953.00,   5.00, 101.66,  87.38, 116.85
1953.00,   6.00,  59.07,  44.86,  72.62
1953.00,   7.00,  61.88,  48.40,  75.08
1953.00,   8.00,  60.46,  46.99,  73.37
1953.00,   9.00,  55.89,  42.59,  69.99
1953.00,  10.00,  22.06,  11.66,  34.80
1953.00,  11.00,  57.17,  43.86,  70.54
1953.00,  12.00,  58.28,  45.00,  71.63
1954.00,   1.00,  64.58,  50.43,  78.18
1954.00,   2.00,  72.11,  58.09,  85.66
1954.00,   3.00, 104.79,  91.18, 118.47
1954.00,   4.00, 115.95, 101.50, 129.86
1954.00,   5.00,  33.47,  20.84,  46.12
1954.00,   6.00,  66.12,  51.86,  80.05
1954.00,   7.00,  46.55,  34.04,  59.62
1954.00,   8.00,  74.12,  60.02,  88.97
1954.00,   9.00,  52.52,  38.89,  66.78
1954.00,  10.00, 195.17, 180.68, 209.72
1954.00,  11.00,  56.87,  43.30,  70.76
1954.00,  12.00,  57.87,  44.34,  71.77
1955.00,   1.00,  53.20,  39.56,  67.00
1955.00,   2.00,  53.10,  39.56,  66.99
1955.00,   3.00,  80.53,  65.64,  94.77
1955.00,   4.00,  76.76,  63.08,  90.62
1955.00,   5.00,  46.07,  32.45,  59.56
1955.00,   6.00,  46.31,  33.02,  59.34
1955.00,   7.00,  58.23,  44.52,  71.72
1955.00,   8.00,  97.37,  83.26, 112.11
1955.00,   9.00,  55.70,  42.46,  69.80
1955.00,  10.00, 130.84, 116.43, 145.74
1955.00,  11.00,  82.99,  68.86,  97.64
1955.00,  12.00,  41.57,  28.71,  54.46
1956.00,   1.00,  32.41,  20.59,  45.41
1956.00,   2.00,  63.81,  49.53,  77.42
1956.00,   3.00,  90.08,  75.64, 104.53
1956.00,   4.00,  90.28,  76.33, 104.27
1956.00,   5.00, 125.74, 111.31, 140.03
1956.00,   6.00,  68.01,  54.13,  81.87
1956.00,   7.00,  88.64,  74.18, 102.47
1956.00,   8.00, 142.93, 128.85, 156.98
1956.00,   9.00,  47.02,  33.34,  60.65
1956.00,  10.00,  30.61,  18.71,  44.13
1956.00,  11.00,  51.96,  39.31,  65.02
1956.00,  12.00,  67.45,  54.43,  81.47
1957.00,   1.00,  63.93,  50.40,  77.42
1957.00,   2.00,  52.42,  38.43,  66.57
1957.00,   3.00,  36.04,  23.43,  48.78
1957.00,   4.00, 126.73, 112.74, 141.45
1957.00,   5.00,  79.37,  65.80,  93.64
1957.00,   6.00, 127.27, 112.91, 142.01
1957.00,   7.00,  86.10,  71.48, 100.30
1957.00,   8.00,  52.64,  39.04,  66.43
1957.00,   9.00, 103.85,  90.41, 117.87
1957.00,  10.00,  65.99,  52.04,  80.12
1957.00,  11.00,  69.75,  56.30,  83.91
1957.00,  12.00,  89.26,  75.58, 102.83
1958.00,   1.00,  45.09,  31.93,  59.12
1958.00,   2.00,  27.22,  14.98,  39.72
1958.00,   3.00,  23.44,  12.42,  36.55
1958.00,   4.00,  68.18,  54.06,  81.88
1958.00,   5.00,  49.29,  35.54,  62.37
1958.00,   6.00, 109.06,  94.91, 123.58
1958.00,   7.00, 112.39,  97.88, 127.00
1958.00,   8.00,  96.53,  82.44, 110.51
1958.00,   9.00,  99.04,  84.71, 112.78
1958.00,  10.00,  49.66,  36.62,  63.53
1958.00,  11.00,  92.14,  77.68, 105.50
1958.00,  12.00,  35.99,  23.42,  48.60
1959.00,   1.00, 107.49,  93.36, 122.39
1959.00,   2.00,  74.40,  61.01,  88.29
1959.00,   3.00,  70.14,  56.71,  84.38
1959.00,   4.00,  94.96,  81.13, 107.82
1959.00,   5.00,  78.98,  64.66,  92.75
1959.00,   6.00,  45.96,  33.40,  59.92
1959.00,   7.00,  71.39,  57.47,  83.89
1959.00,   8.00,  64.29,  50.96,  77.23
1959.00,   9.00,  71.59,  58.11,  85.21
1959.00,  10.00, 124.96, 111.13, 139.74
1959.00,  11.00,  81.87,  67.89,  96.28
1959.00,  12.00,  81.09,  67.02,  95.64
1960.00,   1.00,  74.79,  60.93,  89.13
1960.00,   2.00,  61.87,  47.87,  75.56
1960.00,   3.00,  37.07,  24.37,  50.46
1960.00,   4.00,  67.21,  53.95,  80.27
1960.00,   5.00,  88.74,  74.77, 102.09
1960.00,   6.00,  94.34,  79.90, 108.09
1960.00,   7.00,  67.64,  53.71,  81.59
1960.00,   8.00,  66.28,  52.63,  79.44
1960.00,   9.00,  36.50,  24.20,  50.12
1960.00,  10.00,  39.32,  27.34,  51.30
1960.00,  11.00,  50.43,  37.23,  63.87
1960.00,  12.00,  30.49,  18.98,  43.24
1961.00,   1.00,  22.25,  11.61,  34.45
1961.00,   2.00,  72.52,  58.17,  86.75
