Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.00,   1.00, 348.37, 324.67, 370.64
1950.00,   2.00, 175.47, 150.74, 199.13
1950.00,   3.00, 263.25, 238.35, 288.69
1950.00,   4.00, 217.40, 193.75, 240.58
1950.00,   5.00,  55.57,  35.39,  76.68
1950.00,   6.00,  46.65,  28.06,  67.89
1950.00,   7.00,  30.90,  13.02,  51.29
1950.00,   8.00,  18.31,   7.53,  35.47
1950.00,   9.00,  33.29,  13.14,  54.70
1950.00,  10.00,  48.06,  25.73,  70.27
1950.00,  11.00, 100.27,  78.17, 122.92
1950.00,  12.00, 155.70, 133.90, 177.55
1951.00,   1.00, 176.54, 151.53, 197.44
1951.00,   2.00, 197.01, 172.51, 222.18
1951.00,   3.00, 209.45, 184.03, 237.41
1951.00,   4.00, 158.21, 134.53, 180.98
1951.00,   5.00,  89.70,  68.06, 109.23
1951.00,   6.00,  40.32,  20.45,  62.35
1951.00,   7.00,  31.13,  12.80,  52.39
1951.00,   8.00,  15.74,   6.46,  30.50
1951.00,   9.00,  14.93,   5.63,  30.46
1951.00,  10.00,  26.22,  10.13,  44.98
1951.00,  11.00,  93.16,  72.45, 114.04
1951.00,  12.00,  79.61,  57.04, 102.57
1952.00,   1.00, 277.19, 253.17, 298.48
1952.00,   2.00, 107.44,  83.60, 130.95
1952.00,   3.00, 182.60, 159.89, 203.98
1952.00,   4.00, 148.83, 124.73, 171.70
1952.00,   5.00,  73.97,  52.91,  95.25
1952.00,   6.00,  25.30,  11.76,  42.71
1952.00,   7.00,  16.86,   6.93,  31.93
1952.00,   8.00,  17.58,   7.46,  33.21
1952.00,   9.00,  15.74,   5.77,  32.46
1952.00,  10.00,  11.33,   3.87,  25.48
1952.00,  11.00,  27.18,  12.06,  45.48
1952.00,  12.00,  54.08,  32.73,  76.22
1953.00,   1.00,  82.20,  58.49, 106.23
1953.00,   2.00,  49.75,  29.95,  71.87
1953.00,   3.00, 118.38,  97.43, 140.66
1953.00,   4.00,  72.09,  52.77,  94.96
1953.00,   5.00,  88.82,  66.03, 113.25
1953.00,   6.00,  38.53,  19.46,  60.34
1953.00,   7.00,  21.47,   8.90,  38.50
1953.00,   8.00,  16.30,   7.19,  31.17
1953.00,   9.00,  12.15,   4.47,  26.68
1953.00,  10.00,  11.34,   4.29,  24.22
1953.00,  11.00,  25.42,  11.38,  44.69
1953.00,  12.00,  28.25,  12.94,  48.34
1954.00,   1.00,  71.97,  49.67,  93.46
1954.00,   2.00, 117.35,  94.64, 140.35
1954.00,   3.00, 167.72, 146.37, 191.81
1954.00,   4.00, 172.26, 151.25, 194.90
1954.00,   5.00,  35.73,  19.06,  55.06
1954.00,   6.00,  28.35,  13.31,  46.14
1954.00,   7.00,  19.72,   8.57,  37.88
1954.00,   8.00,  21.02,   8.50,  39.01
1954.00,   9.00,  16.41,   5.72,  32.97
1954.00,  10.00, 156.23, 133.34, 180.84
1954.00,  11.00,  51.06,  28.65,  73.41
1954.00,  12.00,  71.71,  48.96,  92.14
1955.00,   1.00, 101.84,  79.32, 127.12
1955.00,   2.00,  89.78,  63.89, 112.34
1955.00,   3.00, 216.30, 190.66, 240.31
1955.00,   4.00, 105.45,  84.67, 125.44
1955.00,   5.00,  32.13,  17.23,  52.01
1955.00,   6.00,  26.81,  12.51,  44.58
1955.00,   7.00,  21.34,   8.82,  40.30
1955.00,   8.00,  21.83,   9.09,  39.06
1955.00,   9.00,  18.43,   6.62,  36.92
1955.00,  10.00,  45.44,  23.59,  66.93
1955.00,  11.00,  67.94,  45.67,  94.42
1955.00,  12.00,  44.16,  24.06,  63.58
