Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.000,   1.000, 317.449, 296.920, 338.402
1950.000,   2.000,  38.946,  16.482,  62.043
1950.000,   3.000, 152.712, 136.441, 174.003
1950.000,   4.000, 162.131, 145.606, 180.692
1950.000,   5.000, -77.392, -94.876, -60.669
1950.000,   6.000, -43.729, -72.637, -22.822
1950.000,   7.000, -32.543, -52.433, -11.709
1950.000,   8.000, -91.312,-113.599, -68.359
1950.000,   9.000, -77.106, -92.758, -55.927
1950.000,  10.000, -57.903, -74.182, -39.731
1950.000,  11.000,  -7.557, -24.896,   9.278
1950.000,  12.000,  46.753,  17.317,  67.168
1951.000,   1.000,  57.408,  37.410,  77.646
1951.000,   2.000, 118.624,  95.964, 141.334
1951.000,   3.000, 202.932, 187.082, 224.243
1951.000,   4.000, 102.162,  85.950, 119.899
1951.000,   5.000,  12.327,  -5.072,  29.245
1951.000,   6.000,  -3.300, -32.760,  17.118
1951.000,   7.000, -52.504, -72.057, -31.848
1951.000,   8.000,-111.582,-134.377, -89.149
1951.000,   9.000,-127.222,-142.443,-105.541
1951.000,  10.000, -78.147, -94.407, -60.378
1951.000,  11.000,   2.870, -14.794,  19.409
1951.000,  12.000,  66.905,  37.174,  86.540
1952.000,   1.000, 277.706, 258.596, 297.310
1952.000,   2.000,  38.210,  15.362,  60.993
1952.000,   3.000, 132.791, 117.621, 154.300
1952.000,   4.000,  91.973,  76.010, 109.366
1952.000,   5.000,  -7.104, -24.396,   9.519
1952.000,   6.000, -53.527, -83.326, -33.666
1952.000,   7.000, -82.293,-100.873, -62.539
1952.000,   8.000, -61.952, -84.664, -39.946
1952.000,   9.000,-117.120,-132.432, -95.454
1952.000,  10.000,-238.055,-254.065,-220.843
1952.000,  11.000, -46.898, -63.941, -30.601
1952.000,  12.000,  36.516,   6.623,  55.859
1953.000,   1.000,  77.985,  59.587,  97.732
1953.000,   2.000, -22.346, -45.139,  -0.273
1953.000,   3.000, 123.240, 107.657, 144.540
1953.000,   4.000,  31.651,  16.180,  48.622
1953.000,   5.000, 113.581,  96.012, 129.685
1953.000,   6.000,  26.161,  -3.008,  45.607
1953.000,   7.000, -41.821, -60.590, -22.311
1953.000,   8.000, -72.467, -94.853, -50.104
1953.000,   9.000,-156.763,-172.421,-135.519
1953.000,  10.000,-128.842,-144.150,-111.371
1953.000,  11.000, -46.237, -63.034, -29.884
1953.000,  12.000, -83.942,-113.384, -64.181
1954.000,   1.000, -21.545, -39.965,  -1.706
1954.000,   2.000,  67.288,  44.190,  89.733
1954.000,   3.000, 203.230, 187.712, 224.833
1954.000,   4.000, 231.064, 214.616, 247.573
1954.000,   5.000, -65.518, -82.464, -49.323
1954.000,   6.000,  -4.400, -33.689,  14.991
1954.000,   7.000, -41.412, -59.743, -21.148
1954.000,   8.000, -72.576, -95.603, -49.934
1954.000,   9.000, -96.940,-112.360, -75.526
1954.000,  10.000, 140.817, 124.953, 157.995
1954.000,  11.000, -64.773, -81.748, -49.152
1954.000,  12.000,   5.194, -24.094,  24.206
1955.000,   1.000,  28.991,  10.487,  48.981
1955.000,   2.000,  27.267,   4.514,  49.858
1955.000,   3.000, 182.822, 167.558, 204.093
1955.000,   4.000,  70.560,  54.458,  87.023
1955.000,   5.000, -84.168,-101.006, -68.231
1955.000,   6.000, -65.220, -94.545, -46.079
1955.000,   7.000, -40.706, -58.657, -20.488
1955.000,   8.000, -82.631,-105.770, -60.499
1955.000,   9.000,-137.573,-152.693,-116.004
1955.000,  10.000, -79.518, -95.652, -62.864
1955.000,  11.000,-113.478,-130.399, -97.755
1955.000,  12.000, -45.754, -75.043, -26.949
1956.000,   1.000,-180.225,-198.500,-160.100
1956.000,   2.000, -12.679, -35.480,   9.844
1956.000,   3.000, 241.965, 227.228, 263.694
1956.000,   4.000, 160.456, 144.641, 177.376
1956.000,   5.000, 226.975, 209.603, 242.800
1956.000,   6.000,  -5.906, -34.609,  13.015
1956.000,   7.000, -10.468, -28.586,   9.900
1956.000,   8.000,  -2.675, -25.639,  19.414
1956.000,   9.000,-188.174,-203.120,-166.456
1956.000,  10.000,-119.614,-135.796,-103.447
1956.000,  11.000,-192.434,-209.731,-176.590
1956.000,  12.000,  33.889,   5.174,  52.557
1957.000,   1.000, -50.212, -68.523, -30.285
1957.000,   2.000,  37.330,  14.089,  59.712
1957.000,   3.000,  51.661,  36.492,  72.849
1957.000,   4.000, 260.707, 244.914, 276.785
1957.000,   5.000,  17.741,   0.568,  33.500
1957.000,   6.000,  53.946,  25.460,  72.713
1957.000,   7.000,   9.430,  -8.711,  28.883
1957.000,   8.000,-162.383,-185.892,-140.706
1957.000,   9.000, -88.861,-104.045, -67.513
1957.000,  10.000,-139.071,-154.819,-122.114
1957.000,  11.000, -92.005,-108.760, -76.327
1957.000,  12.000, 113.755,  85.234, 132.212
1958.000,   1.000,-110.550,-128.795, -91.498
1958.000,   2.000,-112.416,-135.011, -90.267
1958.000,   3.000,  60.735,  45.659,  82.457
1958.000,   4.000,  61.137,  45.313,  78.008
1958.000,   5.000,  18.429,   1.083,  33.567
1958.000,   6.000,  73.470,  45.083,  92.357
1958.000,   7.000,  59.668,  41.296,  78.581
1958.000,   8.000, -42.413, -64.430, -20.145
1958.000,   9.000, -59.485, -74.678, -37.681
1958.000,  10.000,-138.692,-154.225,-122.105
1958.000,  11.000,-101.313,-118.738, -86.002
1958.000,  12.000, -66.531, -94.978, -47.908
1959.000,   1.000,  59.631,  41.120,  78.431
1959.000,   2.000, 107.330,  85.400, 130.076
1959.000,   3.000, 160.064, 144.887, 182.439
1959.000,   4.000, 161.739, 146.038, 178.342
1959.000,   5.000,  48.471,  31.193,  64.122
1959.000,   6.000, -66.231, -95.294, -48.131
1959.000,   7.000, -60.057, -78.483, -41.186
1959.000,   8.000, -52.921, -74.420, -30.372
1959.000,   9.000,-130.019,-145.141,-107.938
1959.000,  10.000, -38.085, -53.933, -21.198
1959.000,  11.000, -41.510, -59.061, -25.611
1959.000,  12.000, 143.563, 114.820, 161.663
1960.000,   1.000,  79.757,  61.614,  99.114
1960.000,   2.000,   7.090, -14.353,  29.846
1960.000,   3.000,  39.627,  24.384,  61.146
1960.000,   4.000, 172.176, 156.287, 189.170
1960.000,   5.000,  88.525,  70.928, 104.352
1960.000,   6.000,  83.993,  54.819, 101.925
1960.000,   7.000,  -0.156, -18.386,  18.368
1960.000,   8.000, -22.762, -44.117,   0.561
1960.000,   9.000,-120.983,-136.237, -98.781
1960.000,  10.000,-167.463,-183.293,-150.490
1960.000,  11.000, -81.617, -99.242, -65.792
1960.000,  12.000,-115.808,-145.451, -98.078
1961.000,   1.000, -30.326, -48.550, -11.263
1961.000,   2.000, 117.438,  96.123, 139.987
1961.000,   3.000, 178.442, 163.040, 200.428
1961.000,   4.000, 302.859, 286.976, 320.015
1961.000,   5.000, -21.633, -38.552,  -5.326
1961.000,   6.000,  -5.767, -35.306,  12.329
1961.000,   7.000, -20.316, -39.309,  -1.685
1961.000,   8.000, -62.358, -83.373, -39.201
1961.000,   9.000,-132.281,-148.061,-110.315
1961.000,  10.000,-176.841,-192.288,-159.878
1961.000,  11.000, -81.528, -98.324, -65.446
1961.000,  12.000, -75.927,-105.834, -57.742
1962.000,   1.000,  -0.287, -19.185,  18.174
1962.000,   2.000, -12.086, -33.241,  10.446
1962.000,   3.000, 177.178, 161.129, 199.105
1962.000,   4.000,  43.716,  28.235,  60.835
1962.000,   5.000, -11.269, -28.679,   4.342
1962.000,   6.000,  44.141,  14.025,  62.462
1962.000,   7.000, -30.324, -49.492, -11.432
1962.000,   8.000, -41.617, -63.117, -19.810
1962.000,   9.000, -83.293, -99.285, -61.825
1962.000,  10.000, -85.993,-101.432, -68.745
1962.000,  11.000,  -1.408, -18.855,  14.385
1962.000,  12.000, -75.985,-106.092, -57.572
1963.000,   1.000, -80.495, -99.559, -60.663
1963.000,   2.000, -91.302,-113.044, -69.448
1963.000,   3.000, 286.051, 270.252, 307.916
1963.000,   4.000,  94.305,  78.726, 111.534
1963.000,   5.000, -11.028, -28.243,   4.118
1963.000,   6.000, -46.118, -76.349, -27.415
1963.000,   7.000, -30.582, -49.536, -11.027
1963.000,   8.000, -71.656, -92.561, -49.772
1963.000,   9.000,-103.621,-119.560, -82.152
1963.000,  10.000, -75.600, -91.065, -58.350
1963.000,  11.000, -70.708, -87.651, -55.109
1963.000,  12.000, -86.481,-117.120, -68.007
1964.000,   1.000,  39.416,  19.797,  59.318
1964.000,   2.000,   8.381, -12.742,  29.657
1964.000,   3.000, 186.280, 170.705, 208.736
1964.000,   4.000, 164.351, 148.627, 181.660
1964.000,   5.000, -30.509, -47.964, -15.053
1964.000,   6.000, -16.677, -47.121,   1.733
1964.000,   7.000, -50.638, -70.068, -30.711
1964.000,   8.000, -31.474, -52.292,  -9.957
1964.000,   9.000,-123.901,-139.487,-102.347
1964.000,  10.000,-135.443,-151.185,-117.492
1964.000,  11.000, -70.334, -88.124, -54.586
1964.000,  12.000,  43.427,  12.486,  62.026
1965.000,   1.000,  59.113,  40.054,  78.356
1965.000,   2.000, 108.622,  87.462, 130.202
1965.000,   3.000, 136.117, 120.243, 157.408
1965.000,   4.000, 134.846, 119.259, 152.839
1965.000,   5.000,  19.820,   1.877,  35.432
1965.000,   6.000, -26.600, -57.356,  -8.493
1965.000,   7.000, -41.120, -60.676, -21.459
1965.000,   8.000, -41.175, -61.815, -20.072
1965.000,   9.000, -44.125, -59.792, -22.539
1965.000,  10.000, -65.188, -80.574, -47.475
1965.000,  11.000, -30.103, -48.345, -14.215
1965.000,  12.000, 113.226,  83.069, 131.644
1966.000,   1.000, -11.163, -30.848,   8.444
1966.000,   2.000,  68.875,  48.432,  90.432
1966.000,   3.000, 125.856, 109.724, 146.820
1966.000,   4.000, 114.605,  99.266, 132.447
1966.000,   5.000,  10.242,  -8.015,  26.286
1966.000,   6.000,  23.223,  -6.906,  41.415
1966.000,   7.000, -31.638, -51.281, -11.885
1966.000,   8.000, -50.730, -71.433, -29.272
1966.000,   9.000,-144.177,-159.803,-123.337
1966.000,  10.000,-155.452,-171.147,-137.829
1966.000,  11.000,  60.353,  41.799,  75.999
1966.000,  12.000, 153.395, 123.230, 171.474
1967.000,   1.000,   7.919, -10.917,  27.929
1967.000,   2.000, -40.295, -60.791, -19.067
1967.000,   3.000, 125.654, 109.895, 147.066
1967.000,   4.000, 124.607, 109.635, 142.878
1967.000,   5.000,  60.254,  42.018,  75.978
1967.000,   6.000,  43.206,  12.829,  61.257
1967.000,   7.000, -12.137, -31.582,   8.193
1967.000,   8.000, -80.259,-101.179, -58.913
1967.000,   9.000, -74.533, -90.365, -53.604
1967.000,  10.000, -55.239, -70.444, -37.206
1967.000,  11.000, -19.516, -37.734,  -3.562
1967.000,  12.000, 113.175,  82.924, 131.573
1968.000,   1.000,  77.711,  58.270,  98.040
1968.000,   2.000,  -0.349, -21.144,  20.667
1968.000,   3.000,  85.407,  69.650, 106.755
1968.000,   4.000,   4.926, -10.263,  22.880
1968.000,   5.000,  90.515,  72.300, 105.948
1968.000,   6.000,  32.766,   2.217,  51.200
1968.000,   7.000, -31.974, -51.463, -11.817
1968.000,   8.000, -70.510, -90.991, -49.464
1968.000,   9.000,-114.399,-130.385, -93.385
1968.000,  10.000,-115.064,-130.447, -97.247
1968.000,  11.000,  20.691,   2.773,  36.594
1968.000,  12.000,  52.429,  21.764,  71.061
1969.000,   1.000,  78.243,  59.242,  98.941
1969.000,   2.000,  29.258,   8.867,  50.459
1969.000,   3.000,   5.441, -10.117,  26.806
1969.000,   4.000, 244.938, 229.599, 262.996
1969.000,   5.000, 120.815, 103.328, 137.084
1969.000,   6.000,  31.784,   1.258,  50.446
1969.000,   7.000,  88.702,  69.227, 109.328
1969.000,   8.000,-150.925,-171.634,-129.540
1969.000,   9.000,-144.899,-161.042,-124.645
1969.000,  10.000,-174.790,-189.612,-157.012
1969.000,  11.000, -28.808, -45.784, -12.716
1969.000,  12.000,  -8.700, -39.103,  10.085
1970.000,   1.000,-150.808,-170.029,-130.246
1970.000,   2.000,   8.836, -11.326,  29.938
1970.000,   3.000, 114.891,  98.393, 135.027
1970.000,   4.000, 155.733, 140.703, 173.280
1970.000,   5.000,  41.258,  24.349,  57.544
1970.000,   6.000,  31.039,   0.432,  49.832
1970.000,   7.000,  39.563,  20.704,  61.088
1970.000,   8.000,-121.398,-141.535,-100.331
1970.000,   9.000, -45.517, -61.933, -24.835
1970.000,  10.000, -43.928, -58.590, -25.790
1970.000,  11.000, -38.850, -55.814, -22.813
1970.000,  12.000,  20.832,  -9.298,  39.690
1971.000,   1.000, -89.889,-108.894, -68.781
1971.000,   2.000, 128.041, 108.108, 148.786
1971.000,   3.000, 114.318,  97.024, 134.888
1971.000,   4.000,  36.324,  21.249,  54.923
1971.000,   5.000,  51.278,  34.700,  67.326
1971.000,   6.000,  10.678, -19.650,  29.348
1971.000,   7.000, -39.481, -58.466, -18.958
1971.000,   8.000, -22.058, -42.311,  -1.210
1971.000,   9.000, -36.053, -52.983, -15.528
1971.000,  10.000,-123.278,-138.180,-104.700
1971.000,  11.000, -98.530,-115.155, -82.469
1971.000,  12.000, 100.554,  69.877, 119.135
1972.000,   1.000, -49.442, -68.182, -29.032
1972.000,   2.000,  28.074,   7.948,  49.260
1972.000,   3.000, 163.810, 146.377, 184.104
1972.000,   4.000, 166.787, 151.728, 185.034
1972.000,   5.000,  41.867,  25.286,  57.859
1972.000,   6.000,  60.433,  29.878,  78.822
1972.000,   7.000,  -9.619, -28.840,  10.719
1972.000,   8.000, -51.431, -71.394, -30.563
1972.000,   9.000,   3.501, -14.314,  23.893
1972.000,  10.000,-103.449,-118.341, -84.924
1972.000,  11.000,  72.366,  55.367,  88.284
1972.000,  12.000,  80.107,  49.564,  98.895
1973.000,   1.000,  50.362,  31.160,  70.925
1973.000,   2.000, -61.168, -81.663, -40.182
1973.000,   3.000, 273.064, 255.242, 293.098
1973.000,   4.000,  16.775,   1.505,  34.885
1973.000,   5.000,  -7.306, -24.079,   8.409
1973.000,   6.000,  59.674,  29.596,  78.305
1973.000,   7.000, -69.079, -88.421, -49.148
1973.000,   8.000,-111.329,-132.167, -90.193
1973.000,   9.000,-166.904,-185.039,-146.764
1973.000,  10.000,-103.271,-118.480, -85.066
1973.000,  11.000, -56.971, -73.624, -41.607
1973.000,  12.000,  49.678,  18.961,  68.593
1974.000,   1.000, 101.277,  82.041, 121.546
1974.000,   2.000,  58.630,  37.700,  79.376
1974.000,   3.000, 162.964, 144.691, 183.030
1974.000,   4.000,  26.740,  11.428,  44.680
1974.000,   5.000,  53.132,  36.187,  69.364
1974.000,   6.000, -30.440, -60.730, -12.305
1974.000,   7.000, -88.769,-108.154, -68.520
1974.000,   8.000,-101.632,-122.582, -80.575
1974.000,   9.000,-107.043,-124.801, -86.648
1974.000,  10.000,-173.626,-188.717,-156.263
1974.000,  11.000,  43.363,  26.746,  59.302
1974.000,  12.000,  39.390,   9.265,  58.438
1975.000,   1.000,  71.365,  52.278,  92.554
1975.000,   2.000,  88.086,  67.351, 108.968
1975.000,   3.000,  63.314,  45.608,  84.108
1975.000,   4.000,  -3.955, -19.618,  12.977
1975.000,   5.000,   3.904, -12.840,  20.086
1975.000,   6.000,  39.256,   8.820,  58.090
1975.000,   7.000, -98.387,-117.470, -78.034
1975.000,   8.000,  87.604,  67.021, 108.612
1975.000,   9.000,-126.192,-143.695,-106.207
1975.000,  10.000,-124.605,-140.250,-108.038
1975.000,  11.000, -95.779,-112.164, -79.615
1975.000,  12.000,  69.221,  39.600,  88.278
1976.000,   1.000, -38.390, -57.956, -18.408
1976.000,   2.000, 217.891, 196.742, 238.447
1976.000,   3.000, 163.952, 146.802, 184.189
1976.000,   4.000,  -5.072, -20.378,  11.637
1976.000,   5.000,  -5.491, -21.621,  10.869
1976.000,   6.000,  -0.753, -30.912,  18.304
1976.000,   7.000, -28.288, -47.516,  -8.399
1976.000,   8.000,-131.904,-153.083,-111.435
1976.000,   9.000,-106.246,-123.202, -85.630
1976.000,  10.000,-145.498,-161.276,-128.901
1976.000,  11.000,-215.119,-231.432,-198.672
1976.000,  12.000, -80.860,-110.287, -62.274
1977.000,   1.000, -58.251, -77.569, -38.589
1977.000,   2.000,  38.118,  16.851,  58.757
1977.000,   3.000, 253.797, 236.650, 274.515
1977.000,   4.000, 184.248, 168.337, 200.670
1977.000,   5.000, -55.138, -71.056, -39.281
1977.000,   6.000, -30.873, -60.231, -11.639
1977.000,   7.000, -18.203, -37.550,   1.535
1977.000,   8.000, -21.770, -43.061,  -1.604
1977.000,   9.000,  63.579,  46.348,  84.268
1977.000,  10.000,-185.780,-200.985,-169.289
1977.000,  11.000, -45.337, -61.539, -29.034
1977.000,  12.000, 139.210, 109.626, 158.504
1978.000,   1.000, -18.096, -37.665,   1.360
1978.000,   2.000, -61.703, -83.295, -41.298
1978.000,   3.000, 233.678, 216.705, 254.710
1978.000,   4.000, 113.977,  98.592, 130.460
1978.000,   5.000,  14.554,  -1.667,  31.307
1978.000,   6.000, -60.709, -90.832, -41.811
1978.000,   7.000, -88.278,-107.456, -68.042
1978.000,   8.000,-111.900,-133.487, -91.281
1978.000,   9.000, -96.102,-112.851, -74.853
1978.000,  10.000, -86.443,-102.368, -70.275
1978.000,  11.000, -95.105,-111.161, -78.383
1978.000,  12.000,  -0.696, -30.722,  18.390
1979.000,   1.000, -28.008, -47.229,  -7.703
1979.000,   2.000,  27.821,   5.640,  48.393
1979.000,   3.000, 224.076, 207.851, 244.375
1979.000,   4.000, 243.329, 227.055, 259.513
1979.000,   5.000,  44.822,  28.991,  61.337
1979.000,   6.000,  -0.838, -30.074,  17.855
1979.000,   7.000,  -8.214, -27.219,  12.918
1979.000,   8.000, -42.366, -63.974, -21.550
1979.000,   9.000, -45.956, -62.094, -25.039
1979.000,  10.000,-126.647,-143.263,-110.711
1979.000,  11.000,  -5.075, -21.282,  11.784
1979.000,  12.000, 119.381,  89.890, 137.608
1980.000,   1.000, -58.130, -76.930, -37.117
1980.000,   2.000, -32.268, -53.830, -11.236
1980.000,   3.000, 194.151, 178.162, 215.771
1980.000,   4.000,  93.417,  76.497, 109.452
1980.000,   5.000, -25.427, -41.587,  -8.421
1980.000,   6.000,   9.533, -19.654,  28.686
1980.000,   7.000,  21.796,   2.765,  43.128
1980.000,   8.000, -12.360, -33.052,   8.760
1980.000,   9.000,-135.565,-151.334,-114.058
1980.000,  10.000,-206.517,-223.488,-190.221
1980.000,  11.000, -85.616,-102.145, -69.029
1980.000,  12.000,  -0.283, -29.895,  18.963
1981.000,   1.000,-148.533,-167.302,-126.524
1981.000,   2.000, 207.653, 186.180, 228.757
1981.000,   3.000,  14.527,  -1.011,  35.827
1981.000,   4.000, 143.214, 126.317, 159.226
1981.000,   5.000,  34.356,  17.588,  51.042
1981.000,   6.000, 130.004, 100.433, 149.003
1981.000,   7.000, -38.919, -57.822, -16.781
1981.000,   8.000, -82.062,-103.920, -60.754
1981.000,   9.000, -25.493, -40.982,  -3.708
1981.000,  10.000, -46.678, -63.297, -30.701
1981.000,  11.000, -86.002,-102.570, -69.210
1981.000,  12.000, -29.823, -59.306, -10.795
1982.000,   1.000, -19.431, -38.596,   2.736
1982.000,   2.000,   8.211, -13.876,  29.477
1982.000,   3.000, 274.846, 259.236, 295.880
1982.000,   4.000,  73.242,  56.229,  89.340
1982.000,   5.000, -15.839, -33.086,   0.680
