Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,   1.0,  71.2,  63.4,  78.5
1950.0,   2.0,  72.1,  64.6,  79.6
1950.0,   3.0,  74.2,  67.1,  81.4
1950.0,   4.0,  84.1,  78.2,  90.7
1950.0,   5.0,  74.2,  68.6,  80.3
1950.0,   6.0, 111.0, 105.1, 116.6
1950.0,   7.0, 114.9, 109.0, 120.7
1950.0,   8.0, 112.9, 106.6, 119.5
1950.0,   9.0, 106.0,  98.8, 112.6
1950.0,  10.0,  83.9,  78.0,  89.9
1950.0,  11.0,  68.1,  61.4,  74.1
1950.0,  12.0,  87.0,  79.8,  93.5
1951.0,   1.0,  75.2,  67.4,  82.4
1951.0,   2.0,  77.0,  69.8,  84.2
1951.0,   3.0,  76.2,  69.3,  83.0
1951.0,   4.0,  84.1,  77.9,  90.6
1951.0,   5.0,  90.0,  83.9,  96.0
1951.0,   6.0, 106.9, 100.7, 112.4
1951.0,   7.0, 106.9, 101.0, 112.6
1951.0,   8.0, 108.9, 102.6, 115.9
1951.0,   9.0, 111.1, 103.6, 117.5
1951.0,  10.0,  89.9,  83.3,  95.9
1951.0,  11.0,  69.1,  62.7,  75.1
1951.0,  12.0,  59.2,  52.9,  66.1
1952.0,   1.0,  67.2,  59.7,  74.7
1952.0,   2.0,  62.0,  54.9,  69.6
1952.0,   3.0,  76.1,  69.4,  83.3
1952.0,   4.0,  77.0,  71.0,  83.7
1952.0,   5.0,  89.0,  83.2,  95.0
1952.0,   6.0, 110.9, 104.5, 116.5
1952.0,   7.0, 114.8, 108.4, 120.4
1952.0,   8.0, 113.9, 107.6, 120.6
1952.0,   9.0,  96.1,  89.3, 103.0
1952.0,  10.0,  78.0,  72.0,  84.1
1952.0,  11.0,  81.0,  74.6,  87.2
1952.0,  12.0,  96.0,  88.8, 102.4
1953.0,   1.0,  70.1,  62.5,  77.4
1953.0,   2.0,  68.0,  60.9,  75.3
1953.0,   3.0,  79.1,  72.1,  86.0
1953.0,   4.0,  78.2,  72.0,  85.2
1953.0,   5.0,  89.0,  82.9,  95.0
1953.0,   6.0, 100.0,  94.0, 105.8
1953.0,   7.0, 101.0,  94.9, 106.9
1953.0,   8.0, 118.9, 112.2, 125.5
1953.0,   9.0, 125.9, 118.6, 132.1
1953.0,  10.0,  78.0,  72.1,  84.5
1953.0,  11.0,  86.0,  79.1,  91.7
1953.0,  12.0,  90.1,  83.2,  96.5
1954.0,   1.0,  81.2,  73.9,  88.5
1954.0,   2.0,  74.1,  67.0,  81.3
1954.0,   3.0,  82.1,  75.1,  89.0
1954.0,   4.0,  94.0,  87.6, 100.3
1954.0,   5.0,  89.1,  83.1,  95.5
1954.0,   6.0,  94.2,  88.2, 100.0
1954.0,   7.0, 111.9, 105.5, 117.5
1954.0,   8.0, 112.9, 106.2, 119.9
1954.0,   9.0,  90.3,  83.6,  97.0
1954.0,  10.0, 119.5, 111.6, 124.8
1954.0,  11.0,  60.2,  54.4,  66.8
1954.0,  12.0,  78.0,  71.0,  84.9
1955.0,   1.0,  77.2,  69.3,  84.2
1955.0,   2.0,  80.1,  72.9,  87.2
1955.0,   3.0,  74.2,  67.4,  81.5
1955.0,   4.0,  99.9,  93.7, 106.3
1955.0,   5.0, 104.9,  98.7, 110.6
1955.0,   6.0, 105.0,  99.0, 110.6
1955.0,   7.0, 104.0,  98.2, 110.1
1955.0,   8.0, 107.9, 101.7, 114.4
1955.0,   9.0,  91.2,  84.3,  98.0
1955.0,  10.0,  80.0,  74.1,  86.0
1955.0,  11.0,  80.1,  73.6,  86.1
1955.0,  12.0,  98.0,  90.8, 104.5
1956.0,   1.0,  80.0,  72.1,  87.2
1956.0,   2.0,  78.9,  71.4,  86.3
1956.0,   3.0,  77.0,  69.9,  84.2
1956.0,   4.0, 102.0,  95.5, 108.2
1956.0,   5.0,  97.0,  91.3, 103.1
1956.0,   6.0, 102.0,  96.5, 107.7
1956.0,   7.0, 108.9, 102.9, 114.9
1956.0,   8.0, 114.9, 108.4, 121.6
1956.0,   9.0,  92.2,  85.8,  98.9
1956.0,  10.0,  91.9,  85.2,  97.7
1956.0,  11.0,  82.0,  75.3,  88.0
1956.0,  12.0, 164.4, 156.2, 170.7
1957.0,   1.0, 257.2, 246.9, 264.3
1957.0,   2.0, 226.2, 216.3, 232.7
1957.0,   3.0,  81.1,  74.0,  88.1
1957.0,   4.0,  95.0,  88.6, 101.5
1957.0,   5.0,  95.0,  88.8, 100.7
1957.0,   6.0,  95.0,  89.3, 101.0
1957.0,   7.0, 113.8, 107.5, 119.4
1957.0,   8.0,  97.1,  90.9, 104.1
1957.0,   9.0,  85.3,  78.7,  92.4
1957.0,  10.0,  89.0,  83.0,  95.4
1957.0,  11.0,  85.9,  79.4,  92.0
1957.0,  12.0,  96.0,  89.2, 102.8
1958.0,   1.0,  81.2,  73.6,  88.5
1958.0,   2.0,  94.9,  87.8, 102.2
1958.0,   3.0,  79.1,  72.0,  86.0
1958.0,   4.0,  92.1,  86.1,  98.3
1958.0,   5.0,  97.0,  90.9, 103.1
1958.0,   6.0,  99.0,  93.8, 105.1
1958.0,   7.0, 103.0,  97.0, 109.0
1958.0,   8.0,  98.1,  92.2, 104.7
1958.0,   9.0,  88.2,  81.3,  95.6
1958.0,  10.0,  83.9,  77.9,  89.9
