Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.000000,   1.000000,  80.576842,  71.752117,  89.584390
1950.000000,   2.000000,  49.324943,  41.091085,  57.402080
1950.000000,   3.000000,  37.006800,  28.843954,  44.999858
1950.000000,   4.000000,  17.351951,  10.236268,  24.279381
1950.000000,   5.000000,  -2.799965,  -8.975731,   2.838242
1950.000000,   6.000000,  -7.157845, -13.374565,  -0.637453
1950.000000,   7.000000,  -1.571784,  -8.768647,   6.080003
1950.000000,   8.000000,  33.722857,  25.624432,  41.911864
1950.000000,   9.000000,  44.120004,  35.624045,  52.646838
1950.000000,  10.000000,  47.529585,  39.164951,  55.594287
1950.000000,  11.000000, 115.729515, 107.164140, 124.762257
1950.000000,  12.000000, 108.836540,  99.880475, 117.753903
1951.000000,   1.000000,  52.721868,  43.653560,  61.567083
1951.000000,   2.000000,  30.057961,  22.220202,  38.133497
1951.000000,   3.000000,  28.347428,  20.602337,  35.871127
1951.000000,   4.000000,  -0.137086,  -6.603116,   6.217537
1951.000000,   5.000000,  -4.112732,  -9.783367,   1.702482
1951.000000,   6.000000,  -7.052191, -13.185762,  -0.605089
1951.000000,   7.000000,  -3.700649, -11.015668,   3.475662
1951.000000,   8.000000,  26.102988,  18.012845,  34.314682
1951.000000,   9.000000,  69.507852,  60.989962,  78.194394
1951.000000,  10.000000,  62.489987,  53.584128,  71.126950
1951.000000,  11.000000, 116.703224, 108.114412, 125.649894
1951.000000,  12.000000,  91.600327,  82.957616, 100.533082
1952.000000,   1.000000,  49.990788,  41.107612,  58.666547
1952.000000,   2.000000,  35.854150,  27.767351,  43.404069
1952.000000,   3.000000,  30.795450,  23.186657,  38.373346
1952.000000,   4.000000,   3.969482,  -2.520530,  10.480054
1952.000000,   5.000000,  -2.814847,  -8.666723,   2.980392
1952.000000,   6.000000,  -6.689301, -13.287897,  -0.332700
1952.000000,   7.000000,   8.738042,   1.102813,  16.546802
1952.000000,   8.000000,  33.353729,  25.235456,  41.546860
1952.000000,   9.000000,  72.029692,  63.608613,  80.084774
1952.000000,  10.000000, 132.115139, 123.543927, 140.654117
1952.000000,  11.000000,  81.508946,  73.014399,  90.636375
1952.000000,  12.000000,  79.777847,  71.082533,  88.372379
1953.000000,   1.000000,  71.198892,  63.000571,  79.228608
1953.000000,   2.000000,  45.144457,  37.256647,  52.771345
1953.000000,   3.000000,  27.643692,  20.059983,  35.388850
1953.000000,   4.000000,  13.612248,   7.048073,  20.352691
1953.000000,   5.000000,  -0.965117,  -6.938982,   4.841815
1953.000000,   6.000000,  -3.320773,  -9.907659,   2.997918
1953.000000,   7.000000,  21.745556,  14.507425,  29.494396
1953.000000,   8.000000,  33.786741,  25.749522,  42.062687
1953.000000,   9.000000,  91.773141,  83.286018, 100.154802
1953.000000,  10.000000,  64.412443,  55.609399,  73.195336
1953.000000,  11.000000,  87.708267,  78.808094,  96.364725
1953.000000,  12.000000, 121.054342, 112.097269, 129.936066
1954.000000,   1.000000, 101.118323,  92.510114, 109.631318
1954.000000,   2.000000,  30.762216,  22.851254,  38.819922
1954.000000,   3.000000,  53.979745,  46.182386,  61.787070
1954.000000,   4.000000,  11.686952,   5.163838,  18.574939
1954.000000,   5.000000,   2.374269,  -3.334973,   8.146778
1954.000000,   6.000000,  -4.845972, -11.372499,   1.511810
1954.000000,   7.000000,  14.994933,   7.298592,  22.615108
1954.000000,   8.000000,  48.428030,  40.140284,  56.510739
1954.000000,   9.000000,  52.781158,  44.236327,  61.291972
1954.000000,  10.000000,  68.505088,  59.697035,  76.925064
1954.000000,  11.000000,  81.884886,  73.008639,  90.823277
1954.000000,  12.000000, 106.790635,  98.223069, 115.717620
1955.000000,   1.000000,  89.614936,  81.023440,  98.140272
1955.000000,   2.000000,  40.953404,  33.090799,  49.024281
1955.000000,   3.000000,  44.612660,  36.930930,  52.248666
1955.000000,   4.000000,   1.304703,  -5.433036,   7.868532
1955.000000,   5.000000,   0.168571,  -5.519394,   6.050000
1955.000000,   6.000000,   3.744284,  -2.394973,  10.025418
1955.000000,   7.000000,  16.695774,   9.188236,  24.259282
1955.000000,   8.000000,  59.709596,  51.339972,  68.105290
1955.000000,   9.000000,  87.736915,  79.190572,  96.154417
1955.000000,  10.000000,  69.708138,  60.889225,  77.926729
1955.000000,  11.000000, 132.000400, 122.487720, 140.843110
1955.000000,  12.000000, 123.738263, 114.749578, 132.627112
1956.000000,   1.000000,  58.458110,  49.736797,  67.373415
1956.000000,   2.000000,  38.847588,  30.983634,  46.733906
1956.000000,   3.000000,  36.153902,  28.482746,  43.485329
1956.000000,   4.000000,  13.260735,   6.700132,  19.840632
1956.000000,   5.000000,   0.299746,  -5.565185,   6.109914
1956.000000,   6.000000,  -2.890601,  -9.228675,   3.502659
1956.000000,   7.000000,   7.434597,  -0.068647,  14.726545
1956.000000,   8.000000,  26.021006,  17.467148,  34.008189
1956.000000,   9.000000,  74.411528,  66.240012,  82.582943
