Year,Month,Median,2.5 Percentile,97.5 Percentile
1950,   1,4335,4244,4442
1950,   2,3835,3726,3959
1950,   3,4033,3866,4135
1950,   4,4570,4494,4722
1950,   5,4900,4767,4973
1950,   6,5042,4928,5192
1950,   7,5213,5120,5290
1950,   8,5289,5205,5393
1950,   9,5325,5261,5433
1950,  10,5333,5261,5424
1950,  11,5220,5132,5334
1950,  12,5005,4873,5224
1951,   1,4303,4224,4421
1951,   2,4430,4319,4531
1951,   3,5053,4927,5153
1951,   4,5274,5173,5418
1951,   5,5692,5608,5794
1951,   6,5761,5651,5941
1951,   7,5948,5875,6045
1951,   8,6009,5907,6086
1951,   9,6018,5929,6086
1951,  10,6067,5971,6165
1951,  11,6018,5908,6105
1951,  12,6029,5923,6245
1952,   1,5708,5641,5837
1952,   2,5717,5631,5860
1952,   3,5735,5601,5822
1952,   4,6074,5983,6209
1952,   5,6265,6173,6363
1952,   6,6377,6274,6555
1952,   7,6375,6301,6463
1952,   8,6492,6399,6571
1952,   9,6490,6406,6573
1952,  10,6297,6216,6381
1952,  11,6069,5986,6157
1952,  12,5984,5880,6218
1953,   1,5849,5766,5962
1953,   2,5698,5593,5831
1953,   3,5783,5598,5872
1953,   4,5814,5741,5940
1953,   5,6109,6025,6226
1953,   6,6163,6055,6309
1953,   7,6288,6217,6372
1953,   8,6248,6191,6332
1953,   9,6208,6120,6310
1953,  10,6086,6026,6182
1953,  11,5945,5859,6059
1953,  12,5730,5639,5983
1954,   1,4714,4633,4808
1954,   2,4420,4334,4570
1954,   3,5532,5406,5640
1954,   4,5529,5439,5692
1954,   5,5837,5754,5949
1954,   6,5966,5890,6106
1954,   7,6097,6028,6202
1954,   8,6054,5969,6132
1954,   9,6026,5964,6121
1954,  10,6046,5971,6153
1954,  11,6033,5941,6181
1954,  12,5893,5792,6128
1955,   1,5518,5420,5611
1955,   2,5221,5142,5362
1955,   3,5538,5375,5645
1955,   4,5674,5586,5797
1955,   5,5887,5779,6034
1955,   6,5889,5771,6035
1955,   7,5905,5821,5983
1955,   8,5738,5643,5832
1955,   9,5604,5518,5686
1955,  10,5466,5365,5541
1955,  11,5282,5170,5402
1955,  12,5178,5088,5414
1956,   1,4036,3930,4130
1956,   2,3981,3899,4105
1956,   3,4686,4504,4781
1956,   4,5118,5037,5301
1956,   5,5246,5099,5340
1956,   6,5427,5326,5576
1956,   7,5454,5391,5525
1956,   8,5453,5332,5540
1956,   9,5445,5357,5550
1956,  10,5330,5235,5407
1956,  11,5175,5088,5288
1956,  12,5058,4969,5297
1957,   1,4091,4001,4200
1957,   2,4397,4297,4529
1957,   3,4863,4699,4981
1957,   4,4870,4780,4983
1957,   5,5019,4913,5122
1957,   6,5066,4975,5217
1957,   7,5257,5187,5346
1957,   8,5136,5047,5226
1957,   9,5190,5103,5291
1957,  10,5027,4947,5093
1957,  11,4950,4849,5025
1957,  12,4840,4755,5060
1958,   1,3869,3762,3993
1958,   2,3770,3673,3926
1958,   3,4653,4489,4765
1958,   4,4566,4481,4734
1958,   5,5065,4954,5171
1958,   6,4937,4826,5094
1958,   7,4935,4857,5018
1958,   8,4884,4749,4973
1958,   9,4898,4796,5003
1958,  10,4789,4723,4865
1958,  11,4624,4521,4732
1958,  12,4421,4322,4662
1959,   1,3309,3246,3438
1959,   2,3655,3535,3801
1959,   3,4285,4146,4381
1959,   4,4354,4253,4455
1959,   5,4782,4669,4911
1959,   6,4878,4770,5010
1959,   7,4919,4855,4992
1959,   8,4925,4835,5019
1959,   9,4979,4888,5060
1959,  10,4946,4864,5027
1959,  11,4939,4820,5052
1959,  12,4909,4809,5127
1960,   1,4646,4569,4732
1960,   2,4215,4096,4329
1960,   3,4681,4555,4766
1960,   4,4856,4748,4998
1960,   5,5404,5282,5523
1960,   6,5586,5471,5743
1960,   7,5792,5713,5887
1960,   8,5827,5745,5917
1960,   9,5813,5717,5932
1960,  10,5753,5666,5840
1960,  11,5586,5488,5681
1960,  12,5318,5172,5528
1961,   1,4913,4809,5012
1961,   2,5107,5010,5221
1961,   3,5195,5038,5320
1961,   4,5182,5072,5279
1961,   5,5238,5137,5347
1961,   6,5260,5106,5419
1961,   7,5353,5271,5430
1961,   8,5336,5246,5407
1961,   9,5359,5254,5465
1961,  10,5409,5323,5486
1961,  11,5312,5206,5391
1961,  12,5142,5033,5364
1962,   1,4294,4199,4390
1962,   2,4157,4069,4303
1962,   3,4895,4765,4986
1962,   4,5092,4963,5229
1962,   5,5342,5255,5422
1962,   6,5353,5231,5487
1962,   7,5344,5267,5422
1962,   8,5259,5183,5343
1962,   9,5322,5235,5427
1962,  10,5144,5065,5222
1962,  11,4934,4846,5018
1962,  12,4645,4527,4874
1963,   1,4000,3896,4098
1963,   2,3731,3632,3882
1963,   3,4329,4180,4410
1963,   4,4598,4506,4755
1963,   5,4813,4707,4936
1963,   6,4891,4779,5036
1963,   7,4900,4822,4996
1963,   8,4920,4821,5014
1963,   9,4877,4787,4985
1963,  10,4842,4771,4902
1963,  11,4701,4617,4780
1963,  12,4483,4359,4653
1964,   1,3733,3639,3837
1964,   2,3599,3514,3743
1964,   3,4189,4025,4269
1964,   4,4164,4071,4272
1964,   5,4465,4359,4585
1964,   6,4477,4366,4621
1964,   7,4562,4496,4656
1964,   8,4560,4480,4639
1964,   9,4636,4550,4738
1964,  10,4638,4561,4707
1964,  11,4523,4457,4609
1964,  12,4340,4259,4597
1965,   1,3686,3593,3779
1965,   2,3776,3687,3925
1965,   3,4097,3966,4202
1965,   4,4371,4282,4522
1965,   5,4777,4667,4864
1965,   6,4839,4751,5015
1965,   7,4921,4838,4982
1965,   8,4945,4876,5027
1965,   9,5022,4937,5111
1965,  10,5139,5070,5222
1965,  11,5043,4918,5160
1965,  12,4941,4832,5160
1966,   1,4813,4733,4900
1966,   2,4584,4500,4740
1966,   3,4815,4678,4923
1966,   4,5011,4916,5168
1966,   5,5207,5108,5328
1966,   6,5173,5057,5354
1966,   7,5249,5170,5344
1966,   8,5165,5070,5259
1966,   9,5160,5090,5275
1966,  10,5077,4988,5157
1966,  11,4862,4770,4960
1966,  12,4801,4678,5072
1967,   1,4724,4647,4820
1967,   2,4422,4309,4552
1967,   3,4764,4603,4842
1967,   4,4975,4884,5107
1967,   5,5236,5121,5344
1967,   6,5305,5222,5440
1967,   7,5482,5406,5583
1967,   8,5457,5329,5576
1967,   9,5437,5359,5531
1967,  10,5254,5161,5368
1967,  11,5295,5201,5380
1967,  12,5105,5005,5311
1968,   1,4611,4537,4709
1968,   2,4646,4555,4772
1968,   3,4993,4812,5086
1968,   4,5051,4910,5174
1968,   5,5262,5166,5385
1968,   6,5301,5207,5444
1968,   7,5478,5402,5546
1968,   8,5550,5469,5623
1968,   9,5599,5512,5677
1968,  10,5681,5577,5761
1968,  11,5547,5460,5688
1968,  12,5344,5228,5544
1969,   1,4635,4548,4709
1969,   2,5166,5060,5290
1969,   3,5272,5130,5367
1969,   4,5372,5297,5498
1969,   5,5590,5483,5708
1969,   6,5774,5597,5918
1969,   7,5923,5857,5995
1969,   8,5983,5887,6068
1969,   9,5989,5899,6126
1969,  10,5898,5825,5984
1969,  11,5817,5715,5917
1969,  12,5489,5403,5725
1970,   1,4216,4124,4334
1970,   2,4735,4606,4827
1970,   3,5402,5278,5498
1970,   4,5379,5281,5510
1970,   5,5672,5569,5769
1970,   6,5796,5710,5960
1970,   7,5856,5775,5934
1970,   8,5825,5722,5949
1970,   9,5886,5795,5984
1970,  10,5832,5762,5918
1970,  11,5758,5656,5857
1970,  12,5655,5536,5894
1971,   1,5175,5075,5258
1971,   2,4981,4868,5109
1971,   3,5555,5396,5638
1971,   4,5744,5643,5889
1971,   5,6001,5877,6098
1971,   6,6060,5986,6196
1971,   7,6159,6076,6222
1971,   8,6144,6076,6238
1971,   9,6126,6021,6224
1971,  10,6035,5954,6110
1971,  11,5937,5818,6024
1971,  12,5719,5603,5930
1972,   1,5581,5503,5691
1972,   2,5341,5209,5475
1972,   3,5441,5275,5534
1972,   4,5450,5339,5584
1972,   5,5934,5806,6002
1972,   6,6071,5972,6203
1972,   7,6086,5990,6178
1972,   8,6147,6059,6224
1972,   9,6337,6244,6433
1972,  10,6278,6211,6351
1972,  11,6093,6019,6189
1972,  12,5930,5834,6168
1973,   1,5827,5761,5925
1973,   2,5477,5378,5605
1973,   3,5715,5574,5808
1973,   4,6032,5939,6171
1973,   5,6303,6196,6387
1973,   6,6406,6322,6553
1973,   7,6470,6395,6552
1973,   8,6492,6398,6574
1973,   9,6517,6385,6596
1973,  10,6411,6342,6497
1973,  11,6243,6155,6349
1973,  12,6071,5961,6289
1974,   1,5652,5571,5748
1974,   2,5714,5622,5890
1974,   3,5830,5684,5929
1974,   4,5918,5831,6028
1974,   5,6230,6093,6322
1974,   6,6448,6314,6544
1974,   7,6567,6480,6647
1974,   8,6472,6376,6553
1974,   9,6431,6348,6514
1974,  10,6290,6221,6375
1974,  11,6161,6022,6244
1974,  12,5921,5821,6182
1975,   1,5677,5593,5763
1975,   2,5543,5456,5669
1975,   3,5447,5276,5523
1975,   4,5777,5667,5898
1975,   5,6164,6018,6262
1975,   6,6222,6142,6394
1975,   7,6293,6220,6376
1975,   8,6274,6183,6352
1975,   9,6242,6150,6348
1975,  10,6091,6001,6182
1975,  11,5849,5766,5972
1975,  12,5770,5660,6021
1976,   1,4727,4648,4812
1976,   2,4955,4869,5086
1976,   3,5469,5295,5548
1976,   4,5976,5855,6099
1976,   5,6263,6131,6364
1976,   6,6291,6208,6433
1976,   7,6348,6264,6444
1976,   8,6231,6124,6313
1976,   9,6115,6002,6248
1976,  10,5941,5865,6021
1976,  11,5659,5577,5774
1976,  12,5181,5047,5365
1977,   1,4423,4322,4512
1977,   2,4767,4673,4915
1977,   3,5159,5012,5258
1977,   4,5306,5219,5450
1977,   5,5415,5308,5519
1977,   6,5437,5325,5598
1977,   7,5456,5385,5538
1977,   8,5460,5370,5558
1977,   9,5424,5334,5504
1977,  10,5435,5340,5503
1977,  11,5458,5335,5555
1977,  12,5250,5140,5460
1978,   1,4836,4733,4926
1978,   2,4833,4743,4967
1978,   3,4955,4774,5071
1978,   4,5049,4948,5195
1978,   5,5326,5204,5429
1978,   6,5490,5366,5642
1978,   7,5630,5549,5707
1978,   8,5647,5560,5715
1978,   9,5749,5651,5823
1978,  10,5829,5755,5917
1978,  11,5658,5525,5756
1978,  12,5476,5385,5681
1979,   1,4477,4397,4576
1979,   2,4764,4671,4879
1979,   3,5313,5175,5383
1979,   4,5532,5454,5704
1979,   5,6005,5876,6107
1979,   6,6030,5931,6211
1979,   7,6137,6026,6196
1979,   8,6194,6081,6262
1979,   9,6192,6098,6303
1979,  10,6016,5948,6080
1979,  11,5873,5785,5961
1979,  12,5794,5671,6016
1980,   1,5675,5585,5790
1980,   2,5586,5487,5715
1980,   3,5524,5339,5634
1980,   4,5603,5501,5720
1980,   5,5826,5717,5923
1980,   6,5925,5766,6101
1980,   7,5995,5902,6074
1980,   8,5948,5831,6051
1980,   9,6005,5929,6095
1980,  10,5976,5891,6063
1980,  11,5850,5756,5910
1980,  12,5649,5537,5856
1981,   1,4626,4562,4716
1981,   2,5221,5124,5366
1981,   3,5576,5421,5676
1981,   4,5600,5523,5728
1981,   5,5811,5683,5911
1981,   6,5806,5709,5962
1981,   7,5883,5792,5988
1981,   8,5816,5722,5911
1981,   9,5924,5840,6030
1981,  10,5710,5645,5804
1981,  11,5685,5582,5804
1981,  12,5538,5450,5790
1982,   1,4619,4511,4729
1982,   2,4625,4521,4769
1982,   3,5006,4831,5088
1982,   4,5168,5075,5283
1982,   5,5559,5433,5659
1982,   6,5567,5472,5695
1982,   7,5625,5543,5716
1982,   8,5721,5649,5799
1982,   9,5773,5671,5865
1982,  10,5706,5608,5790
1982,  11,5588,5487,5691
1982,  12,5499,5410,5715
1983,   1,5461,5377,5555
1983,   2,5498,5386,5626
1983,   3,5670,5509,5775
1983,   4,5605,5523,5763
1983,   5,5830,5744,5970
1983,   6,6076,5990,6215
1983,   7,6167,6087,6236
