Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.00,   1.00,  90.19,  84.19,  96.25
1950.00,   2.00,  61.21,  55.71,  67.16
1950.00,   3.00,  66.92,  60.79,  73.19
1950.00,   4.00,  82.48,  76.25,  88.52
1950.00,   5.00,  34.29,  27.99,  40.76
1950.00,   6.00,  81.64,  75.14,  88.30
1950.00,   7.00,  93.13,  87.13,  99.31
1950.00,   8.00,  72.76,  66.74,  78.95
1950.00,   9.00,  65.30,  58.53,  72.14
1950.00,  10.00,  42.67,  36.12,  49.43
1950.00,  11.00,  80.03,  73.89,  86.30
1950.00,  12.00,  66.72,  60.72,  73.05
1951.00,   1.00,  58.48,  52.71,  64.35
1951.00,   2.00,  55.60,  49.99,  61.40
1951.00,   3.00,  77.22,  71.46,  83.54
1951.00,   4.00,  97.85,  91.57, 103.97
1951.00,   5.00,  45.44,  39.18,  51.77
1951.00,   6.00,  66.15,  59.70,  73.00
1951.00,   7.00, 106.43, 100.16, 112.54
1951.00,   8.00,  83.95,  77.96,  90.22
1951.00,   9.00,  85.46,  78.60,  92.10
1951.00,  10.00, 122.00, 115.46, 128.80
1951.00,  11.00,  80.47,  74.28,  86.88
1951.00,  12.00,  80.97,  74.97,  87.04
1952.00,   1.00,  67.11,  61.35,  73.24
1952.00,   2.00,  28.29,  23.06,  33.89
1952.00,   3.00,  64.69,  58.90,  71.34
1952.00,   4.00,  65.92,  59.77,  71.97
1952.00,   5.00,  72.55,  66.48,  79.14
1952.00,   6.00,  62.97,  56.35,  69.29
1952.00,   7.00, 132.27, 126.12, 138.07
1952.00,   8.00,  86.58,  80.59,  92.84
1952.00,   9.00,  48.96,  42.28,  55.80
1952.00,  10.00,  15.81,   9.93,  22.25
1952.00,  11.00,  85.25,  78.86,  91.49
1952.00,  12.00,  54.16,  48.32,  60.18
1953.00,   1.00,  54.87,  49.12,  60.74
1953.00,   2.00,  65.68,  59.94,  71.22
1953.00,   3.00,  63.32,  57.60,  69.67
1953.00,   4.00,  74.80,  68.83,  81.13
1953.00,   5.00,  78.36,  71.79,  84.77
1953.00,   6.00,  75.58,  68.88,  82.23
1953.00,   7.00,  77.01,  71.14,  83.33
1953.00,   8.00,  62.88,  56.90,  69.15
1953.00,   9.00,  71.87,  64.89,  78.78
1953.00,  10.00,  31.29,  24.68,  38.05
1953.00,  11.00,  44.58,  38.42,  50.83
1953.00,  12.00,  64.37,  58.29,  70.43
1954.00,   1.00,  44.32,  38.44,  50.42
1954.00,   2.00,  53.33,  47.81,  59.02
1954.00,   3.00,  65.62,  59.62,  71.71
1954.00,   4.00, 108.51, 102.19, 114.70
1954.00,   5.00,  57.34,  50.85,  63.50
1954.00,   6.00, 128.85, 122.32, 135.42
1954.00,   7.00,  63.82,  57.86,  69.93
1954.00,   8.00,  60.84,  54.76,  66.81
1954.00,   9.00, 114.52, 108.19, 121.33
1954.00,  10.00, 145.70, 138.88, 152.55
1954.00,  11.00,  48.98,  42.95,  55.63
1954.00,  12.00,  52.33,  46.55,  58.76
1955.00,   1.00,  53.29,  47.22,  59.44
1955.00,   2.00,  41.14,  35.11,  46.78
1955.00,   3.00,  50.24,  44.26,  56.42
1955.00,   4.00,  67.75,  61.76,  73.67
1955.00,   5.00,  64.60,  58.24,  70.86
1955.00,   6.00,  50.17,  43.92,  56.79
1955.00,   7.00,  53.00,  47.05,  58.94
1955.00,   8.00,  67.11,  61.11,  73.17
1955.00,   9.00,  29.33,  22.86,  35.99
1955.00,  10.00,  97.30,  90.86, 104.16
1955.00,  11.00,  70.22,  63.89,  76.38
1955.00,  12.00,  50.43,  44.16,  56.69
1956.00,   1.00,  24.15,  18.31,  30.02
1956.00,   2.00,  39.64,  34.08,  45.42
1956.00,   3.00,  50.14,  44.33,  56.30
1956.00,   4.00,  71.43,  65.46,  77.33
1956.00,   5.00,  89.17,  82.80,  95.29
1956.00,   6.00,  64.15,  57.71,  70.57
1956.00,   7.00,  93.41,  87.44,  99.52
1956.00,   8.00,  97.37,  91.28, 103.59
1956.00,   9.00,  50.14,  43.58,  56.87
1956.00,  10.00,  20.24,  14.03,  26.80
1956.00,  11.00,  62.53,  56.50,  68.51
1956.00,  12.00,  49.05,  42.82,  55.35
1957.00,   1.00,  49.72,  43.96,  55.75
1957.00,   2.00,  30.51,  25.08,  36.18
1957.00,   3.00,  35.33,  29.35,  41.32
1957.00,   4.00,  76.74,  70.74,  82.86
1957.00,   5.00,  88.05,  81.48,  94.45
1957.00,   6.00,  96.35,  89.79, 102.96
1957.00,   7.00,  69.06,  63.28,  75.09
1957.00,   8.00,  52.73,  46.87,  58.87
1957.00,   9.00,  81.97,  75.27,  89.00
1957.00,  10.00,  73.61,  67.02,  80.60
1957.00,  11.00,  88.90,  82.81,  95.54
1957.00,  12.00,  70.97,  64.85,  77.02
1958.00,   1.00,  38.92,  33.18,  45.11
1958.00,   2.00,  28.24,  22.74,  33.73
1958.00,   3.00,  14.02,   8.56,  19.79
1958.00,   4.00,  41.74,  35.59,  47.73
1958.00,   5.00,  32.92,  26.75,  39.13
1958.00,   6.00,  66.28,  60.07,  72.90
1958.00,   7.00,  70.81,  64.89,  76.69
1958.00,   8.00,  69.17,  63.29,  75.26
1958.00,   9.00,  84.50,  77.85,  91.07
1958.00,  10.00,  55.31,  48.27,  61.75
1958.00,  11.00,  76.22,  70.17,  82.49
1958.00,  12.00,  51.32,  45.40,  57.71
1959.00,   1.00,  56.47,  50.74,  62.88
1959.00,   2.00,  57.12,  51.54,  62.86
1959.00,   3.00,  54.48,  48.49,  60.67
1959.00,   4.00,  86.11,  79.84,  92.09
1959.00,   5.00,  77.85,  71.69,  83.93
1959.00,   6.00,  33.77,  27.42,  40.18
