Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,   1.0,  80.9,  70.4,  91.7
1950.0,   2.0,  54.9,  44.9,  64.6
1950.0,   3.0,  94.2,  83.3, 104.3
1950.0,   4.0, 147.0, 135.6, 158.5
1950.0,   5.0, 105.3,  94.2, 116.4
1950.0,   6.0,  55.7,  45.6,  65.7
1950.0,   7.0,  41.0,  32.1,  49.9
1950.0,   8.0,  32.3,  25.1,  40.6
1950.0,   9.0,  37.0,  27.9,  46.0
1950.0,  10.0,  31.8,  23.0,  41.3
1950.0,  11.0,  42.6,  32.8,  52.0
1950.0,  12.0,  59.0,  49.1,  68.5
1951.0,   1.0,  62.7,  53.1,  72.7
1951.0,   2.0,  59.9,  50.3,  69.6
1951.0,   3.0,  95.2,  85.0, 105.4
1951.0,   4.0, 184.9, 173.9, 195.5
1951.0,   5.0,  92.5,  81.9, 103.2
1951.0,   6.0,  53.5,  43.9,  62.9
1951.0,   7.0,  52.8,  43.1,  61.9
1951.0,   8.0,  38.0,  30.1,  46.6
1951.0,   9.0,  39.7,  30.8,  48.9
1951.0,  10.0,  69.2,  59.5,  79.0
1951.0,  11.0,  96.9,  87.0, 107.2
1951.0,  12.0,  72.8,  63.0,  83.1
1952.0,   1.0,  88.6,  78.6,  99.1
1952.0,   2.0,  65.9,  56.4,  75.5
1952.0,   3.0,  87.0,  77.2,  97.2
1952.0,   4.0, 154.2, 142.9, 165.3
1952.0,   5.0,  75.8,  65.3,  85.9
1952.0,   6.0,  50.0,  40.6,  59.9
1952.0,   7.0,  46.2,  37.5,  55.7
1952.0,   8.0,  38.3,  30.3,  47.1
1952.0,   9.0,  30.2,  21.8,  39.0
1952.0,  10.0,  27.3,  19.0,  36.0
1952.0,  11.0,  40.3,  30.8,  49.8
1952.0,  12.0,  54.8,  44.9,  64.5
1953.0,   1.0,  49.8,  40.7,  59.5
1953.0,   2.0,  47.2,  38.0,  56.8
1953.0,   3.0,  98.3,  87.9, 108.7
1953.0,   4.0, 104.7,  93.7, 115.9
1953.0,   5.0,  87.8,  77.4,  98.0
1953.0,   6.0,  56.9,  47.6,  66.8
1953.0,   7.0,  43.0,  33.6,  52.1
1953.0,   8.0,  34.5,  26.9,  42.8
1953.0,   9.0,  28.5,  20.3,  37.4
1953.0,  10.0,  28.9,  19.9,  37.6
1953.0,  11.0,  27.2,  19.1,  36.5
1953.0,  12.0,  37.4,  28.6,  46.9
1954.0,   1.0,  39.9,  30.9,  48.8
1954.0,   2.0,  57.6,  48.5,  66.9
1954.0,   3.0,  89.0,  79.2,  99.3
1954.0,   4.0, 116.7, 105.7, 127.8
1954.0,   5.0,  89.8,  79.5, 100.9
1954.0,   6.0,  72.9,  63.3,  82.6
1954.0,   7.0,  42.0,  33.2,  51.2
1954.0,   8.0,  33.1,  25.4,  41.1
1954.0,   9.0,  38.2,  29.8,  47.8
1954.0,  10.0, 114.4, 104.8, 124.4
1954.0,  11.0,  65.8,  55.5,  75.5
1954.0,  12.0,  58.4,  48.9,  68.5
1955.0,   1.0,  58.9,  49.1,  68.3
1955.0,   2.0,  45.1,  36.0,  54.6
1955.0,   3.0,  83.2,  73.5,  93.3
1955.0,   4.0, 114.9, 104.2, 125.3
1955.0,   5.0,  52.0,  41.6,  62.0
1955.0,   6.0,  35.6,  27.3,  44.5
1955.0,   7.0,  22.9,  16.1,  30.7
1955.0,   8.0,  23.9,  17.9,  30.6
1955.0,   9.0,  22.4,  15.4,  30.6
1955.0,  10.0,  33.5,  24.8,  43.6
1955.0,  11.0,  50.6,  41.0,  60.5
1955.0,  12.0,  46.6,  37.8,  56.5
1956.0,   1.0,  42.3,  33.4,  51.8
1956.0,   2.0,  37.6,  28.9,  47.2
1956.0,   3.0,  67.1,  57.2,  77.3
1956.0,   4.0, 108.0,  97.3, 118.8
1956.0,   5.0, 115.4, 105.3, 125.9
1956.0,   6.0,  49.1,  39.7,  58.3
1956.0,   7.0,  47.7,  38.4,  57.0
1956.0,   8.0,  38.8,  30.6,  47.3
1956.0,   9.0,  35.9,  27.3,  45.4
1956.0,  10.0,  35.5,  26.7,  45.2
1956.0,  11.0,  38.3,  29.5,  48.1
1956.0,  12.0,  44.7,  35.4,  54.2
1957.0,   1.0,  37.0,  28.4,  45.9
1957.0,   2.0,  38.1,  29.7,  46.9
1957.0,   3.0,  58.8,  49.0,  68.4
1957.0,   4.0,  82.7,  72.3,  94.1
1957.0,   5.0,  70.1,  60.0,  80.7
1957.0,   6.0,  47.0,  38.1,  56.4
1957.0,   7.0,  67.9,  58.8,  77.4
1957.0,   8.0,  28.3,  21.4,  35.6
1957.0,   9.0,  32.8,  24.1,  41.7
1957.0,  10.0,  38.0,  29.2,  47.2
1957.0,  11.0,  67.2,  57.5,  76.7
1957.0,  12.0,  69.0,  59.4,  78.6
1958.0,   1.0,  49.3,  39.9,  58.8
1958.0,   2.0,  36.5,  28.0,  45.2
1958.0,   3.0,  58.8,  49.4,  68.7
1958.0,   4.0,  59.4,  49.1,  69.8
1958.0,   5.0,  35.6,  27.0,  44.7
1958.0,   6.0,  30.4,  21.9,  39.7
1958.0,   7.0,  36.0,  27.2,  45.2
1958.0,   8.0,  27.2,  20.8,  34.7
1958.0,   9.0,  29.7,  21.5,  38.7
1958.0,  10.0,  28.0,  19.2,  37.1
1958.0,  11.0,  35.0,  26.2,  44.3
1958.0,  12.0,  34.8,  26.2,  43.9
1959.0,   1.0,  32.5,  24.3,  41.0
1959.0,   2.0,  34.5,  25.6,  43.0
1959.0,   3.0,  72.8,  62.8,  82.8
1959.0,   4.0, 149.7, 138.5, 160.4
1959.0,   5.0,  90.6,  80.3, 100.9
1959.0,   6.0,  34.5,  26.0,  44.2
1959.0,   7.0,  27.1,  19.9,  35.7
1959.0,   8.0,  27.7,  20.9,  35.1
1959.0,   9.0,  32.7,  23.8,  41.6
1959.0,  10.0,  55.7,  46.4,  65.7
1959.0,  11.0,  74.5,  64.5,  84.2
1959.0,  12.0,  69.7,  59.6,  79.9
1960.0,   1.0,  64.7,  55.3,  74.7
1960.0,   2.0,  52.4,  42.6,  62.1
1960.0,   3.0,  56.9,  47.7,  67.0
1960.0,   4.0, 174.0, 163.5, 185.1
1960.0,   5.0, 174.9, 163.9, 185.3
1960.0,   6.0,  72.5,  62.6,  82.4
1960.0,   7.0,  54.7,  45.1,  64.2
1960.0,   8.0,  36.1,  27.9,  44.6
1960.0,   9.0,  34.5,  25.6,  43.2
1960.0,  10.0,  30.1,  21.4,  39.1
1960.0,  11.0,  50.0,  40.6,  60.1
1960.0,  12.0,  40.2,  31.6,  50.2
1961.0,   1.0,  31.3,  23.6,  40.0
1961.0,   2.0,  34.4,  25.9,  43.2
1961.0,   3.0,  66.3,  56.9,  76.4
1961.0,   4.0,  79.2,  68.8,  90.0
1961.0,   5.0,  65.0,  54.7,  75.2
1961.0,   6.0,  43.0,  33.8,  52.4
1961.0,   7.0,  35.9,  27.7,  45.1
1961.0,   8.0,  29.6,  22.5,  37.5
1961.0,   9.0,  41.0,  31.9,  50.7
1961.0,  10.0,  43.5,  33.9,  53.1
1961.0,  11.0,  55.1,  45.3,  65.3
1961.0,  12.0,  51.1,  41.6,  60.5
1962.0,   1.0,  41.8,  32.8,  51.4
1962.0,   2.0,  38.3,  29.7,  47.8
1962.0,   3.0,  84.1,  74.0,  94.3
1962.0,   4.0,  99.0,  88.7, 110.1
1962.0,   5.0,  84.8,  74.2,  95.2
1962.0,   6.0,  37.7,  28.5,  46.8
1962.0,   7.0,  26.8,  19.2,  35.1
1962.0,   8.0,  24.3,  18.1,  31.3
1962.0,   9.0,  21.9,  15.1,  29.7
1962.0,  10.0,  25.1,  17.2,  33.8
1962.0,  11.0,  28.4,  20.2,  37.1
1962.0,  12.0,  31.4,  23.1,  40.0
1963.0,   1.0,  29.7,  21.8,  38.8
1963.0,   2.0,  27.1,  19.8,  35.2
1963.0,   3.0,  64.5,  54.7,  74.4
1963.0,   4.0,  83.3,  72.1,  93.5
1963.0,   5.0,  69.1,  58.6,  79.7
1963.0,   6.0,  38.0,  29.1,  47.1
1963.0,   7.0,  27.2,  19.6,  35.4
1963.0,   8.0,  27.5,  20.7,  34.9
1963.0,   9.0,  23.6,  15.8,  32.1
1963.0,  10.0,  20.7,  13.7,  28.9
1963.0,  11.0,  24.8,  17.1,  32.8
1963.0,  12.0,  30.7,  22.7,  39.2
1964.0,   1.0,  34.2,  25.6,  43.2
1964.0,   2.0,  30.0,  22.3,  38.6
1964.0,   3.0,  45.2,  36.5,  54.6
1964.0,   4.0,  71.4,  60.7,  82.2
1964.0,   5.0,  68.4,  58.0,  79.0
1964.0,   6.0,  32.6,  24.1,  41.7
1964.0,   7.0,  27.6,  20.0,  35.8
1964.0,   8.0,  26.3,  20.0,  34.0
1964.0,   9.0,  26.5,  18.5,  34.7
1964.0,  10.0,  30.1,  21.4,  39.5
1964.0,  11.0,  30.1,  21.4,  38.9
1964.0,  12.0,  46.4,  36.3,  56.1
1965.0,   1.0,  43.5,  34.5,  52.7
1965.0,   2.0,  52.7,  43.5,  63.1
1965.0,   3.0,  69.6,  59.9,  79.6
1965.0,   4.0, 127.7, 116.8, 138.3
1965.0,   5.0,  97.4,  86.9, 107.8
1965.0,   6.0,  36.9,  28.2,  46.1
1965.0,   7.0,  26.9,  19.4,  35.3
1965.0,   8.0,  29.9,  23.0,  38.0
1965.0,   9.0,  47.6,  38.2,  56.8
1965.0,  10.0,  61.0,  51.3,  70.6
1965.0,  11.0,  60.7,  51.6,  70.9
1965.0,  12.0,  83.4,  73.6,  93.2
1966.0,   1.0,  65.9,  56.1,  75.9
1966.0,   2.0,  64.9,  55.7,  74.6
1966.0,   3.0,  92.1,  81.8, 102.5
1966.0,   4.0,  80.7,  69.9,  91.3
1966.0,   5.0,  63.2,  53.6,  72.9
1966.0,   6.0,  46.5,  37.4,  56.2
1966.0,   7.0,  25.8,  18.5,  33.9
1966.0,   8.0,  24.7,  18.5,  31.8
1966.0,   9.0,  20.9,  14.0,  28.6
1966.0,  10.0,  34.4,  25.3,  44.3
1966.0,  11.0,  60.6,  51.0,  70.5
1966.0,  12.0,  94.6,  84.8, 104.8
1967.0,   1.0,  62.4,  52.9,  72.2
1967.0,   2.0,  54.7,  45.2,  64.0
1967.0,   3.0,  80.9,  70.6,  90.5
1967.0,   4.0, 163.0, 152.1, 173.6
1967.0,   5.0,  93.0,  82.6, 103.5
1967.0,   6.0,  66.2,  56.0,  76.0
1967.0,   7.0,  42.3,  33.3,  51.8
1967.0,   8.0,  30.7,  23.3,  38.5
1967.0,   9.0,  27.6,  19.4,  36.2
1967.0,  10.0,  43.1,  34.1,  52.8
1967.0,  11.0,  77.4,  67.5,  87.5
1967.0,  12.0,  76.9,  66.8,  87.2
1968.0,   1.0,  53.2,  44.0,  62.6
1968.0,   2.0,  65.3,  55.6,  75.1
1968.0,   3.0,  71.3,  61.5,  81.2
1968.0,   4.0,  90.7,  80.6, 101.6
1968.0,   5.0,  62.8,  52.9,  72.9
1968.0,   6.0,  58.2,  48.9,  67.9
1968.0,   7.0,  53.9,  44.4,  63.7
1968.0,   8.0,  39.7,  31.4,  48.5
1968.0,   9.0,  47.6,  37.8,  57.0
1968.0,  10.0,  42.5,  33.0,  51.9
1968.0,  11.0,  46.2,  36.5,  56.0
1968.0,  12.0,  60.9,  50.4,  70.4
1969.0,   1.0,  57.7,  47.8,  67.3
1969.0,   2.0,  56.0,  46.6,  65.6
1969.0,   3.0,  69.8,  59.3,  80.1
1969.0,   4.0, 129.1, 118.0, 140.3
1969.0,   5.0, 100.4,  90.1, 110.9
1969.0,   6.0,  67.4,  57.2,  77.4
1969.0,   7.0,  62.5,  53.3,  72.0
1969.0,   8.0,  32.4,  24.8,  40.8
1969.0,   9.0,  23.4,  16.2,  31.5
1969.0,  10.0,  40.5,  31.5,  49.7
1969.0,  11.0,  61.4,  51.5,  71.1
1969.0,  12.0,  51.6,  42.2,  61.3
1970.0,   1.0,  43.1,  34.1,  52.2
1970.0,   2.0,  39.4,  30.2,  48.6
1970.0,   3.0,  57.5,  47.8,  67.2
1970.0,   4.0, 110.5,  99.7, 121.1
1970.0,   5.0,  87.3,  76.7,  97.6
1970.0,   6.0,  81.3,  71.8,  91.1
1970.0,   7.0,  50.6,  41.1,  60.2
1970.0,   8.0,  31.7,  24.2,  39.8
1970.0,   9.0,  41.2,  32.2,  50.3
1970.0,  10.0,  48.1,  38.7,  57.9
1970.0,  11.0,  69.6,  59.4,  79.8
1970.0,  12.0,  72.4,  62.1,  82.1
1971.0,   1.0,  48.1,  38.6,  57.3
1971.0,   2.0,  54.3,  44.9,  63.5
1971.0,   3.0,  93.1,  82.9, 102.9
1971.0,   4.0, 145.8, 135.1, 157.0
1971.0,   5.0,  93.2,  82.7, 103.7
1971.0,   6.0,  49.8,  40.6,  59.5
1971.0,   7.0,  35.5,  27.0,  44.0
1971.0,   8.0,  30.6,  23.3,  38.3
1971.0,   9.0,  28.2,  19.9,  37.1
1971.0,  10.0,  32.5,  23.8,  41.8
1971.0,  11.0,  39.4,  30.3,  49.1
1971.0,  12.0,  69.0,  59.0,  78.9
1972.0,   1.0,  50.7,  41.2,  60.5
1972.0,   2.0,  40.8,  32.1,  49.7
1972.0,   3.0,  70.4,  60.3,  79.8
1972.0,   4.0, 133.0, 122.3, 144.2
1972.0,   5.0, 123.2, 113.0, 133.3
1972.0,   6.0,  51.8,  42.7,  61.7
1972.0,   7.0,  45.8,  36.3,  55.1
1972.0,   8.0,  49.3,  40.4,  58.6
1972.0,   9.0,  53.1,  44.3,  62.4
1972.0,  10.0,  59.3,  50.0,  69.3
1972.0,  11.0,  66.9,  56.9,  76.6
