Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0000,   1.0000,  30.3214,   1.3898,  61.5265
1950.0000,   2.0000,  30.5232,   0.4127,  60.4413
1950.0000,   3.0000,  86.9705,  56.6647, 117.2070
1950.0000,   4.0000, 160.3977, 131.5828, 190.2998
1950.0000,   5.0000,  64.1807,  32.7532,  93.4524
1950.0000,   6.0000,  76.4317,  47.1059, 106.7783
1950.0000,   7.0000,  71.2536,  41.6619, 100.8139
1950.0000,   8.0000,   2.4314, -25.9245,  31.4680
1950.0000,   9.0000, -18.2592, -46.6059,  12.6832
1950.0000,  10.0000, -48.5659, -77.7441, -17.9384
1950.0000,  11.0000, -45.7739, -75.0913, -16.4263
1950.0000,  12.0000, -29.7328, -58.8122,   0.6699
1951.0000,   1.0000,  21.2436,  -8.4190,  51.5679
1951.0000,   2.0000,  44.5254,  15.4903,  73.5689
1951.0000,   3.0000,  93.0460,  63.1510, 123.7399
1951.0000,   4.0000, 238.2282, 207.8564, 268.2628
1951.0000,   5.0000,  79.0502,  48.9754, 109.6594
1951.0000,   6.0000,  56.1269,  26.0904,  84.4083
1951.0000,   7.0000,  84.5324,  55.2370, 115.1220
1951.0000,   8.0000,  10.5483, -19.0517,  39.3841
1951.0000,   9.0000, -35.5322, -66.3406,  -5.2893
1951.0000,  10.0000,  38.1828,   7.7242,  68.0953
1951.0000,  11.0000,  -8.5747, -37.4518,  21.9393
1951.0000,  12.0000, -13.7250, -43.2242,  15.9948
1952.0000,   1.0000,  28.5718,  -1.5146,  57.1266
1952.0000,   2.0000,  -9.4027, -37.2995,  21.4825
1952.0000,   3.0000,  55.9849,  27.0825,  84.1909
1952.0000,   4.0000, 142.5624, 113.2697, 171.5508
1952.0000,   5.0000,  67.0339,  37.3173,  95.9222
1952.0000,   6.0000,   9.0274, -20.7517,  37.9874
1952.0000,   7.0000,  44.7497,  14.9707,  74.2317
1952.0000,   8.0000,  -8.4316, -39.4548,  20.9918
1952.0000,   9.0000, -98.6225,-127.7095, -69.0540
1952.0000,  10.0000,-189.7156,-218.4808,-159.4146
1952.0000,  11.0000, -35.3272, -64.8629,  -7.1264
