Year,Month,Median,2.5 Percentile,97.5 Percentile
 1.9500e+03, 1.0000e+00, 1.0008e+02, 9.5633e+01, 1.0426e+02
 1.9500e+03, 2.0000e+00, 8.3281e+01, 7.8268e+01, 8.8670e+01
 1.9500e+03, 3.0000e+00, 5.3638e+01, 4.9485e+01, 5.8572e+01
 1.9500e+03, 4.0000e+00, 2.5120e+01, 2.1172e+01, 2.9121e+01
 1.9500e+03, 5.0000e+00,-1.2575e+00,-4.8660e+00, 2.4832e+00
 1.9500e+03, 6.0000e+00, 1.5522e+01, 1.0072e+01, 2.0001e+01
 1.9500e+03, 7.0000e+00, 4.0197e+01, 3.4301e+01, 4.4698e+01
 1.9500e+03, 8.0000e+00, 6.1108e+01, 5.6557e+01, 6.5644e+01
 1.9500e+03, 9.0000e+00, 8.9539e+01, 8.4625e+01, 9.5401e+01
 1.9500e+03, 1.0000e+01, 6.4773e+01, 5.9948e+01, 6.9952e+01
 1.9500e+03, 1.1000e+01, 9.9775e+01, 9.4313e+01, 1.0514e+02
 1.9500e+03, 1.2000e+01, 1.0645e+02, 1.0089e+02, 1.1381e+02
 1.9510e+03, 1.0000e+00, 8.3161e+01, 7.8615e+01, 8.7256e+01
 1.9510e+03, 2.0000e+00, 3.8145e+01, 3.3149e+01, 4.3641e+01
 1.9510e+03, 3.0000e+00, 4.1464e+01, 3.7332e+01, 4.6628e+01
 1.9510e+03, 4.0000e+00, 6.9338e+00, 2.9797e+00, 1.0961e+01
 1.9510e+03, 5.0000e+00, 1.5458e+00,-1.8659e+00, 5.1554e+00
 1.9510e+03, 6.0000e+00, 1.5426e+01, 1.0909e+01, 1.9847e+01
 1.9510e+03, 7.0000e+00, 4.2957e+01, 3.8428e+01, 4.7440e+01
 1.9510e+03, 8.0000e+00, 7.4024e+01, 6.9359e+01, 7.9267e+01
 1.9510e+03, 9.0000e+00, 9.6871e+01, 9.2191e+01, 1.0378e+02
 1.9510e+03, 1.0000e+01, 7.2360e+01, 6.7719e+01, 7.7538e+01
 1.9510e+03, 1.1000e+01, 1.1026e+02, 1.0485e+02, 1.1559e+02
 1.9510e+03, 1.2000e+01, 1.0876e+02, 1.0313e+02, 1.1598e+02
 1.9520e+03, 1.0000e+00, 7.6489e+01, 7.1878e+01, 8.1022e+01
 1.9520e+03, 2.0000e+00, 4.2718e+01, 3.7587e+01, 4.8398e+01
 1.9520e+03, 3.0000e+00, 3.8227e+01, 3.4217e+01, 4.3154e+01
 1.9520e+03, 4.0000e+00, 5.1965e+00, 1.4545e+00, 9.0267e+00
 1.9520e+03, 5.0000e+00, 5.2659e+00, 1.9516e+00, 9.2312e+00
 1.9520e+03, 6.0000e+00, 1.8932e+01, 1.4617e+01, 2.3803e+01
 1.9520e+03, 7.0000e+00, 4.9141e+01, 4.4749e+01, 5.3584e+01
 1.9520e+03, 8.0000e+00, 7.1989e+01, 6.7265e+01, 7.7398e+01
 1.9520e+03, 9.0000e+00, 8.9321e+01, 8.4564e+01, 9.5995e+01
 1.9520e+03, 1.0000e+01, 1.2784e+02, 1.2326e+02, 1.3288e+02
 1.9520e+03, 1.1000e+01, 6.7644e+01, 6.2350e+01, 7.2986e+01
 1.9520e+03, 1.2000e+01, 9.4261e+01, 8.8544e+01, 1.0155e+02
 1.9530e+03, 1.0000e+00, 8.7943e+01, 8.3765e+01, 9.2377e+01
 1.9530e+03, 2.0000e+00, 6.3643e+01, 5.8713e+01, 6.9785e+01
 1.9530e+03, 3.0000e+00, 3.2684e+01, 2.8577e+01, 3.8049e+01
 1.9530e+03, 4.0000e+00, 1.8273e+01, 1.4524e+01, 2.2333e+01
 1.9530e+03, 5.0000e+00, 1.4795e+01, 1.1083e+01, 1.8038e+01
 1.9530e+03, 6.0000e+00, 2.0153e+01, 1.6072e+01, 2.4741e+01
 1.9530e+03, 7.0000e+00, 6.2300e+01, 5.7465e+01, 6.6936e+01
 1.9530e+03, 8.0000e+00, 6.8421e+01, 6.3873e+01, 7.3510e+01
 1.9530e+03, 9.0000e+00, 1.0353e+02, 9.8579e+01, 1.0976e+02
 1.9530e+03, 1.0000e+01, 7.0030e+01, 6.5504e+01, 7.4961e+01
 1.9530e+03, 1.1000e+01, 7.2342e+01, 6.6979e+01, 7.7750e+01
 1.9530e+03, 1.2000e+01, 1.1300e+02, 1.0733e+02, 1.2069e+02
 1.9540e+03, 1.0000e+00, 1.2243e+02, 1.1785e+02, 1.2663e+02
 1.9540e+03, 2.0000e+00, 3.7476e+01, 3.2309e+01, 4.3577e+01
 1.9540e+03, 3.0000e+00, 5.8224e+01, 5.3875e+01, 6.3001e+01
 1.9540e+03, 4.0000e+00, 1.4149e+01, 1.0065e+01, 1.7851e+01
 1.9540e+03, 5.0000e+00, 1.2694e+01, 9.3997e+00, 1.6501e+01
 1.9540e+03, 6.0000e+00, 1.6208e+01, 1.2290e+01, 2.0864e+01
 1.9540e+03, 7.0000e+00, 5.5945e+01, 5.1302e+01, 6.0459e+01
 1.9540e+03, 8.0000e+00, 8.0849e+01, 7.6033e+01, 8.5622e+01
 1.9540e+03, 9.0000e+00, 7.2050e+01, 6.7332e+01, 7.8643e+01
 1.9540e+03, 1.0000e+01, 6.6859e+01, 6.2302e+01, 7.1973e+01
 1.9540e+03, 1.1000e+01, 7.6652e+01, 7.1025e+01, 8.2139e+01
 1.9540e+03, 1.2000e+01, 1.0709e+02, 1.0154e+02, 1.1437e+02
 1.9550e+03, 1.0000e+00, 1.0862e+02, 1.0396e+02, 1.1479e+02
 1.9550e+03, 2.0000e+00, 3.7736e+01, 3.2911e+01, 4.4010e+01
