Year,Month,Median,2.5 Percentile,97.5 Percentile
 1950,    1, 6164, 5898, 6429
 1950,    2, 6548, 6205, 6824
 1950,    3, 6820, 6510, 7080
 1950,    4, 7486, 7247, 7766
 1950,    5, 7657, 7329, 7928
 1950,    6, 7365, 7171, 7674
 1950,    7, 7283, 6995, 7613
 1950,    8, 7157, 6878, 7389
 1950,    9, 7054, 6828, 7306
 1950,   10, 6855, 6615, 7051
 1950,   11, 6781, 6589, 7053
 1950,   12, 7036, 6826, 7327
 1951,    1, 7106, 6836, 7328
 1951,    2, 6762, 6452, 7147
 1951,    3, 7679, 7419, 7924
 1951,    4, 7967, 7762, 8281
 1951,    5, 8239, 7964, 8507
 1951,    6, 8197, 7865, 8597
 1951,    7, 8268, 7969, 8540
 1951,    8, 8014, 7800, 8227
 1951,    9, 7635, 7435, 7873
 1951,   10, 7416, 7213, 7675
 1951,   11, 7245, 7019, 7549
 1951,   12, 7281, 6953, 7666
 1952,    1, 7325, 7080, 7543
 1952,    2, 7629, 7296, 7962
 1952,    3, 7962, 7662, 8294
 1952,    4, 8428, 8201, 8739
 1952,    5, 8585, 8282, 8859
 1952,    6, 8661, 8383, 9008
 1952,    7, 8581, 8354, 8830
 1952,    8, 8246, 7961, 8482
 1952,    9, 7869, 7663, 8101
 1952,   10, 8041, 7859, 8290
 1952,   11, 7378, 7052, 7624
 1952,   12, 7409, 7142, 7711
 1953,    1, 7229, 6959, 7478
 1953,    2, 7329, 6952, 7579
 1953,    3, 7323, 7014, 7715
 1953,    4, 7951, 7738, 8180
 1953,    5, 7759, 7340, 8065
 1953,    6, 7922, 7620, 8282
 1953,    7, 7810, 7578, 8083
 1953,    8, 7748, 7541, 7997
 1953,    9, 7701, 7497, 7975
 1953,   10, 7305, 7087, 7563
 1953,   11, 6714, 6478, 6983
 1953,   12, 6998, 6809, 7378
 1954,    1, 6579, 6333, 6938
 1954,    2, 6707, 6374, 6997
 1954,    3, 7427, 7107, 7758
 1954,    4, 7457, 7193, 7683
 1954,    5, 7972, 7752, 8225
 1954,    6, 7870, 7632, 8204
 1954,    7, 7867, 7640, 8142
 1954,    8, 7538, 7302, 7806
 1954,    9, 7388, 7074, 7604
 1954,   10, 7316, 7067, 7563
 1954,   11, 7046, 6816, 7319
 1954,   12, 7609, 7355, 7979
 1955,    1, 7048, 6811, 7303
 1955,    2, 7120, 6850, 7427
 1955,    3, 7841, 7577, 8135
 1955,    4, 8150, 7940, 8388
 1955,    5, 8463, 8257, 8827
 1955,    6, 8208, 7962, 8528
 1955,    7, 7803, 7604, 8101
 1955,    8, 7514, 7307, 7703
 1955,    9, 7344, 7112, 7607
 1955,   10, 7448, 7198, 7695
 1955,   11, 7549, 7295, 7834
 1955,   12, 7369, 7011, 7641
 1956,    1, 7201, 6981, 7414
 1956,    2, 6869, 6558, 7264
 1956,    3, 6744, 6394, 7029
 1956,    4, 7399, 7104, 7598
 1956,    5, 7604, 7359, 7884
 1956,    6, 7960, 7673, 8264
 1956,    7, 7673, 7349, 7906
 1956,    8, 7449, 7150, 7713
 1956,    9, 7738, 7482, 8012
 1956,   10, 6923, 6720, 7198
 1956,   11, 7375, 7077, 7688
 1956,   12, 6775, 6530, 7101
 1957,    1, 6741, 6557, 6989
 1957,    2, 6490, 6148, 6723
 1957,    3, 6595, 6385, 6963
 1957,    4, 6866, 6596, 7117
 1957,    5, 7073, 6843, 7360
 1957,    6, 6921, 6673, 7405
 1957,    7, 6796, 6538, 7068
 1957,    8, 7056, 6823, 7242
 1957,    9, 6831, 6534, 7066
 1957,   10, 6874, 6702, 7043
 1957,   11, 6247, 5922, 6511
 1957,   12, 6325, 6055, 6610
 1958,    1, 6415, 6144, 6669
 1958,    2, 6146, 5898, 6385
 1958,    3, 6299, 6080, 6593
 1958,    4, 6809, 6606, 7093
 1958,    5, 6725, 6312, 6920
 1958,    6, 6614, 6354, 6952
 1958,    7, 6740, 6438, 7014
 1958,    8, 6544, 6304, 6795
 1958,    9, 6380, 6155, 6667
 1958,   10, 6414, 6152, 6636
 1958,   11, 6321, 6116, 6611
 1958,   12, 5941, 5706, 6318
 1959,    1, 5357, 5137, 5597
 1959,    2, 5399, 5078, 5636
 1959,    3, 5718, 5535, 5915
 1959,    4, 7296, 7118, 7572
 1959,    5, 7348, 7060, 7619
 1959,    6, 7591, 7400, 8015
 1959,    7, 7575, 7347, 7842
 1959,    8, 6803, 6567, 6986
 1959,    9, 6648, 6428, 6901
 1959,   10, 6444, 6174, 6683
 1959,   11, 6175, 5933, 6457
 1959,   12, 6133, 5906, 6479
 1960,    1, 6088, 5886, 6348
 1960,    2, 6182, 5887, 6485
 1960,    3, 6511, 6185, 6752
 1960,    4, 6957, 6617, 7220
 1960,    5, 7402, 7140, 7718
 1960,    6, 8201, 7898, 8509
 1960,    7, 7837, 7524, 8123
 1960,    8, 7499, 7246, 7734
 1960,    9, 7204, 6952, 7413
 1960,   10, 6314, 6128, 6529
 1960,   11, 6321, 6090, 6598
 1960,   12, 6501, 6246, 6768
 1961,    1, 6330, 6140, 6548
 1961,    2, 6250, 5950, 6572
 1961,    3, 6097, 5787, 6457
 1961,    4, 6462, 6175, 6773
