Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.00,   1.00, 103.82,  96.78, 110.86
1950.00,   2.00,  84.59,  77.62,  91.67
1950.00,   3.00,  73.73,  66.68,  82.07
1950.00,   4.00,  53.77,  45.92,  61.73
1950.00,   5.00,  48.11,  40.29,  55.04
1950.00,   6.00,  62.65,  55.07,  69.29
1950.00,   7.00,  71.63,  63.74,  80.23
1950.00,   8.00,  91.93,  84.37,  98.90
1950.00,   9.00,  41.82,  33.85,  49.48
1950.00,  10.00,  86.54,  78.65,  94.17
1950.00,  11.00, 116.06, 108.01, 123.74
1950.00,  12.00,  61.25,  53.88,  68.57
1951.00,   1.00,  70.00,  62.36,  77.29
1951.00,   2.00,  75.33,  68.93,  82.87
1951.00,   3.00, 103.51,  96.09, 111.70
1951.00,   4.00, 109.18, 101.75, 116.54
1951.00,   5.00,  41.96,  34.89,  49.05
1951.00,   6.00,  92.07,  85.59,  99.11
1951.00,   7.00, 102.32,  94.10, 111.63
1951.00,   8.00,  57.54,  50.66,  64.74
1951.00,   9.00,  67.07,  59.77,  74.87
1951.00,  10.00,  46.24,  38.86,  53.62
1951.00,  11.00,  89.33,  81.87,  98.39
1951.00,  12.00,  93.42,  86.48, 101.07
1952.00,   1.00,  63.84,  56.88,  71.09
1952.00,   2.00,  54.98,  48.12,  62.33
1952.00,   3.00,  70.47,  63.24,  79.38
1952.00,   4.00,  65.50,  57.77,  73.22
1952.00,   5.00, 103.73,  95.93, 110.90
1952.00,   6.00,  29.27,  22.77,  36.74
1952.00,   7.00,  62.47,  54.49,  71.31
1952.00,   8.00,  71.36,  63.87,  78.54
1952.00,   9.00,  70.11,  63.15,  78.06
1952.00,  10.00,  48.27,  40.36,  54.78
1952.00,  11.00,  69.85,  62.46,  77.88
1952.00,  12.00,  67.34,  60.22,  74.25
1953.00,   1.00,  63.09,  56.17,  70.17
1953.00,   2.00,  34.22,  27.88,  41.21
1953.00,   3.00,  89.48,  82.18,  97.84
1953.00,   4.00,  55.13,  47.98,  62.06
1953.00,   5.00, 123.91, 115.93, 131.19
1953.00,   6.00,  45.45,  38.34,  52.08
1953.00,   7.00,  53.79,  46.07,  62.83
1953.00,   8.00,  69.07,  61.91,  75.98
1953.00,   9.00,  86.81,  79.54,  94.33
1953.00,  10.00,  26.96,  19.88,  34.22
1953.00,  11.00,  52.41,  45.05,  60.12
1953.00,  12.00,  62.36,  54.82,  69.23
1954.00,   1.00,  60.81,  53.83,  67.89
1954.00,   2.00,  80.12,  72.47,  87.00
1954.00,   3.00,  89.87,  82.29,  97.69
1954.00,   4.00, 100.69,  93.80, 108.34
1954.00,   5.00,  42.54,  34.22,  49.72
1954.00,   6.00,  70.90,  63.38,  78.14
1954.00,   7.00,  25.05,  18.01,  33.20
1954.00,   8.00,  91.31,  83.93,  98.33
1954.00,   9.00,  78.88,  71.61,  86.29
1954.00,  10.00, 102.71,  94.55, 109.93
1954.00,  11.00,  87.00,  79.34,  94.30
1954.00,  12.00,  93.59,  86.81, 101.45
1955.00,   1.00,  41.13,  33.43,  48.17
1955.00,   2.00,  50.89,  43.63,  58.22
1955.00,   3.00,  96.84,  89.77, 105.45
1955.00,   4.00,  62.29,  55.49,  70.15
1955.00,   5.00,  65.24,  57.50,  72.15
1955.00,   6.00,  25.72,  18.87,  32.61
1955.00,   7.00,  47.74,  40.10,  56.33
1955.00,   8.00, 117.77, 110.82, 124.57
1955.00,   9.00,  50.00,  42.62,  57.33
1955.00,  10.00, 214.10, 206.11, 220.71
1955.00,  11.00,  43.22,  36.09,  50.80
1955.00,  12.00,  46.66,  39.47,  53.73
1956.00,   1.00,  41.84,  35.20,  48.87
1956.00,   2.00,  54.52,  47.94,  61.82
1956.00,   3.00,  77.50,  70.70,  85.60
1956.00,   4.00,  93.26,  85.69, 100.83
1956.00,   5.00, 109.15, 101.10, 116.68
1956.00,   6.00,  36.83,  29.50,  43.59
1956.00,   7.00,  67.22,  59.72,  75.38
1956.00,   8.00, 113.36, 105.89, 120.65
1956.00,   9.00,  71.51,  63.54,  78.79
1956.00,  10.00,  32.63,  25.15,  39.95
1956.00,  11.00,  54.03,  47.19,  61.62
1956.00,  12.00,  58.72,  51.69,  65.73
1957.00,   1.00,  71.07,  64.26,  78.73
1957.00,   2.00,  44.40,  37.49,  51.39
1957.00,   3.00,  36.62,  29.69,  45.11
1957.00,   4.00,  73.27,  65.71,  80.46
1957.00,   5.00,  76.90,  68.63,  84.47
1957.00,   6.00, 100.42,  93.41, 106.92
1957.00,   7.00,  57.45,  49.44,  65.41
1957.00,   8.00,  27.19,  20.50,  33.67
1957.00,   9.00,  87.77,  79.99,  94.97
1957.00,  10.00,  40.97,  33.50,  48.14
1957.00,  11.00,  60.08,  52.70,  67.43
1957.00,  12.00,  81.43,  74.10,  88.33
1958.00,   1.00,  61.97,  54.91,  69.15
