Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,   1.0, 231.8, 206.7, 259.8
1950.0,   2.0, 122.0,  98.4, 148.5
1950.0,   3.0, 271.3, 238.9, 297.0
1950.0,   4.0, 384.0, 357.6, 406.7
1950.0,   5.0, 124.0, 100.0, 144.5
1950.0,   6.0,  69.8,  49.1,  95.2
1950.0,   7.0,  49.1,  30.8,  72.3
1950.0,   8.0,  37.7,  23.7,  60.5
1950.0,   9.0,  51.4,  31.4,  68.9
1950.0,  10.0,  72.7,  49.0,  93.3
1950.0,  11.0, 145.1, 122.3, 167.6
1950.0,  12.0, 206.9, 182.6, 229.1
1951.0,   1.0, 225.3, 201.8, 246.2
1951.0,   2.0, 206.9, 174.8, 231.7
1951.0,   3.0, 335.6, 302.7, 356.1
1951.0,   4.0, 400.4, 379.4, 425.1
1951.0,   5.0, 141.8, 122.4, 172.9
1951.0,   6.0,  71.8,  55.4,  91.3
1951.0,   7.0,  89.0,  68.9, 112.7
1951.0,   8.0,  44.7,  28.7,  64.4
1951.0,   9.0,  47.2,  30.5,  69.6
1951.0,  10.0,  50.6,  30.1,  74.8
1951.0,  11.0, 124.3, 101.0, 147.5
1951.0,  12.0, 143.2, 118.7, 165.6
1952.0,   1.0, 215.8, 194.1, 239.6
1952.0,   2.0, 179.4, 158.7, 207.9
1952.0,   3.0, 268.0, 244.0, 294.8
1952.0,   4.0, 311.5, 290.4, 339.7
1952.0,   5.0, 165.9, 135.9, 186.5
1952.0,   6.0,  77.0,  58.1, 101.4
1952.0,   7.0,  51.9,  32.9,  72.6
1952.0,   8.0,  39.3,  21.8,  57.0
1952.0,   9.0,  42.9,  26.1,  64.7
1952.0,  10.0,  57.9,  37.8,  79.9
1952.0,  11.0,  66.7,  46.6,  87.5
1952.0,  12.0, 144.2, 123.6, 169.3
1953.0,   1.0, 132.2, 114.1, 155.1
1953.0,   2.0, 128.6, 107.1, 150.4
1953.0,   3.0, 246.3, 224.8, 273.0
1953.0,   4.0, 175.9, 156.8, 196.6
1953.0,   5.0, 226.6, 199.1, 255.7
1953.0,   6.0,  74.5,  52.1,  95.0
1953.0,   7.0,  48.3,  31.0,  65.9
1953.0,   8.0,  53.9,  34.1,  72.4
1953.0,   9.0,  45.5,  25.6,  63.5
1953.0,  10.0,  43.1,  24.9,  66.6
1953.0,  11.0,  52.3,  34.7,  76.2
1953.0,  12.0, 110.1,  85.3, 131.8
1954.0,   1.0,  94.6,  69.4, 128.5
1954.0,   2.0, 245.9, 220.7, 270.4
1954.0,   3.0, 277.7, 260.2, 305.7
1954.0,   4.0, 354.5, 327.3, 379.6
1954.0,   5.0, 203.9, 181.8, 229.0
1954.0,   6.0,  77.1,  57.6, 102.0
1954.0,   7.0,  40.1,  21.7,  59.0
1954.0,   8.0,  39.2,  21.6,  57.0
1954.0,   9.0,  64.6,  45.1,  88.4
1954.0,  10.0,  96.1,  76.6, 120.6
