Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0000,   1.0000, 226.4182, 217.9552, 250.4375
1950.0000,   2.0000,  94.8732,  80.6300, 119.8177
1950.0000,   3.0000, 167.4552, 157.6827, 182.2918
1950.0000,   4.0000, 270.3836, 254.6291, 293.7408
1950.0000,   5.0000,  10.5247,  -6.5534,  18.1203
1950.0000,   6.0000, -42.2080, -57.0971, -15.1601
1950.0000,   7.0000, -83.5896, -92.0488, -59.5989
1950.0000,   8.0000,-105.1318,-119.3827, -80.2452
1950.0000,   9.0000,-172.4763,-182.3810,-157.5648
1950.0000,  10.0000, -49.5883, -65.0407, -26.3340
1950.0000,  11.0000,  40.4894,  23.2679,  48.2058
1950.0000,  12.0000,  57.8080,  43.0311,  84.6633
1951.0000,   1.0000,  66.4307,  57.7762,  90.4973
1951.0000,   2.0000, 164.8944, 150.5194, 189.8320
1951.0000,   3.0000, 197.4976, 187.6256, 212.2967
1951.0000,   4.0000, 360.4140, 344.7333, 383.6283
1951.0000,   5.0000,   0.4869, -16.6169,   8.1421
1951.0000,   6.0000, -52.1287, -67.0292, -25.3090
1951.0000,   7.0000, -73.5768, -82.0815, -49.6385
1951.0000,   8.0000,-195.2000,-209.3772,-170.2891
1951.0000,   9.0000,-172.4833,-182.3115,-157.5789
1951.0000,  10.0000,-139.5100,-155.3272,-116.4689
1951.0000,  11.0000,  -9.4554, -26.6392,  -2.0397
1951.0000,  12.0000,  27.8422,  13.0978,  54.8050
1952.0000,   1.0000, 136.4080, 128.0150, 160.4475
1952.0000,   2.0000,  94.8265,  80.8108, 119.6981
1952.0000,   3.0000, 177.5125, 167.6764, 192.5482
1952.0000,   4.0000, 260.4920, 244.8082, 283.6693
1952.0000,   5.0000, 120.5241, 103.5308, 128.0743
1952.0000,   6.0000,-122.1826,-136.9018, -95.1482
1952.0000,   7.0000,-163.6100,-171.8937,-139.6160
1952.0000,   8.0000,-165.3012,-179.2812,-140.2555
1952.0000,   9.0000,-132.4731,-142.3163,-117.5184
1952.0000,  10.0000,-209.4596,-225.2807,-186.3673
1952.0000,  11.0000, -59.4626, -76.5544, -51.9518
1952.0000,  12.0000, -42.1500, -56.9643, -15.3073
1953.0000,   1.0000, -13.6069, -21.6572,  10.2436
1953.0000,   2.0000,   4.7196,  -9.1982,  29.5574
1953.0000,   3.0000, 177.5274, 167.6746, 192.4293
1953.0000,   4.0000,  60.4036,  44.9953,  83.5457
1953.0000,   5.0000, 190.5573, 173.7633, 197.9223
1953.0000,   6.0000, -92.1288,-106.9852, -65.2875
1953.0000,   7.0000,-123.5493,-131.7011, -99.6026
1953.0000,   8.0000,-115.2608,-129.0651, -90.3978
1953.0000,   9.0000,-142.5169,-152.2591,-127.5136
1953.0000,  10.0000,-159.4704,-175.0066,-136.3589
1953.0000,  11.0000, -79.4660, -96.0895, -71.9413
1953.0000,  12.0000, -22.1344, -36.8382,   4.7919
1954.0000,   1.0000, -43.5481, -51.6252, -19.5220
1954.0000,   2.0000, 184.8883, 170.9457, 209.6521
1954.0000,   3.0000, 157.4747, 147.6816, 172.6054
1954.0000,   4.0000, 300.5736, 284.9043, 323.5339
1954.0000,   5.0000,  70.5251,  53.7106,  78.0591
1954.0000,   6.0000, -52.1783, -66.9517, -25.4568
1954.0000,   7.0000,-203.5021,-211.4413,-179.8517
1954.0000,   8.0000,-115.3765,-129.3902, -90.2097
1954.0000,   9.0000, -92.5126,-102.2581, -77.6109
1954.0000,  10.0000,  40.4782,  25.0170,  63.4675
1954.0000,  11.0000,  60.5233,  43.8485,  67.9650
1954.0000,  12.0000, -22.1222, -36.8546,   4.7964
1955.0000,   1.0000,  16.4973,   8.6644,  40.2451
1955.0000,   2.0000,  24.4635,  10.6722,  49.5242
1955.0000,   3.0000, 287.5008, 277.8190, 302.4361
1955.0000,   4.0000, 230.5905, 214.9633, 253.1772
1955.0000,   5.0000, -39.4232, -55.9107, -31.9393
1955.0000,   6.0000,-151.9669,-166.8876,-125.3788
1955.0000,   7.0000,-183.5278,-191.3378,-159.6930
1955.0000,   8.0000, -95.5742,-109.4467, -70.2996
1955.0000,   9.0000,-202.5386,-212.2082,-187.3683
1955.0000,  10.0000, 140.6842, 125.1818, 163.2275
1955.0000,  11.0000, -59.4200, -76.1918, -51.9290
1955.0000,  12.0000,-152.2697,-166.8695,-125.3282
1956.0000,   1.0000,-103.4950,-111.3599, -79.8079
1956.0000,   2.0000, -65.5646, -79.0126, -40.3444
1956.0000,   3.0000, 127.4564, 117.7553, 142.5795
1956.0000,   4.0000, 320.6379, 304.9284, 342.8989
1956.0000,   5.0000, 230.5631, 213.7340, 238.0933
1956.0000,   6.0000, -92.3517,-106.8688, -65.4948
1956.0000,   7.0000,-133.4961,-141.2547,-110.0792
1956.0000,   8.0000, -65.5852, -79.2456, -40.3795
1956.0000,   9.0000,-152.5180,-162.3250,-137.4463
1956.0000,  10.0000,-139.3001,-154.9474,-116.7394
1956.0000,  11.0000,-129.4635,-145.9763,-121.8840
1956.0000,  12.0000, -42.2960, -56.8930, -15.2862
1957.0000,   1.0000, -33.4319, -41.1206, -10.0215
1957.0000,   2.0000,   4.2771,  -9.1962,  29.6316
1957.0000,   3.0000,  67.4924,  57.6047,  82.4649
1957.0000,   4.0000, 140.6844, 125.0062, 163.0445
1957.0000,   5.0000,  70.5912,  54.2053,  78.0256
1957.0000,   6.0000,  27.6320,  13.1355,  54.6025
1957.0000,   7.0000, -33.4623, -41.0674,  -9.9129
1957.0000,   8.0000,-165.6449,-179.0344,-140.3394
1957.0000,   9.0000, -82.6105, -92.1907, -67.6770
1957.0000,  10.0000,-179.2788,-194.8343,-157.0455
1957.0000,  11.0000,  -9.4555, -25.8002,  -1.9019
1957.0000,  12.0000,  47.4554,  33.1147,  74.5760
1958.0000,   1.0000, -53.4369, -61.0673, -29.9311
1958.0000,   2.0000, -25.8537, -39.1960,  -0.2558
1958.0000,   3.0000,  87.3504,  78.0004, 102.6112
1958.0000,   4.0000, 120.7320, 105.1486, 142.9634
1958.0000,   5.0000,  10.5987,  -5.8069,  18.0033
1958.0000,   6.0000, -42.3862, -56.8802, -15.4421
1958.0000,   7.0000, -73.4076, -81.0875, -50.1106
1958.0000,   8.0000, -95.7340,-109.0978, -70.2484
1958.0000,   9.0000, -32.5976, -42.1847, -17.4147
1958.0000,  10.0000,-119.2518,-135.0056, -97.0781
1958.0000,  11.0000, -19.3943, -35.8151, -11.8699
1958.0000,  12.0000, -92.5411,-106.9106, -65.3388
1959.0000,   1.0000,  76.5877,  68.9517, 100.0994
1959.0000,   2.0000, 114.2678, 100.8343, 139.7991
1959.0000,   3.0000, 217.4407, 207.9258, 232.4689
1959.0000,   4.0000, 300.8506, 285.3677, 322.7599
1959.0000,   5.0000,   0.5834, -15.7087,   8.1105
1959.0000,   6.0000,-152.5897,-166.8597,-125.3994
1959.0000,   7.0000,-143.4074,-151.0166,-119.9525
1959.0000,   8.0000,-155.6374,-169.0528,-130.3308
1959.0000,   9.0000,-182.6414,-192.2530,-167.4988
1959.0000,  10.0000, -29.2463, -44.5413,  -7.2162
1959.0000,  11.0000,  20.6203,   4.2661,  27.9754
1959.0000,  12.0000, 137.3222, 123.1627, 164.5895
1960.0000,   1.0000,  76.6366,  69.0634,  99.7219
1960.0000,   2.0000, 164.3772, 150.8349, 189.6624
1960.0000,   3.0000, -22.6417, -32.2811,  -7.7913
1960.0000,   4.0000, 430.7557, 415.8589, 452.8199
1960.0000,   5.0000, 140.5610, 124.2860, 148.0377
1960.0000,   6.0000,-102.6179,-116.8398, -75.4710
1960.0000,   7.0000,-193.3632,-201.0716,-170.0767
1960.0000,   8.0000,-185.6674,-199.1885,-160.2979
1960.0000,   9.0000,-182.6574,-192.1723,-167.7452
1960.0000,  10.0000, -29.2352, -43.9936,  -7.6007
1960.0000,  11.0000,  -9.4652, -25.8256,  -1.9560
1960.0000,  12.0000,-122.7179,-136.8376, -95.4790
1961.0000,   1.0000,-133.3637,-140.8611,-110.0248
1961.0000,   2.0000,  54.3205,  41.0376,  79.6962
1961.0000,   3.0000, 217.2949, 207.5521, 232.0967
1961.0000,   4.0000, 310.8072, 295.6857, 332.6866
1961.0000,   5.0000, 170.5345, 154.3321, 178.1088
1961.0000,   6.0000, -22.7988, -36.8810,   4.6415
1961.0000,   7.0000,-103.3815,-110.9810, -80.1309
1961.0000,   8.0000,-135.5789,-148.9119,-110.2728
1961.0000,   9.0000,-162.6655,-172.4244,-147.7727
