Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,   1.0, 142.1, 132.7, 151.7
1950.0,   2.0, 124.7, 115.2, 133.4
1950.0,   3.0, 109.7, 101.1, 117.3
1950.0,   4.0,  98.1,  89.0, 106.0
1950.0,   5.0, 252.8, 241.0, 264.6
1950.0,   6.0,  65.3,  53.7,  77.9
1950.0,   7.0,  66.7,  54.9,  78.5
1950.0,   8.0,  60.4,  49.4,  72.2
1950.0,   9.0, 197.9, 186.9, 208.8
1950.0,  10.0, 100.8,  89.7, 112.9
1950.0,  11.0, 194.0, 182.3, 205.5
1950.0,  12.0, 188.2, 177.4, 198.7
1951.0,   1.0, 135.1, 125.3, 144.3
1951.0,   2.0, 104.9,  96.5, 114.2
1951.0,   3.0,  86.1,  78.3,  94.4
1951.0,   4.0,  72.3,  64.9,  80.7
1951.0,   5.0, 132.0, 120.8, 143.2
1951.0,   6.0,  84.3,  72.7,  96.9
1951.0,   7.0, 101.5,  90.0, 113.5
1951.0,   8.0, 133.3, 122.1, 144.7
1951.0,   9.0, 113.1, 102.3, 124.6
1951.0,  10.0, 214.9, 203.2, 227.1
1951.0,  11.0, 213.0, 201.0, 224.4
1951.0,  12.0, 267.0, 255.7, 277.5
1952.0,   1.0, 178.8, 168.4, 188.1
1952.0,   2.0, 137.7, 128.4, 145.6
1952.0,   3.0, 106.8,  97.9, 114.6
1952.0,   4.0,  55.5,  48.5,  65.2
1952.0,   5.0,  27.2,  16.3,  39.8
1952.0,   6.0,  59.3,  47.9,  72.4
1952.0,   7.0,  58.5,  47.1,  70.2
1952.0,   8.0,  44.4,  33.2,  56.1
1952.0,   9.0,  35.9,  24.9,  47.5
1952.0,  10.0,  34.8,  23.8,  47.0
1952.0,  11.0,  25.2,  13.9,  37.0
1952.0,  12.0,  96.5,  86.3, 107.5
1953.0,   1.0, 172.8, 163.0, 182.8
1953.0,   2.0, 109.1, 100.4, 118.1
1953.0,   3.0,  90.1,  82.8,  98.6
1953.0,   4.0,  91.1,  82.0,  99.5
1953.0,   5.0, 151.1, 140.1, 162.7
1953.0,   6.0, 264.3, 252.5, 276.7
1953.0,   7.0, 264.3, 252.3, 275.6
1953.0,   8.0,  36.4,  25.2,  47.9
1953.0,   9.0,  39.0,  27.6,  50.8
1953.0,  10.0,  90.8,  79.5, 103.3
1953.0,  11.0, 224.1, 212.1, 235.5
1953.0,  12.0, 149.3, 138.4, 159.7
1954.0,   1.0, 211.8, 201.2, 221.0
1954.0,   2.0, 157.6, 147.6, 165.8
1954.0,   3.0, 124.6, 115.0, 131.5
1954.0,   4.0, 109.9, 100.5, 117.2
1954.0,   5.0, 210.9, 199.6, 222.4
1954.0,   6.0,  73.4,  62.0,  86.4
1954.0,   7.0,  36.6,  25.0,  48.2
1954.0,   8.0, 169.1, 157.6, 180.1
1954.0,   9.0, 167.9, 156.4, 178.9
1954.0,  10.0, 168.7, 157.5, 181.3
1954.0,  11.0, 181.0, 169.2, 191.9
1954.0,  12.0, 214.3, 202.8, 224.4
1955.0,   1.0, 144.1, 134.3, 153.2
1955.0,   2.0, 126.8, 117.9, 135.2
1955.0,   3.0, 112.7, 103.1, 120.2
1955.0,   4.0, 114.9, 105.7, 122.5
1955.0,   5.0, 275.7, 264.2, 287.3
1955.0,   6.0, 308.2, 296.9, 320.3
1955.0,   7.0, 276.3, 264.4, 287.4
1955.0,   8.0, 159.0, 147.8, 170.5
1955.0,   9.0, 120.9, 110.0, 133.3
1955.0,  10.0, 107.8,  96.5, 120.2
1955.0,  11.0, 125.2, 114.1, 136.7
1955.0,  12.0, 133.5, 122.2, 144.6
1956.0,   1.0, 123.1, 114.3, 133.3
1956.0,   2.0, 110.9, 102.5, 119.6
1956.0,   3.0,  98.0,  89.8, 106.1
1956.0,   4.0,  93.1,  84.5, 101.2
1956.0,   5.0, 135.0, 123.8, 146.3
1956.0,   6.0, 413.3, 401.0, 425.6
1956.0,   7.0, 321.3, 309.4, 332.4
1956.0,   8.0, 196.0, 184.6, 207.2
1956.0,   9.0, 136.0, 124.5, 147.4
1956.0,  10.0, 124.8, 113.4, 137.3
1956.0,  11.0, 123.1, 111.4, 134.7
1956.0,  12.0, 131.2, 119.3, 141.9
1957.0,   1.0, 107.2,  97.5, 116.9
1957.0,   2.0,  89.1,  81.0,  98.9
1957.0,   3.0,  82.1,  74.8,  91.0
1957.0,   4.0,  92.1,  84.2, 100.3
1957.0,   5.0, 266.8, 255.3, 278.4
1957.0,   6.0, 309.3, 297.6, 321.4
1957.0,   7.0,  75.4,  63.9,  87.4
1957.0,   8.0, 188.2, 176.3, 199.1
1957.0,   9.0, 124.8, 113.7, 136.9
1957.0,  10.0, 119.8, 108.8, 131.8
1957.0,  11.0, 156.1, 144.3, 167.1
1957.0,  12.0, 129.3, 118.1, 139.8
1958.0,   1.0, 110.2, 100.7, 120.0
1958.0,   2.0, 107.8,  99.8, 116.5
1958.0,   3.0, 100.8,  92.5, 108.6
1958.0,   4.0, 107.9,  98.3, 115.3
1958.0,   5.0, 250.9, 239.3, 262.2
1958.0,   6.0, 322.2, 309.9, 334.6
1958.0,   7.0, 234.4, 221.9, 245.5
1958.0,   8.0, 167.1, 155.7, 178.2
1958.0,   9.0, 152.0, 140.5, 162.6
1958.0,  10.0, 203.6, 192.5, 215.9
1958.0,  11.0, 245.9, 234.3, 257.0
1958.0,  12.0, 194.2, 183.0, 204.8
1959.0,   1.0, 158.1, 147.9, 167.7
1959.0,   2.0, 139.7, 130.1, 148.1
1959.0,   3.0, 107.8,  99.2, 115.3
1959.0,   4.0, 102.0,  94.1, 109.5
1959.0,   5.0, 145.1, 133.5, 156.7
1959.0,   6.0, 345.4, 333.2, 357.6
1959.0,   7.0, 363.2, 351.4, 374.9
1959.0,   8.0, 259.1, 247.5, 270.0
1959.0,   9.0, 189.9, 178.6, 200.9
1959.0,  10.0, 172.7, 160.9, 184.9
1959.0,  11.0, 148.1, 136.4, 159.5
1959.0,  12.0, 136.3, 125.4, 146.9
1960.0,   1.0, 115.3, 105.9, 124.7
1960.0,   2.0, 112.0, 103.4, 120.5
1960.0,   3.0,  93.0,  85.0, 101.0
1960.0,   4.0,  91.1,  82.5,  99.2
1960.0,   5.0, 166.9, 155.6, 178.5
1960.0,   6.0, 279.2, 267.5, 291.9
1960.0,   7.0, 219.3, 208.1, 230.8
1960.0,   8.0, 138.0, 126.7, 149.4
1960.0,   9.0,  98.9,  88.1, 110.5
1960.0,  10.0,  76.8,  65.4,  89.3
