Year,Month,Median,2.5 Percentile,97.5 Percentile
 1.9500e+03, 1.0000e+00, 1.0798e+02, 9.6136e+01, 1.1965e+02
 1.9500e+03, 2.0000e+00, 4.2901e+01, 3.2143e+01, 5.4104e+01
 1.9500e+03, 3.0000e+00, 3.1864e+01, 2.1313e+01, 4.2743e+01
 1.9500e+03, 4.0000e+00, 2.0199e+01, 1.1384e+01, 2.9225e+01
 1.9500e+03, 5.0000e+00,-2.3787e-01,-7.4765e+00, 6.8313e+00
 1.9500e+03, 6.0000e+00,-5.9424e+00,-1.1966e+01,-3.1467e-01
 1.9500e+03, 7.0000e+00,-1.0014e+01,-1.8321e+01,-1.8044e+00
 1.9500e+03, 8.0000e+00,-3.5406e+00,-1.4043e+01, 6.8804e+00
 1.9500e+03, 9.0000e+00, 1.4016e+01, 3.7928e+00, 2.4267e+01
 1.9500e+03, 1.0000e+01, 3.8962e+01, 2.7599e+01, 4.9174e+01
 1.9500e+03, 1.1000e+01, 1.0178e+02, 9.0433e+01, 1.1253e+02
 1.9500e+03, 1.2000e+01, 1.0405e+02, 9.3188e+01, 1.1531e+02
 1.9510e+03, 1.0000e+00, 6.8267e+01, 5.6463e+01, 7.9062e+01
 1.9510e+03, 2.0000e+00, 2.8363e+01, 1.7427e+01, 3.8951e+01
 1.9510e+03, 3.0000e+00, 2.9083e+01, 1.8280e+01, 3.9947e+01
 1.9510e+03, 4.0000e+00, 7.5482e+00,-1.0890e+00, 1.6448e+01
 1.9510e+03, 5.0000e+00,-1.3286e-01,-6.7907e+00, 7.1568e+00
 1.9510e+03, 6.0000e+00,-4.2776e+00,-9.9618e+00, 1.6497e+00
 1.9510e+03, 7.0000e+00,-7.5432e+00,-1.5786e+01, 9.8381e-01
 1.9510e+03, 8.0000e+00,-9.8276e-01,-1.0828e+01, 9.4761e+00
 1.9510e+03, 9.0000e+00, 3.9262e+01, 2.8707e+01, 4.9964e+01
 1.9510e+03, 1.0000e+01, 6.1803e+01, 5.1038e+01, 7.2404e+01
 1.9510e+03, 1.1000e+01, 1.0462e+02, 9.3647e+01, 1.1580e+02
 1.9510e+03, 1.2000e+01, 9.4314e+01, 8.2706e+01, 1.0527e+02
 1.9520e+03, 1.0000e+00, 7.3124e+01, 6.2821e+01, 8.4815e+01
 1.9520e+03, 2.0000e+00, 4.0221e+01, 2.8475e+01, 5.1082e+01
 1.9520e+03, 3.0000e+00, 3.1899e+01, 2.1083e+01, 4.2190e+01
 1.9520e+03, 4.0000e+00, 1.0313e+01, 1.4245e+00, 1.8971e+01
 1.9520e+03, 5.0000e+00, 1.3442e+00,-5.8716e+00, 8.1738e+00
 1.9520e+03, 6.0000e+00,-4.8131e+00,-1.0666e+01, 8.4731e-01
 1.9520e+03, 7.0000e+00,-8.6148e+00,-1.6706e+01,-3.3245e-01
 1.9520e+03, 8.0000e+00, 1.1007e+00,-8.3801e+00, 1.1410e+01
 1.9520e+03, 9.0000e+00, 3.7896e+01, 2.7404e+01, 4.8639e+01
 1.9520e+03, 1.0000e+01, 1.0686e+02, 9.6367e+01, 1.1778e+02
 1.9520e+03, 1.1000e+01, 8.5458e+01, 7.3945e+01, 9.6216e+01
 1.9520e+03, 1.2000e+01, 8.9364e+01, 7.7608e+01, 1.0061e+02
 1.9530e+03, 1.0000e+00, 8.4735e+01, 7.3748e+01, 9.5693e+01
 1.9530e+03, 2.0000e+00, 5.4806e+01, 4.4083e+01, 6.5585e+01
