Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.00,   1.00,  94.36,  86.72, 102.04
1950.00,   2.00,  38.21,  31.03,  45.37
1950.00,   3.00,  49.86,  41.96,  57.36
1950.00,   4.00,  74.24,  66.33,  82.27
1950.00,   5.00,  87.61,  79.42,  95.92
1950.00,   6.00,  99.42,  91.33, 107.82
1950.00,   7.00,  84.00,  75.79,  92.16
1950.00,   8.00,  82.04,  74.12,  90.32
1950.00,   9.00,  57.03,  48.58,  65.34
1950.00,  10.00,  64.29,  55.78,  72.30
1950.00,  11.00, 102.90,  94.86, 110.58
1950.00,  12.00,  56.59,  49.08,  64.36
1951.00,   1.00,  33.94,  26.63,  41.28
1951.00,   2.00,  63.64,  56.28,  70.86
1951.00,   3.00,  82.59,  74.59,  90.14
1951.00,   4.00,  57.90,  50.26,  66.00
1951.00,   5.00,  48.51,  40.38,  56.30
1951.00,   6.00, 111.75, 103.46, 120.28
1951.00,   7.00,  54.06,  45.87,  62.45
1951.00,   8.00, 114.19, 105.64, 122.27
1951.00,   9.00, 126.44, 118.45, 134.97
1951.00,  10.00,  76.62,  68.50,  85.14
1951.00,  11.00,  59.45,  51.69,  66.98
1951.00,  12.00,  49.82,  42.32,  57.42
1952.00,   1.00,  51.72,  44.15,  59.67
1952.00,   2.00,  18.43,  11.91,  25.34
1952.00,   3.00,  45.63,  38.06,  52.95
1952.00,   4.00,  42.93,  35.39,  50.41
1952.00,   5.00,  51.23,  43.19,  59.30
1952.00,   6.00, 111.06, 102.97, 119.43
1952.00,   7.00, 123.30, 115.24, 131.41
1952.00,   8.00,  85.18,  76.69,  93.61
1952.00,   9.00,  34.56,  26.38,  42.80
1952.00,  10.00,  24.50,  16.76,  32.10
1952.00,  11.00,  55.30,  47.59,  63.18
1952.00,  12.00,  33.19,  25.98,  40.76
1953.00,   1.00,  49.98,  42.28,  57.68
1953.00,   2.00,  49.71,  42.71,  56.90
1953.00,   3.00,  52.15,  44.72,  59.96
1953.00,   4.00,  57.34,  49.55,  65.20
1953.00,   5.00, 111.78, 103.55, 119.96
1953.00,   6.00,  99.98,  91.94, 108.10
1953.00,   7.00,  94.61,  86.54, 102.98
1953.00,   8.00,  85.08,  76.65,  92.93
1953.00,   9.00,  76.67,  68.46,  84.93
1953.00,  10.00,  24.91,  17.49,  33.25
1953.00,  11.00,  53.69,  45.93,  61.66
1953.00,  12.00,  65.03,  57.17,  72.95
1954.00,   1.00,  64.44,  56.76,  72.02
1954.00,   2.00,  35.77,  28.21,  43.00
1954.00,   3.00,  47.11,  39.30,  54.63
1954.00,   4.00,  92.82,  85.33, 100.67
1954.00,   5.00,  98.93,  90.69, 107.21
1954.00,   6.00,  79.06,  71.20,  87.36
1954.00,   7.00,  32.90,  25.05,  41.01
1954.00,   8.00,  54.58,  46.50,  63.08
1954.00,   9.00,  88.33,  79.66,  97.09
1954.00,  10.00,  61.62,  53.51,  70.12
1954.00,  11.00,  36.63,  29.04,  44.27
1954.00,  12.00,  23.59,  16.72,  30.67
1955.00,   1.00,  45.43,  37.75,  53.01
1955.00,   2.00,  40.14,  32.92,  47.19
1955.00,   3.00,  87.33,  79.90,  95.21
1955.00,   4.00,  45.23,  37.88,  52.91
1955.00,   5.00,  73.49,  65.36,  81.74
1955.00,   6.00,  51.44,  43.48,  59.41
1955.00,   7.00,  83.90,  75.81,  92.18
1955.00,   8.00,  89.36,  80.88,  97.50
1955.00,   9.00,  91.93,  83.23,  99.92
1955.00,  10.00,  99.33,  91.10, 107.68
1955.00,  11.00,  86.15,  78.25,  94.02
1955.00,  12.00,  59.24,  51.61,  66.65
1956.00,   1.00,  37.49,  29.81,  45.52
1956.00,   2.00,  19.33,  12.98,  26.09
1956.00,   3.00,  20.21,  13.25,  27.39
1956.00,   4.00,  42.15,  34.50,  49.87
1956.00,   5.00,  84.13,  76.16,  92.48
1956.00,   6.00,  67.71,  59.79,  76.01
1956.00,   7.00,  81.03,  72.93,  89.35
1956.00,   8.00,  74.91,  66.63,  83.48
1956.00,   9.00,  64.14,  55.99,  72.77
1956.00,  10.00,  24.89,  17.12,  33.14
1956.00,  11.00,  66.42,  58.49,  74.19
1956.00,  12.00,  65.39,  57.62,  72.87
