Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.00,   1.00,  28.13,  21.01,  36.42
1950.00,   2.00,  24.67,  17.90,  32.28
1950.00,   3.00,  29.54,  22.07,  38.09
1950.00,   4.00,  64.40,  53.77,  75.22
1950.00,   5.00, 220.46, 208.08, 232.53
1950.00,   6.00,  92.90,  82.60, 103.58
1950.00,   7.00,  73.04,  62.79,  83.11
1950.00,   8.00,  51.57,  41.70,  61.85
1950.00,   9.00,  40.05,  30.21,  49.67
1950.00,  10.00,  47.44,  37.56,  57.30
1950.00,  11.00,  40.02,  30.42,  50.48
1950.00,  12.00,  33.02,  24.58,  42.28
1951.00,   1.00,  29.13,  21.71,  38.03
1951.00,   2.00,  30.58,  22.82,  39.38
1951.00,   3.00,  38.17,  29.30,  47.26
1951.00,   4.00, 121.34, 109.89, 132.29
1951.00,   5.00, 116.25, 104.80, 127.62
1951.00,   6.00,  70.61,  60.11,  81.04
1951.00,   7.00,  52.33,  42.33,  62.20
1951.00,   8.00,  40.24,  30.50,  50.38
1951.00,   9.00,  60.23,  49.94,  70.37
1951.00,  10.00,  62.14,  51.42,  72.40
1951.00,  11.00,  60.62,  50.61,  71.14
1951.00,  12.00,  44.75,  35.75,  54.63
1952.00,   1.00,  33.21,  24.90,  42.40
1952.00,   2.00,  29.21,  21.40,  37.47
1952.00,   3.00,  35.06,  26.93,  43.99
1952.00,   4.00, 100.11,  89.37, 111.63
1952.00,   5.00,  61.50,  50.69,  72.63
1952.00,   6.00,  55.93,  46.18,  66.19
1952.00,   7.00,  71.51,  61.85,  82.37
1952.00,   8.00,  49.10,  39.06,  59.23
1952.00,   9.00,  34.16,  24.95,  43.88
1952.00,  10.00,  26.37,  18.01,  35.16
1952.00,  11.00,  29.98,  21.58,  39.19
1952.00,  12.00,  30.09,  21.90,  38.57
1953.00,   1.00,  29.47,  22.00,  37.81
1953.00,   2.00,  26.92,  19.58,  34.78
1953.00,   3.00,  42.66,  33.57,  52.23
1953.00,   4.00,  80.50,  69.54,  91.58
1953.00,   5.00, 105.35,  94.18, 116.53
1953.00,   6.00,  92.85,  82.90, 103.00
1953.00,   7.00,  62.09,  51.62,  72.11
1953.00,   8.00,  50.12,  40.45,  60.04
1953.00,   9.00,  31.42,  22.02,  41.04
1953.00,  10.00,  29.54,  21.07,  39.10
1953.00,  11.00,  30.58,  22.31,  39.76
1953.00,  12.00,  35.59,  26.61,  44.39
1954.00,   1.00,  32.86,  24.74,  41.39
1954.00,   2.00,  31.26,  23.25,  39.96
1954.00,   3.00,  39.43,  30.99,  48.86
1954.00,   4.00, 106.10,  95.16, 117.10
1954.00,   5.00, 142.58, 131.45, 153.66
1954.00,   6.00,  83.06,  72.57,  93.37
1954.00,   7.00,  44.87,  35.06,  54.45
1954.00,   8.00,  32.74,  23.80,  42.62
1954.00,   9.00,  31.74,  22.55,  41.86
1954.00,  10.00,  39.10,  29.56,  49.33
1954.00,  11.00,  37.00,  27.69,  46.49
1954.00,  12.00,  32.03,  23.98,  41.09
1955.00,   1.00,  30.63,  22.67,  39.27
1955.00,   2.00,  29.73,  21.99,  38.50
1955.00,   3.00,  33.47,  25.33,  42.15
1955.00,   4.00, 103.52,  93.04, 114.41
1955.00,   5.00,  56.23,  45.49,  67.26
1955.00,   6.00,  39.11,  29.90,  48.68
1955.00,   7.00,  33.79,  24.53,  42.87
1955.00,   8.00,  34.62,  25.35,  44.41
1955.00,   9.00,  31.64,  22.48,  41.67
1955.00,  10.00,  37.43,  27.86,  47.07
1955.00,  11.00,  43.77,  34.09,  53.70
1955.00,  12.00,  36.00,  27.52,  45.00
1956.00,   1.00,  31.57,  23.77,  40.53
1956.00,   2.00,  27.11,  19.91,  35.12
1956.00,   3.00,  28.12,  20.90,  35.80
1956.00,   4.00,  72.13,  62.06,  83.13
1956.00,   5.00,  91.43,  80.39, 102.64
1956.00,   6.00,  52.77,  42.99,  62.85
1956.00,   7.00,  50.25,  40.12,  60.87
1956.00,   8.00,  34.28,  25.50,  43.88
1956.00,   9.00,  32.32,  22.66,  42.03
1956.00,  10.00,  29.71,  20.87,  39.02
1956.00,  11.00,  31.03,  23.01,  40.32
1956.00,  12.00,  27.25,  19.49,  35.19
1957.00,   1.00,  22.72,  16.39,  30.17
1957.00,   2.00,  23.88,  17.36,  31.22
1957.00,   3.00,  32.51,  24.41,  41.09
1957.00,   4.00,  91.16,  79.75, 102.32
1957.00,   5.00,  73.66,  62.84,  85.08
1957.00,   6.00,  54.48,  44.68,  64.53
1957.00,   7.00,  54.36,  44.44,  64.60
1957.00,   8.00,  31.38,  22.52,  40.61
1957.00,   9.00,  33.97,  24.43,  43.40
1957.00,  10.00,  30.65,  21.70,  40.50
1957.00,  11.00,  40.73,  31.30,  50.64
1957.00,  12.00,  33.84,  25.55,  42.54
1958.00,   1.00,  31.83,  23.40,  40.51
1958.00,   2.00,  28.84,  20.93,  37.40
1958.00,   3.00,  31.47,  23.54,  39.83
