Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0000,   1.0000, -40.1717, -72.6713,  -9.0989
1950.0000,   2.0000, -29.6215, -61.0804,   1.2866
1950.0000,   3.0000,  -3.3437, -34.6710,  29.3386
1950.0000,   4.0000,  72.4998,  42.1891, 103.3012
1950.0000,   5.0000, 251.3602, 218.9461, 283.0746
1950.0000,   6.0000, 106.9212,  75.2496, 137.8303
1950.0000,   7.0000,  55.4627,  24.5350,  86.4166
1950.0000,   8.0000,  19.2691, -12.0691,  49.5038
1950.0000,   9.0000, -31.1701, -62.5619,  -0.8531
1950.0000,  10.0000, -50.3743, -81.5449, -18.6155
1950.0000,  11.0000, -61.4629, -92.0965, -30.7276
1950.0000,  12.0000,-112.6845,-143.8703, -82.5499
1951.0000,   1.0000, -77.3303,-109.2535, -45.5852
1951.0000,   2.0000,   5.7379, -24.6340,  36.6992
1951.0000,   3.0000,  26.3257,  -5.4741,  57.6214
1951.0000,   4.0000,  94.2180,  62.7939, 125.9212
1951.0000,   5.0000,  55.6379,  24.8199,  85.7096
1951.0000,   6.0000,  76.7789,  46.1600, 107.4635
1951.0000,   7.0000,  -0.1020, -31.3086,  30.7209
1951.0000,   8.0000,  41.2146,  10.1223,  72.6609
1951.0000,   9.0000,  30.5260,  -0.2728,  62.0051
1951.0000,  10.0000, -45.7545, -76.2660, -14.3409
1951.0000,  11.0000, -88.5441,-120.3390, -57.8792
1951.0000,  12.0000, -85.7476,-116.3078, -54.6720
1952.0000,   1.0000, -62.4099, -93.0100, -31.1755
1952.0000,   2.0000, -58.0985, -89.2581, -28.2270
1952.0000,   3.0000, -17.4721, -47.8259,  12.7000
1952.0000,   4.0000,  71.8336,  40.5248, 103.2085
1952.0000,   5.0000,   9.5099, -20.1561,  40.3677
1952.0000,   6.0000,  99.1575,  68.9395, 129.1661
1952.0000,   7.0000, 140.4704, 109.4901, 171.2109
1952.0000,   8.0000,  20.5715, -10.7585,  52.7271
1952.0000,   9.0000, -82.5585,-114.2597, -51.6768
1952.0000,  10.0000,-177.9590,-208.8265,-146.0199
1952.0000,  11.0000, -97.7485,-129.1712, -66.3325
1952.0000,  12.0000, -93.7952,-124.5155, -64.5615
1953.0000,   1.0000, -67.9861, -97.9244, -36.4975
1953.0000,   2.0000, -30.7279, -62.0877,   0.1591
1953.0000,   3.0000,   9.6388, -21.0514,  41.1124
1953.0000,   4.0000,  69.8025,  38.1457, 101.4570
1953.0000,   5.0000, 135.7950, 105.1280, 165.8218
1953.0000,   6.0000, 115.2293,  85.4529, 144.8978
1953.0000,   7.0000,  62.7031,  31.9410,  94.0412
1953.0000,   8.0000,  13.4336, -18.0676,  43.7469
1953.0000,   9.0000, -72.1484,-102.3984, -41.5701
1953.0000,  10.0000,-120.7027,-150.6312, -88.8374
1953.0000,  11.0000, -85.9573,-117.8449, -53.9177
1953.0000,  12.0000, -88.0655,-118.3497, -56.1967
1954.0000,   1.0000, -72.8573,-103.1674, -42.4045
1954.0000,   2.0000, -25.7873, -55.9759,   4.0009
1954.0000,   3.0000, -33.9250, -65.4922,  -2.6734
1954.0000,   4.0000, 133.2101, 101.7319, 162.7757
1954.0000,   5.0000, 171.7262, 142.3667, 201.3944
1954.0000,   6.0000,  95.9048,  65.4743, 126.3317
1954.0000,   7.0000, -14.1267, -43.7807,  14.2364
1954.0000,   8.0000, -39.5611, -70.8530, -10.0926
1954.0000,   9.0000, -32.1650, -62.7650,   0.3794
1954.0000,  10.0000, -72.0146,-103.2050, -40.4860
1954.0000,  11.0000, -68.5642, -99.2843, -36.9259
1954.0000,  12.0000,-106.8742,-137.0776, -76.1721
1955.0000,   1.0000, -83.2060,-113.4501, -52.5442
1955.0000,   2.0000, -45.5458, -75.9976, -13.7760
1955.0000,   3.0000,  15.0949, -15.9314,  45.2130
1955.0000,   4.0000, 107.1891,  76.4816, 137.2604
1955.0000,   5.0000,  65.4511,  34.1077,  96.2366
1955.0000,   6.0000,  32.2752,   2.8752,  61.4678
1955.0000,   7.0000,  61.5339,  30.6577,  91.6965
1955.0000,   8.0000,  42.9954,  12.6075,  74.8286
1955.0000,   9.0000,  13.4693, -17.2311,  44.4540
1955.0000,  10.0000,  18.9351, -12.5902,  49.5716
1955.0000,  11.0000, -54.9316, -85.0878, -24.1865
1955.0000,  12.0000, -95.6255,-125.8313, -64.1191
1956.0000,   1.0000, -76.6403,-108.6661, -46.4974
1956.0000,   2.0000, -72.3366,-103.3622, -40.9825
1956.0000,   3.0000, -55.2795, -85.8624, -24.1946
1956.0000,   4.0000,  34.8627,   3.8167,  66.0813
1956.0000,   5.0000, 109.2290,  79.1609, 140.4670
1956.0000,   6.0000,  77.3082,  46.4688, 107.4638
1956.0000,   7.0000,  86.8113,  57.5685, 117.8380
1956.0000,   8.0000,  35.7471,   4.8418,  66.4511
1956.0000,   9.0000, -25.2074, -56.0684,   6.3910
1956.0000,  10.0000, -76.3200,-108.5807, -46.5954
1956.0000,  11.0000, -68.0523, -98.2530, -37.0337
1956.0000,  12.0000, -71.2266,-101.4475, -39.8565
1957.0000,   1.0000, -91.8524,-122.8714, -61.8172
1957.0000,   2.0000, -24.8418, -55.4485,   4.6946
1957.0000,   3.0000,   0.7572, -30.5214,  31.3349
1957.0000,   4.0000,  95.9382,  63.1266, 126.9170
1957.0000,   5.0000,  77.9246,  47.5494, 109.3411
1957.0000,   6.0000, 105.6724,  75.5796, 137.0732
1957.0000,   7.0000,  60.5859,  29.9268,  91.8277
1957.0000,   8.0000,   5.6809, -24.3181,  36.3072
1957.0000,   9.0000,  12.5640, -17.2374,  43.1795
1957.0000,  10.0000, -79.9229,-110.3013, -49.8700
1957.0000,  11.0000, -21.4401, -53.3996,   9.1150
1957.0000,  12.0000, -81.2965,-111.5010, -50.4949
1958.0000,   1.0000, -62.9496, -94.6240, -31.4135
