Lake St. Clair Net Basin Supply (expressed as cubic meters per second),,,,,,,,,,,,,
Component Method using overlake precipitation depth  (precip + runoff - evaporation),,,,,,,,,,,,,
,,,,,,,,,,,,,Annual
Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Average
1950,189,489,255,169,36,-39,-5,-28,-3,65,72,405,134
1951,438,261,585,528,44,11,-8,-24,-15,51,168,392,203
1952,305,457,488,460,48,-5,-37,-31,-26,2,110,109,157
1953,513,282,441,364,96,10,-34,-33,-27,-11,18,55,140
1954,75,97,302,154,125,75,8,91,-12,52,22,36,85
1955,43,532,476,291,40,-2,-40,-33,-15,197,126,188,150
1956,252,285,526,232,74,-8,-40,2,-38,7,96,120,126
1957,43,125,597,364,626,49,56,65,95,41,53,177,191
1958,151,188,247,292,132,27,58,-26,30,44,178,361,140
1959,89,78,234,119,28,-25,-20,-1,1,24,59,66,54
1960,84,146,560,395,131,61,-33,-11,-16,90,186,277,156
1961,196,216,222,760,225,161,-12,0,-5,3,40,22,152
1962,10,145,159,230,94,42,-22,32,6,10,81,73,72
1963,36,40,531,151,41,26,-50,-30,-18,4,103,82,76
1964,39,16,424,174,82,11,-47,1,-25,-10,7,28,58
1965,68,68,183,187,61,-19,-19,36,15,18,17,121,61
1966,119,384,408,457,50,12,-32,-3,-29,19,99,284,147
1967,108,185,298,188,79,100,-14,-13,-7,38,103,417,123
1968,168,97,416,475,122,176,66,29,-1,136,294,388,197
1969,153,576,384,176,113,140,74,-7,-7,43,110,201,163
1970,222,270,229,383,242,78,33,-30,-10,16,80,101,135
1971,18,107,227,332,82,20,-22,-5,1,12,82,206,88
1972,70,243,475,261,25,-5,-29,-9,-9,13,53,111,100
1973,97,48,429,384,101,39,16,8,-12,50,214,278,138
1974,396,146,731,224,143,66,-7,13,-5,11,140,247,175
1975,444,291,499,338,323,56,-19,45,7,6,63,103,180
1976,268,286,446,447,101,84,37,31,133,45,62,181,177
1977,81,657,743,266,209,22,97,52,46,43,84,69,197
1978,40,47,694,282,60,0,-21,-16,102,142,162,451,162
1979,67,40,475,627,129,16,-1,-23,8,28,77,101,129
1980,103,35,495,609,118,39,40,21,0,23,150,302,161
1981,130,71,371,388,103,55,42,58,69,95,42,117,128
1982,28,567,188,221,141,38,9,-2,210,355,208,155,176
1983,144,53,739,546,80,105,43,-7,22,55,291,437,209
1984,113,204,167,284,332,80,25,96,39,60,182,350,161
1985,50,590,460,225,124,170,52,68,99,57,246,240,198
1986,231,523,859,465,46,47,11,19,134,131,429,210,259
1987,200,152,612,174,79,90,17,-3,241,375,127,296,197
1988,133,59,322,267,25,-18,-6,-25,9,36,166,360,111
1989,80,116,278,154,54,8,1,-4,11,72,205,103,90
1990,142,121,164,226,72,160,13,13,53,44,116,87,101
1991,281,390,364,228,166,13,-12,38,65,256,253,371,201
1992,258,242,395,313,123,48,35,17,29,25,79,123,141
1993,147,278,331,352,73,36,104,93,287,173,554,183,218
1994,517,70,321,458,71,86,-8,-6,13,39,66,105,144
1995,101,229,402,255,155,108,86,22,-11,41,86,132,134
1996,299,70,347,240,148,70,16,4,17,33,234,139,135
1997,218,332,221,405,334,277,13,0,170,170,189,361,224
1998,304,579,516,179,247,101,8,29,16,17,80,130,184
1999,369,305,429,203,55,14,4,-13,-7,8,26,48,120
2000,199,146,140,166,52,37,41,4,2,29,49,139,84
2001,70,185,111,233,193,196,124,110,136,113,122,138,144
2002,116,606,287,221,89,65,-16,-43,-9,213,159,288,165
2003,108,338,254,316,175,67,-21,-12,3,17,68,71,115
2004,31,34,302,209,218,60,-9,8,-21,55,245,283,118
2005,171,156,523,161,448,110,25,11,4,2,89,200,158
2006,450,394,299,317,119,19,25,-24,7,52,99,191,162
2007,383,360,473,185,118,19,24,62,34,371,238,432,225
2008,370,78,473,165,117,48,-11,-15,34,1,58,187,125
2009,327,403,453,413,55,103,48,26,105,74,279,601,241
2010,185,635,526,365,257,140,48,25,28,55,78,112,205
2011,108,69,327,216,236,82,32,-17,51,60,129,132,119
2012,212,258,758,389,448,115,29,26,40,204,207,526,268
2013,326,219,215,100,60,41,6,-3,-4,22,69,108,97
2014,272,248,339,595,148,136,81,36,120,152,206,198,211
2015,239,102,255,585,179,85,30,32,87,41,209,344,182
