Lake St. Clair:, Monthly Lake-Wide Average Water Levels (1918 - Present)
Source:, NOAA/NOS; CHS
year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1918,174.59,174.74,174.74,174.84,175,175.14,175.17,175.16,175.1,175.03,174.98,174.99
1919,175.14,174.88,175,175.14,175.3,175.32,175.25,175.16,175.06,175,174.91,174.76
1920,174.3,174.4,174.58,174.82,174.94,175.01,175.07,175.08,175.01,174.92,174.84,174.81
1921,174.87,174.43,174.8,175,175.07,175.08,175.06,174.97,174.88,174.77,174.74,174.76
1922,174.58,174.39,174.62,174.92,174.99,175,175.07,175.02,174.97,174.83,174.69,174.65
1923,174.53,174.4,174.52,174.63,174.76,174.82,174.85,174.79,174.75,174.66,174.56,174.56
1924,174.58,174.29,174.41,174.63,174.76,174.81,174.88,174.85,174.79,174.71,174.52,174.42
1925,174.28,174.18,174.39,174.52,174.51,174.52,174.55,174.54,174.48,174.36,174.3,174.24
1926,173.94,173.89,174.08,174.32,174.48,174.53,174.58,174.6,174.6,174.62,174.57,174.61
1927,174.26,174.12,174.35,174.65,174.73,174.83,174.88,174.83,174.71,174.64,174.54,174.64
1928,174.61,174.46,174.35,174.73,174.84,174.94,175.06,175.05,174.94,174.9,174.89,174.89
1929,175.01,175.13,175.09,175.32,175.48,175.49,175.52,175.44,175.34,175.2,175.1,175.05
1930,175.07,174.98,175.21,175.29,175.29,175.26,175.27,175.19,175.07,174.97,174.8,174.74
1931,174.57,174.15,174.13,174.56,174.66,174.7,174.72,174.67,174.58,174.51,174.43,174.42
1932,174.56,174.6,174.35,174.58,174.68,174.69,174.66,174.6,174.57,174.46,174.45,174.59
1933,174.45,174.26,174.41,174.66,174.76,174.77,174.77,174.7,174.58,174.46,174.36,174.38
1934,174.01,174.04,174.05,174.36,174.42,174.45,174.5,174.41,174.34,174.27,174.18,174.26
1935,174.21,173.93,174.22,174.37,174.44,174.5,174.57,174.57,174.48,174.38,174.36,174.3
1936,173.88,174.13,174.36,174.49,174.56,174.59,174.55,174.48,174.49,174.45,174.36,174.38
1937,174.48,174.38,174.47,174.61,174.74,174.77,174.83,174.78,174.66,174.54,174.42,174.56
1938,174.28,174.51,174.41,174.74,174.79,174.85,174.9,174.9,174.84,174.78,174.67,174.6
1939,174.64,174.13,174.38,174.8,174.87,174.94,174.97,174.93,174.89,174.78,174.7,174.62
1940,174.36,174.23,174.3,174.69,174.72,174.84,174.88,174.86,174.82,174.76,174.62,174.66
1941,174.56,174.28,174.42,174.58,174.69,174.75,174.73,174.68,174.62,174.6,174.54,174.53
1942,174.42,174.07,174.42,174.83,174.9,175.03,175.04,175.02,174.94,174.9,174.82,174.82
1943,174.7,174.57,174.84,174.99,175.25,175.36,175.44,175.41,175.34,175.24,175.14,175.07
1944,174.53,174.68,174.74,175.09,175.18,175.23,175.22,175.16,175.09,175.04,174.93,174.89
1945,174.73,174.62,174.89,175.03,175.18,175.28,175.33,175.28,175.22,175.24,175.1,175.17
1946,174.96,174.6,175.04,175.12,175.15,175.29,175.3,175.21,175.1,175,174.89,174.8
1947,174.61,174.6,174.75,175.15,175.26,175.41,175.4,175.38,175.34,175.22,175.09,175.04
1948,174.98,174.9,175.07,175.22,175.35,175.32,175.32,175.24,175.13,174.96,174.86,174.82
1949,174.89,174.88,174.7,174.94,174.96,174.98,175,174.93,174.8,174.75,174.58,174.57
1950,174.72,174.7,174.71,175.04,175.05,175.04,175.07,175.02,175.01,174.95,174.86,174.99
1951,174.86,174.89,175.12,175.25,175.34,175.38,175.41,175.38,175.31,175.29,175.26,175.4
1952,175.49,175.41,175.51,175.59,175.6,175.63,175.66,175.65,175.57,175.41,175.24,175.23
1953,175.25,175.21,175.29,175.32,175.41,175.49,175.52,175.49,175.39,175.29,175.16,175.06
1954,174.81,174.74,175.13,175.29,175.36,175.39,175.41,175.38,175.3,175.39,175.33,175.29
1955,175.3,175.15,175.36,175.38,175.41,175.43,175.4,175.35,175.22,175.09,174.98,174.95
1956,174.38,174.24,174.78,174.98,175.24,175.22,175.24,175.25,175.19,175.04,174.87,174.84
1957,174.57,174.58,174.8,174.94,175.02,175.03,175.14,175.06,174.98,174.88,174.76,174.8
1958,174.47,174.3,174.65,174.56,174.73,174.76,174.82,174.8,174.76,174.64,174.51,174.55
1959,174.18,174.28,174.59,174.75,174.83,174.86,174.81,174.79,174.73,174.7,174.65,174.71
1960,174.72,174.54,174.71,174.97,175.07,175.21,175.24,175.25,175.2,175.09,174.94,174.94
1961,174.76,174.76,174.93,175.02,175.16,175.14,175.12,175.12,175.04,174.92,174.83,174.76
1962,174.7,174.38,174.79,174.86,174.89,174.94,174.9,174.88,174.82,174.74,174.7,174.64
1963,174.48,174.36,174.53,174.68,174.72,174.72,174.69,174.66,174.6,174.5,174.4,174.38
1964,174.14,174.14,174.32,174.45,174.54,174.53,174.52,174.5,174.44,174.32,174.24,174.24
1965,174.14,174.2,174.44,174.58,174.64,174.68,174.66,174.66,174.64,174.6,174.56,174.6
