Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.000,   1.000,  47.839,  16.550, 165.863
1950.000,   2.000, -79.319,-119.165, -26.776
1950.000,   3.000, 169.346,  74.376, 214.344
1950.000,   4.000, 169.234, 119.189, 203.999
1950.000,   5.000, -22.232, -90.533,   5.790
1950.000,   6.000, -26.135,-102.672,  50.650
1950.000,   7.000, -52.391,-120.329,  33.363
1950.000,   8.000, -97.611,-146.131,  21.966
1950.000,   9.000, -27.379,-103.568,  13.401
1950.000,  10.000, -22.206, -52.674, 112.097
1950.000,  11.000,  71.418,   3.429, 105.228
1950.000,  12.000, -55.818,-116.767, -33.016
1951.000,   1.000, -59.458, -91.034,  58.307
1951.000,   2.000, 149.987, 110.549, 200.231
1951.000,   3.000,  61.746, -33.076, 106.848
1951.000,   4.000, 152.526, 103.312, 186.966
1951.000,   5.000,  14.969, -53.516,  42.658
1951.000,   6.000, -17.392, -93.671,  59.441
1951.000,   7.000, -48.250,-116.929,  37.284
1951.000,   8.000,-101.666,-150.517,  17.622
1951.000,   9.000, -40.170,-116.225,   1.820
1951.000,  10.000,  -1.433, -32.066, 132.901
1951.000,  11.000,  67.575,  -0.564, 100.421
1951.000,  12.000,  43.636, -19.375,  66.252
1952.000,   1.000,-113.689,-144.699,   4.596
1952.000,   2.000, 114.989,  75.703, 166.634
1952.000,   3.000,   7.856, -86.820,  52.355
1952.000,   4.000, 156.096, 107.114, 191.373
1952.000,   5.000,  39.691, -28.607,  67.751
1952.000,   6.000, -34.084,-111.004,  42.003
1952.000,   7.000, -77.289,-146.213,   8.450
1952.000,   8.000,-101.702,-150.340,  17.364
1952.000,   9.000, -44.458,-119.879,  -2.793
1952.000,  10.000, -83.985,-114.798,  49.744
1952.000,  11.000,  41.413, -26.119,  74.367
1952.000,  12.000, -47.550,-109.121, -24.915
1953.000,   1.000, -10.398, -41.528, 107.487
1953.000,   2.000,  17.171, -22.040,  67.824
1953.000,   3.000,  40.944, -53.469,  85.810
1953.000,   4.000, 131.226,  81.842, 165.445
1953.000,   5.000,  35.873, -32.637,  63.214
1953.000,   6.000, -21.615, -98.020,  54.111
1953.000,   7.000, -52.440,-122.200,  33.069
1953.000,   8.000,-105.722,-154.508,  13.033
1953.000,   9.000, -57.150,-132.325, -15.870
1953.000,  10.000, -30.136, -60.865, 103.784
1953.000,  11.000,  15.560, -51.808,  49.009
1953.000,  12.000, -89.204,-149.146, -66.384
1954.000,   1.000,-200.866,-231.573, -83.034
1954.000,   2.000, 246.379, 207.013, 297.580
1954.000,   3.000,  78.215, -15.987, 122.973
1954.000,   4.000, 156.853, 107.281, 191.680
1954.000,   5.000, -18.134, -86.200,   9.268
1954.000,   6.000,  -0.561, -76.613,  76.124
1954.000,   7.000, -64.814,-133.344,  20.595
1954.000,   8.000,-114.162,-162.828,   4.949
1954.000,   9.000, -14.475, -89.231,  28.138
1954.000,  10.000,  35.987,   5.411, 169.736
1954.000,  11.000,  28.722, -38.946,  61.817
1954.000,  12.000, -18.607, -78.883,   4.234
1955.000,   1.000, -93.333,-124.052,  24.702
1955.000,   2.000, 104.483,  65.603, 157.536
1955.000,   3.000,  32.540, -61.578,  77.695
1955.000,   4.000, 110.156,  60.724, 144.318
1955.000,   5.000,  -6.171, -73.806,  21.698
1955.000,   6.000, -34.708,-110.480,  41.736
1955.000,   7.000, -69.122,-138.239,  16.704
1955.000,   8.000,-134.848,-183.565, -15.853
1955.000,   9.000, -48.699,-123.552,  -6.775
1955.000,  10.000, -42.888, -73.711,  91.200
