Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0000,   1.0000, 324.1712, 284.7377, 364.6736
1950.0000,   2.0000,  55.7167,  20.3308,  92.0797
1950.0000,   3.0000, 145.9306, 108.3617, 187.3185
1950.0000,   4.0000, 176.7619, 139.1158, 213.2850
1950.0000,   5.0000, -71.3304,-107.7765, -35.9557
1950.0000,   6.0000, -60.2503, -98.5938, -22.0960
1950.0000,   7.0000, -47.2301, -81.1631, -11.1776
1950.0000,   8.0000, -83.2803,-118.4870, -48.7677
1950.0000,   9.0000, -74.0720,-111.7065, -37.5937
1950.0000,  10.0000, -57.7765, -94.0436, -18.8731
1950.0000,  11.0000, -20.9086, -62.8789,  17.0785
1950.0000,  12.0000,  43.9018,   5.2978,  79.9878
1951.0000,   1.0000,  63.5445,  26.7476, 100.2570
1951.0000,   2.0000, 129.9412,  95.1371, 165.0186
1951.0000,   3.0000, 201.1705, 164.8634, 239.8564
1951.0000,   4.0000, 113.9362,  79.6455, 148.9700
1951.0000,   5.0000,  14.9368, -23.0650,  49.8676
1951.0000,   6.0000, -16.3885, -52.4622,  17.5812
1951.0000,   7.0000, -65.9084, -98.8501, -32.3625
1951.0000,   8.0000,-103.2875,-135.8133, -72.4913
1951.0000,   9.0000,-126.4923,-163.7272, -92.3559
1951.0000,  10.0000, -73.3011,-109.8559, -36.6252
1951.0000,  11.0000,  -8.5940, -48.0495,  26.0558
1951.0000,  12.0000,  64.7308,  28.1995, 101.6493
1952.0000,   1.0000, 284.2962, 249.0565, 320.4721
1952.0000,   2.0000,  44.0363,  12.0534,  78.7684
1952.0000,   3.0000, 133.1032,  97.1819, 171.6189
1952.0000,   4.0000, 101.3112,  68.4077, 135.3811
1952.0000,   5.0000,  -3.4882, -39.7120,  30.6309
1952.0000,   6.0000, -67.3472,-100.8023, -34.1341
1952.0000,   7.0000, -95.7048,-127.9970, -65.1574
1952.0000,   8.0000, -54.9423, -87.1863, -23.5616
1952.0000,   9.0000,-115.6200,-149.2523, -83.1720
1952.0000,  10.0000,-228.9145,-264.5185,-193.9444
1952.0000,  11.0000, -58.2806, -93.9000, -23.9768
1952.0000,  12.0000,  33.7808,  -0.8026,  68.6517
1953.0000,   1.0000,  84.2568,  49.7784, 119.1563
1953.0000,   2.0000, -17.9946, -49.5954,  16.5101
1953.0000,   3.0000, 124.0611,  88.8689, 160.6773
1953.0000,   4.0000,  36.4385,   4.0816,  69.8812
1953.0000,   5.0000, 118.1242,  81.4508, 152.8453
1953.0000,   6.0000,  14.3348, -20.7490,  46.3552
1953.0000,   7.0000, -56.7910, -88.2545, -25.6580
1953.0000,   8.0000, -64.3502, -96.7899, -33.0019
1953.0000,   9.0000,-154.1327,-188.1199,-120.0319
1953.0000,  10.0000,-118.0174,-152.8514, -83.3347
1953.0000,  11.0000, -60.0150, -97.1022, -24.9106
1953.0000,  12.0000, -82.9845,-117.7187, -46.3295
1954.0000,   1.0000, -14.5394, -49.6660,  21.3561
1954.0000,   2.0000,  68.8979,  37.8274, 102.9381
1954.0000,   3.0000, 209.0470, 172.9909, 246.5338
1954.0000,   4.0000, 224.2175, 189.9640, 256.4722
1954.0000,   5.0000, -56.0729, -90.0077, -23.2641
1954.0000,   6.0000, -12.7030, -45.1919,  19.9851
1954.0000,   7.0000, -57.1586, -89.2832, -26.6742
1954.0000,   8.0000, -66.9266, -99.7898, -35.2969
1954.0000,   9.0000, -93.8030,-128.7343, -60.2909
1954.0000,  10.0000, 150.4625, 113.4164, 187.6914
1954.0000,  11.0000, -71.4546,-109.3851, -37.8901
1954.0000,  12.0000,  -0.1701, -34.4340,  35.6740
1955.0000,   1.0000,  40.2636,   8.0288,  76.3199
1955.0000,   2.0000,  29.4155,  -3.2863,  62.5405
1955.0000,   3.0000, 182.5666, 148.2780, 219.3064
1955.0000,   4.0000,  64.0024,  29.6153,  95.7234
1955.0000,   5.0000, -75.3338,-107.5523, -42.3865
1955.0000,   6.0000, -69.9286,-104.7874, -37.9878
1955.0000,   7.0000, -59.9003, -92.0763, -28.0679
1955.0000,   8.0000, -76.7520,-106.3557, -43.8652
1955.0000,   9.0000,-133.1341,-167.7299,-100.8283
1955.0000,  10.0000, -76.3329,-111.1651, -39.2161
1955.0000,  11.0000,-106.6843,-140.5678, -72.6762
1955.0000,  12.0000, -65.8214,-100.5228, -30.2422
1956.0000,   1.0000,-153.2211,-184.5773,-115.8325
1956.0000,   2.0000, -12.7224, -44.4307,  18.9320
1956.0000,   3.0000, 229.7665, 197.4931, 263.4466
1956.0000,   4.0000, 160.3325, 125.3818, 192.1330
1956.0000,   5.0000, 229.9639, 195.4572, 263.4284
1956.0000,   6.0000,  -5.8198, -40.9780,  27.9195
1956.0000,   7.0000, -33.9448, -65.3864,  -1.5499
1956.0000,   8.0000,   4.0128, -27.6216,  36.4952
1956.0000,   9.0000,-176.7589,-208.0267,-144.9828
1956.0000,  10.0000,-125.7363,-159.4423, -88.9980
1956.0000,  11.0000,-172.2613,-205.0454,-138.7450
1956.0000,  12.0000,  11.0244, -24.2877,  43.8264
1957.0000,   1.0000, -27.9567, -59.7463,   7.9707
1957.0000,   2.0000,  33.2132,  -0.3081,  65.8669
1957.0000,   3.0000,  40.5677,   9.0907,  74.9610
1957.0000,   4.0000, 257.2670, 224.6205, 291.3298
1957.0000,   5.0000,  23.8629,  -9.0950,  57.4092
1957.0000,   6.0000,  54.2699,  19.8516,  86.7483
1957.0000,   7.0000, -17.3783, -51.9968,  14.0253
1957.0000,   8.0000,-150.2244,-182.3684,-117.1639
1957.0000,   9.0000, -80.5894,-113.4663, -50.5866
1957.0000,  10.0000,-138.1659,-173.2128,-102.1753
1957.0000,  11.0000, -75.7415,-110.3648, -42.8083
1957.0000,  12.0000,  94.2908,  60.5503, 128.3660
1958.0000,   1.0000, -92.8626,-124.6960, -56.4666
1958.0000,   2.0000,-113.9973,-146.4118, -81.2304
1958.0000,   3.0000,  43.9826,  10.9959,  79.6716
1958.0000,   4.0000,  61.4119,  27.9080,  94.5187
1958.0000,   5.0000,  25.3933,  -8.9761,  57.3704
1958.0000,   6.0000,  70.9735,  36.4934, 104.6853
1958.0000,   7.0000,  40.9386,   9.7607,  72.6750
1958.0000,   8.0000, -35.7625, -67.3894,  -4.9918
1958.0000,   9.0000, -49.4079, -82.4957, -17.7861
1958.0000,  10.0000,-139.5216,-173.3413,-102.5578
1958.0000,  11.0000, -81.7589,-115.6089, -49.2068
1958.0000,  12.0000, -84.5498,-118.2690, -50.3658
1959.0000,   1.0000,  72.7612,  38.7077, 107.8563
1959.0000,   2.0000, 105.6080,  73.8336, 139.2280
1959.0000,   3.0000, 138.1131, 104.3545, 174.7215
1959.0000,   4.0000, 165.4614, 133.0736, 198.3970
1959.0000,   5.0000,  53.0495,  17.1178,  86.2834
1959.0000,   6.0000, -68.5734,-106.2846, -36.3766
1959.0000,   7.0000, -72.5886,-102.7183, -40.3505
1959.0000,   8.0000, -53.1434, -86.2677, -21.1383
1959.0000,   9.0000,-114.8318,-147.1015, -80.9107
1959.0000,  10.0000, -34.6047, -68.8305,   1.8124
1959.0000,  11.0000, -29.7308, -63.0867,   2.5248
1959.0000,  12.0000, 128.2134,  95.9645, 161.9902
1960.0000,   1.0000,  93.3475,  59.4288, 128.5704
1960.0000,   2.0000,   4.9304, -27.0474,  37.8864
1960.0000,   3.0000,  16.2226, -17.6875,  51.9571
1960.0000,   4.0000, 173.5478, 140.1681, 205.3547
1960.0000,   5.0000,  97.2186,  61.3349, 132.7527
1960.0000,   6.0000,  81.0796,  45.1200, 111.6783
1960.0000,   7.0000, -14.1860, -46.1698,  16.0181
1960.0000,   8.0000, -23.3967, -56.5506,   8.1452
1960.0000,   9.0000,-104.2792,-137.5298, -71.0459
1960.0000,  10.0000,-156.6932,-190.8072,-119.8529
1960.0000,  11.0000, -81.3790,-114.2381, -48.7886
1960.0000,  12.0000,-122.8551,-153.4183, -89.4938
1961.0000,   1.0000, -19.2449, -49.7288,  14.2247
1961.0000,   2.0000, 116.3973,  84.7357, 147.5424
1961.0000,   3.0000, 151.3369, 117.3860, 188.4979
1961.0000,   4.0000, 301.5014, 265.4143, 334.8801
1961.0000,   5.0000,  -8.4932, -42.7417,  26.1858
1961.0000,   6.0000,  -9.5408, -44.9168,  20.7942
1961.0000,   7.0000, -33.3820, -64.6309,  -2.3360
1961.0000,   8.0000, -59.3393, -92.2457, -26.1954
1961.0000,   9.0000,-120.5761,-154.5922, -88.2297
1961.0000,  10.0000,-164.9381,-199.0227,-129.1118
1961.0000,  11.0000, -84.5491,-119.0452, -51.0856
1961.0000,  12.0000, -79.9518,-112.2229, -47.2332
1962.0000,   1.0000,  12.0675, -19.9259,  44.7726
1962.0000,   2.0000,  -7.9564, -40.9050,  26.1877
1962.0000,   3.0000, 136.0956, 102.0217, 170.4400
1962.0000,   4.0000,  48.9551,  15.4656,  82.6938
1962.0000,   5.0000,   5.2242, -28.2123,  37.4479
1962.0000,   6.0000,  39.9484,   7.9923,  72.7535
1962.0000,   7.0000, -41.9430, -72.3115, -11.4771
1962.0000,   8.0000, -37.6226, -69.4337,  -5.7521
1962.0000,   9.0000, -70.6807,-107.2956, -37.7316
1962.0000,  10.0000, -76.1676,-109.9764, -38.8493
1962.0000,  11.0000,  -7.0154, -42.0574,  25.4597
1962.0000,  12.0000, -82.1204,-113.4412, -48.1070
1963.0000,   1.0000, -67.0144, -98.8563, -34.3017
1963.0000,   2.0000, -83.6749,-116.0970, -50.2088
1963.0000,   3.0000, 237.0679, 203.7531, 270.7876
1963.0000,   4.0000, 103.0020,  70.5327, 136.5464
1963.0000,   5.0000,   4.2694, -29.2998,  36.9070
1963.0000,   6.0000, -47.0090, -80.1634, -16.1646
1963.0000,   7.0000, -41.9491, -75.8349, -11.4029
1963.0000,   8.0000, -67.2401, -97.8331, -33.8057
1963.0000,   9.0000, -90.7217,-125.3734, -56.9294
1963.0000,  10.0000, -70.1201,-104.7516, -35.0439
1963.0000,  11.0000, -71.4224,-104.3554, -36.3885
1963.0000,  12.0000, -93.9132,-126.9106, -60.1207
1964.0000,   1.0000,  53.9879,  20.3749,  87.7881
1964.0000,   2.0000,   1.5300, -31.7668,  34.2073
1964.0000,   3.0000, 152.6630, 119.0470, 187.8397
1964.0000,   4.0000, 172.2325, 140.6167, 205.2848
1964.0000,   5.0000, -15.2660, -49.6143,  18.0559
1964.0000,   6.0000, -20.1765, -49.6701,  10.7273
1964.0000,   7.0000, -62.2720, -97.6249, -31.1244
1964.0000,   8.0000, -22.0446, -53.3569,   9.1657
1964.0000,   9.0000,-113.7775,-149.0023, -80.3725
1964.0000,  10.0000,-130.7388,-165.5163, -95.3394
1964.0000,  11.0000, -68.4373,-102.2531, -33.7197
1964.0000,  12.0000,  33.9380,   1.3633,  68.0574
1965.0000,   1.0000,  70.2442,  37.8147, 105.1938
1965.0000,   2.0000,  99.8975,  66.6781, 132.2933
1965.0000,   3.0000, 106.3443,  72.4860, 141.1507
1965.0000,   4.0000, 143.1415, 112.0445, 175.4913
1965.0000,   5.0000,  32.9593,  -2.9405,  67.3136
1965.0000,   6.0000, -27.9724, -58.3083,   4.5935
1965.0000,   7.0000, -54.5807, -87.0832, -24.5133
1965.0000,   8.0000, -29.2809, -60.6760,   2.5289
1965.0000,   9.0000, -33.8859, -66.6047,  -2.5250
1965.0000,  10.0000, -59.3963, -95.9473, -22.8107
1965.0000,  11.0000, -26.6310, -62.7087,   8.9865
1965.0000,  12.0000,  98.9321,  65.6183, 133.2334
1966.0000,   1.0000,  -5.6156, -37.5041,  29.2726
1966.0000,   2.0000,  65.3926,  31.2996,  96.6907
1966.0000,   3.0000,  98.1349,  65.0005, 133.6562
1966.0000,   4.0000, 120.9233,  87.4703, 153.8629
1966.0000,   5.0000,  26.0160,  -7.0078,  61.4731
1966.0000,   6.0000,  20.1954, -11.9805,  52.6975
1966.0000,   7.0000, -43.4624, -77.1829, -12.2658
1966.0000,   8.0000, -41.0906, -73.6172,  -8.6122
1966.0000,   9.0000,-130.5251,-162.4486, -98.5866
1966.0000,  10.0000,-152.1395,-188.9238,-115.8314
1966.0000,  11.0000,  63.9211,  29.5714,  97.5574
1966.0000,  12.0000, 143.6800, 111.4469, 178.3282
1967.0000,   1.0000,  -1.4281, -34.5027,  31.1843
1967.0000,   2.0000, -35.9239, -68.4933,  -1.5089
1967.0000,   3.0000, 101.4391,  67.4108, 136.1994
1967.0000,   4.0000, 130.9323,  98.8641, 163.8758
1967.0000,   5.0000,  73.0436,  38.4638, 105.8045
1967.0000,   6.0000,  42.2222,  10.0928,  74.5804
1967.0000,   7.0000, -24.1007, -58.4303,   7.6882
1967.0000,   8.0000, -66.9115, -98.3768, -35.1540
1967.0000,   9.0000, -61.4394, -94.2987, -28.1952
1967.0000,  10.0000, -53.5043, -88.9524, -16.1989
1967.0000,  11.0000, -20.3779, -53.5656,  13.1049
1967.0000,  12.0000, 107.9025,  75.7855, 140.3497
1968.0000,   1.0000,  66.1048,  32.5815, 101.0410
1968.0000,   2.0000,   1.0156, -31.0877,  35.6482
1968.0000,   3.0000,  63.7247,  29.9189,  99.1095
