Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0000,   1.0000,  88.8467,  74.5147, 103.5642
1950.0000,   2.0000,  65.0998,  52.2001,  78.1573
1950.0000,   3.0000, 122.5678, 109.0762, 135.9663
1950.0000,   4.0000, 207.7979, 193.9899, 221.4966
1950.0000,   5.0000, 141.8508, 129.5242, 155.4629
1950.0000,   6.0000, 143.2324, 130.1485, 156.1451
1950.0000,   7.0000, 134.1557, 121.9241, 147.0827
1950.0000,   8.0000,  69.9323,  58.0365,  82.5259
1950.0000,   9.0000,  58.9582,  46.0147,  72.6056
1950.0000,  10.0000,  29.1939,  15.7200,  42.5905
1950.0000,  11.0000,   5.1142,  -8.3230,  19.0000
1950.0000,  12.0000,  21.0288,   6.7328,  34.6904
1951.0000,   1.0000,  67.7035,  55.4431,  81.6682
1951.0000,   2.0000,  87.3236,  75.0821, 100.1887
1951.0000,   3.0000, 144.0748, 130.9836, 157.7897
1951.0000,   4.0000, 281.4623, 267.7725, 294.3470
1951.0000,   5.0000, 143.3975, 131.0495, 156.5635
1951.0000,   6.0000, 121.2500, 109.3193, 133.2885
1951.0000,   7.0000, 162.4048, 149.9192, 174.6637
1951.0000,   8.0000,  94.7439,  83.2443, 106.9354
1951.0000,   9.0000,  56.5476,  43.0088,  69.8302
1951.0000,  10.0000, 135.0147, 121.8178, 148.6798
1951.0000,  11.0000,  60.5835,  46.3382,  74.6300
1951.0000,  12.0000,  63.3180,  49.8350,  77.0411
1952.0000,   1.0000, 107.3479,  94.3785, 119.9764
1952.0000,   2.0000,  61.5855,  48.6851,  74.1970
1952.0000,   3.0000, 119.8359, 107.0679, 132.8031
1952.0000,   4.0000, 216.6800, 203.8259, 229.5757
1952.0000,   5.0000, 153.4813, 140.7984, 165.9707
1952.0000,   6.0000, 116.5770, 104.6064, 129.4187
1952.0000,   7.0000, 169.3621, 156.8237, 181.4458
1952.0000,   8.0000,  87.7963,  76.3047,  99.6351
1952.0000,   9.0000,   9.8694,  -2.8922,  23.4733
1952.0000,  10.0000, -87.4284,-100.2408, -74.2076
1952.0000,  11.0000,  43.0714,  29.3360,  56.6637
1952.0000,  12.0000,  34.7280,  21.0254,  47.8079
1953.0000,   1.0000,  32.2131,  19.5080,  44.7801
1953.0000,   2.0000,  70.7411,  58.1966,  83.6019
1953.0000,   3.0000, 133.6357, 120.8286, 147.3609
1953.0000,   4.0000, 164.0582, 151.3184, 177.3467
1953.0000,   5.0000, 165.5563, 153.2958, 178.3107
1953.0000,   6.0000, 135.5398, 123.3334, 148.0818
1953.0000,   7.0000,  97.9826,  85.9503, 110.6801
1953.0000,   8.0000,  62.2418,  50.5992,  73.9639
1953.0000,   9.0000,  11.0188,  -1.7184,  23.2185
1953.0000,  10.0000,  -5.0851, -17.3356,   7.6996
1953.0000,  11.0000, -18.5125, -30.7636,  -5.3387
1953.0000,  12.0000, -17.2547, -30.1185,  -4.0667
1954.0000,   1.0000, -18.3338, -30.7478,  -5.2769
1954.0000,   2.0000,  84.8127,  72.4130,  97.3979
1954.0000,   3.0000,  98.1234,  85.8582, 110.2221
1954.0000,   4.0000, 214.2869, 201.1063, 227.5662
1954.0000,   5.0000, 145.6952, 133.2167, 158.7502
1954.0000,   6.0000, 205.0968, 192.7872, 217.2964
1954.0000,   7.0000,  95.6645,  83.5880, 107.8397
1954.0000,   8.0000,  45.4123,  33.5045,  57.4239
1954.0000,   9.0000, 101.1228,  88.3074, 114.5569
1954.0000,  10.0000, 191.2351, 177.7892, 204.8110
1954.0000,  11.0000,  31.5029,  18.0319,  45.0923
1954.0000,  12.0000,   3.7968, -10.0489,  17.4726
1955.0000,   1.0000,  19.8555,   7.0365,  32.7232
1955.0000,   2.0000,  45.2551,  33.4526,  57.4882
1955.0000,   3.0000,  87.6432,  74.7708,  99.7125
1955.0000,   4.0000, 185.9436, 172.8977, 198.8743
1955.0000,   5.0000, 119.8112, 107.7371, 132.5453
1955.0000,   6.0000,  83.5398,  71.8898,  95.7257
1955.0000,   7.0000,  60.9286,  49.4073,  72.0024
1955.0000,   8.0000,  29.1559,  18.1231,  39.4628
1955.0000,   9.0000, -33.1108, -45.3779, -21.0658
1955.0000,  10.0000,  60.7369,  47.1522,  73.7878
