Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,   1.0,  71.1,  64.8,  77.6
1950.0,   2.0,  72.0,  65.5,  78.8
1950.0,   3.0,  73.9,  67.7,  80.5
1950.0,   4.0,  84.0,  78.1,  90.2
1950.0,   5.0,  74.2,  68.5,  80.9
1950.0,   6.0, 110.8, 105.1, 116.2
1950.0,   7.0, 114.9, 108.5, 120.7
1950.0,   8.0, 113.0, 106.6, 119.5
1950.0,   9.0, 106.0,  99.1, 112.3
1950.0,  10.0,  84.0,  77.6,  89.6
1950.0,  11.0,  68.2,  62.8,  74.1
1950.0,  12.0,  86.9,  80.6,  93.0
1951.0,   1.0,  75.0,  68.9,  81.3
1951.0,   2.0,  76.9,  70.7,  83.3
1951.0,   3.0,  76.0,  69.8,  82.7
1951.0,   4.0,  83.9,  78.0,  90.3
1951.0,   5.0,  90.1,  84.2,  96.0
1951.0,   6.0, 106.9, 101.5, 112.4
1951.0,   7.0, 107.0, 101.3, 113.1
1951.0,   8.0, 109.0, 102.5, 114.9
1951.0,   9.0, 111.0, 104.5, 117.3
1951.0,  10.0,  89.9,  83.9,  95.4
1951.0,  11.0,  69.2,  63.2,  75.3
1951.0,  12.0,  59.0,  53.3,  65.7
1952.0,   1.0,  67.0,  60.4,  73.4
1952.0,   2.0,  62.0,  55.4,  68.9
1952.0,   3.0,  76.0,  69.7,  82.7
1952.0,   4.0,  77.1,  71.4,  83.6
1952.0,   5.0,  89.1,  83.0,  95.1
1952.0,   6.0, 110.8, 104.8, 116.1
1952.0,   7.0, 114.9, 109.0, 120.5
1952.0,   8.0, 114.0, 107.8, 120.0
1952.0,   9.0,  96.0,  89.4, 102.7
1952.0,  10.0,  78.1,  72.1,  83.8
1952.0,  11.0,  81.0,  75.2,  86.8
1952.0,  12.0,  95.8,  89.4, 101.9
1953.0,   1.0,  70.0,  63.6,  76.7
1953.0,   2.0,  68.0,  61.7,  75.0
1953.0,   3.0,  78.9,  72.7,  85.6
1953.0,   4.0,  78.1,  72.5,  84.6
1953.0,   5.0,  89.1,  83.1,  95.0
1953.0,   6.0,  99.9,  94.3, 105.7
1953.0,   7.0, 101.1,  95.7, 106.9
1953.0,   8.0, 119.0, 112.4, 125.2
1953.0,   9.0, 125.8, 119.0, 131.9
1953.0,  10.0,  78.1,  72.6,  84.2
1953.0,  11.0,  86.0,  79.8,  91.4
1953.0,  12.0,  89.9,  83.9,  96.2
1954.0,   1.0,  80.9,  74.6,  87.6
1954.0,   2.0,  73.9,  67.5,  80.6
1954.0,   3.0,  82.0,  75.5,  88.0
1954.0,   4.0,  94.0,  88.2, 100.4
1954.0,   5.0,  89.1,  82.9,  95.0
1954.0,   6.0,  94.1,  88.5, 100.7
1954.0,   7.0, 111.9, 106.1, 117.4
1954.0,   8.0, 113.0, 106.8, 119.1
1954.0,   9.0,  90.1,  83.6,  96.5
1954.0,  10.0, 119.7, 112.5, 124.3
1954.0,  11.0,  60.1,  54.6,  66.5
1954.0,  12.0,  78.0,  72.0,  84.1
1955.0,   1.0,  76.9,  70.6,  83.2
1955.0,   2.0,  79.9,  73.4,  86.4
1955.0,   3.0,  74.0,  67.5,  80.3
1955.0,   4.0, 100.0,  93.6, 106.1
1955.0,   5.0, 105.0,  98.9, 111.0
1955.0,   6.0, 104.9,  99.7, 110.4
1955.0,   7.0, 104.1,  98.1, 110.0
1955.0,   8.0, 108.1, 101.9, 114.5
1955.0,   9.0,  91.1,  84.6,  97.2
1955.0,  10.0,  80.0,  74.1,  85.6
1955.0,  11.0,  80.0,  74.1,  85.4
1955.0,  12.0,  97.8,  91.4, 103.6
1956.0,   1.0,  79.9,  73.2,  86.2
1956.0,   2.0,  78.9,  72.3,  85.4
1956.0,   3.0,  76.9,  70.5,  83.7
1956.0,   4.0, 101.8,  95.8, 108.0
1956.0,   5.0,  97.1,  90.9, 103.0
1956.0,   6.0, 102.0,  96.5, 107.6
1956.0,   7.0, 108.9, 103.1, 114.7
1956.0,   8.0, 115.0, 108.3, 121.2
1956.0,   9.0,  92.1,  85.5,  98.6
1956.0,  10.0,  92.0,  85.8,  97.3
1956.0,  11.0,  82.0,  75.8,  87.6
1956.0,  12.0, 164.4, 156.4, 170.0
1957.0,   1.0, 257.3, 248.0, 262.8
1957.0,   2.0, 226.0, 217.1, 231.5
1957.0,   3.0,  81.0,  74.3,  87.3
1957.0,   4.0,  94.8,  89.0, 100.9
1957.0,   5.0,  95.0,  89.2, 100.8
1957.0,   6.0,  94.9,  89.4, 101.1
1957.0,   7.0, 113.9, 107.9, 119.6
1957.0,   8.0,  97.1,  91.1, 103.9
1957.0,   9.0,  85.2,  79.2,  91.6
1957.0,  10.0,  89.0,  83.0,  94.1
1957.0,  11.0,  86.0,  79.7,  91.3
1957.0,  12.0,  95.9,  89.7, 102.0
1958.0,   1.0,  81.0,  74.7,  87.6
1958.0,   2.0,  94.8,  88.5, 101.7
1958.0,   3.0,  78.9,  72.8,  85.9
1958.0,   4.0,  92.0,  86.2,  98.3
1958.0,   5.0,  97.1,  90.5, 102.9
1958.0,   6.0,  99.1,  93.9, 105.2
1958.0,   7.0, 103.1,  97.5, 109.7
1958.0,   8.0,  98.1,  91.9, 104.6
1958.0,   9.0,  88.2,  81.8,  95.1
1958.0,  10.0,  84.0,  78.3,  89.7
1958.0,  11.0,  94.9,  88.4, 100.5
1958.0,  12.0,  96.8,  90.7, 102.8
1959.0,   1.0, 130.7, 123.8, 136.8
1959.0,   2.0,  73.0,  66.6,  79.7
1959.0,   3.0,  80.0,  73.5,  86.4
1959.0,   4.0,  80.1,  74.1,  86.5
1959.0,   5.0,  76.3,  70.8,  82.6
1959.0,   6.0,  95.1,  90.1, 101.3
1959.0,   7.0, 105.1,  99.7, 111.1
1959.0,   8.0, 117.9, 111.9, 124.1
1959.0,   9.0,  92.2,  86.1,  99.2
1959.0,  10.0,  86.9,  81.3,  92.5
1959.0,  11.0,  83.0,  76.6,  88.5
1959.0,  12.0,  97.8,  91.2, 104.0
1960.0,   1.0, 100.8,  94.1, 107.2
1960.0,   2.0,  81.9,  75.4,  88.7
1960.0,   3.0,  86.9,  80.3,  93.2
1960.0,   4.0, 103.9,  97.5, 109.8
1960.0,   5.0,  98.0,  91.9, 103.9
1960.0,   6.0,  92.1,  86.8,  98.3
1960.0,   7.0,  91.2,  85.7,  97.9
1960.0,   8.0,  90.2,  84.1,  96.9
1960.0,   9.0,  96.2,  89.7, 102.7
1960.0,  10.0,  83.0,  77.5,  88.7
1960.0,  11.0,  86.0,  79.9,  91.2
1960.0,  12.0, 100.9,  95.1, 107.0
1961.0,   1.0,  82.9,  76.6,  89.6
1961.0,   2.0,  82.0,  75.7,  88.5
1961.0,   3.0,  84.9,  78.8,  91.2
1961.0,   4.0,  99.9,  93.6, 106.0
1961.0,   5.0, 100.0,  93.6, 105.7
1961.0,   6.0, 104.9,  98.9, 110.3
1961.0,   7.0, 104.0,  98.3, 110.3
1961.0,   8.0, 106.0,  99.9, 112.6
1961.0,   9.0, 128.8, 122.0, 134.9
1961.0,  10.0,  65.2,  59.7,  71.7
1961.0,  11.0,  58.2,  52.8,  64.7
1961.0,  12.0,  83.9,  77.9,  89.7
1962.0,   1.0,  83.0,  76.7,  89.1
1962.0,   2.0,  69.0,  62.7,  75.5
1962.0,   3.0,  72.0,  65.7,  78.2
1962.0,   4.0,  83.1,  77.2,  89.8
1962.0,   5.0, 100.1,  93.7, 105.8
1962.0,   6.0, 104.0,  98.0, 109.7
1962.0,   7.0, 109.0, 102.8, 114.9
1962.0,   8.0, 116.0, 109.8, 122.4
1962.0,   9.0, 105.0,  98.4, 111.3
1962.0,  10.0,  89.0,  82.8,  94.5
1962.0,  11.0,  89.0,  83.1,  94.5
1962.0,  12.0,  99.8,  93.1, 105.8
1963.0,   1.0,  68.0,  61.4,  74.6
1963.0,   2.0,  74.9,  68.4,  81.5
1963.0,   3.0,  78.0,  72.0,  84.4
1963.0,   4.0, 109.9, 104.0, 115.6
1963.0,   5.0, 110.9, 104.1, 116.4
1963.0,   6.0, 106.0, 100.0, 111.6
1963.0,   7.0, 109.0, 103.2, 115.3
1963.0,   8.0, 101.0,  94.6, 107.3
1963.0,   9.0,  91.1,  84.9,  97.8
1963.0,  10.0,  77.1,  71.2,  83.1
1963.0,  11.0,  88.0,  81.4,  93.5
1963.0,  12.0,  95.9,  89.4, 102.1
1964.0,   1.0,  70.0,  63.6,  76.7
1964.0,   2.0,  69.9,  63.6,  76.7
1964.0,   3.0,  76.0,  69.8,  82.4
1964.0,   4.0,  90.9,  84.9,  97.1
1964.0,   5.0,  99.1,  93.1, 104.7
1964.0,   6.0, 111.8, 105.7, 117.0
1964.0,   7.0, 115.8, 109.4, 121.6
1964.0,   8.0, 103.0,  96.8, 109.4
1964.0,   9.0, 105.0,  98.7, 111.2
1964.0,  10.0,  78.1,  72.1,  84.1
1964.0,  11.0,  98.8,  92.0, 104.4
1964.0,  12.0,  88.9,  82.4,  95.0
1965.0,   1.0,  80.0,  73.4,  86.4
1965.0,   2.0,  79.0,  72.9,  85.4
1965.0,   3.0,  84.9,  78.3,  91.2
1965.0,   4.0,  94.9,  88.6, 101.3
1965.0,   5.0,  84.1,  78.5,  90.6
1965.0,   6.0,  90.2,  85.1,  96.4
