Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.000000,   1.000000,  81.659515,  72.961664,  90.149357
1950.000000,   2.000000,  49.925607,  41.863959,  57.631351
1950.000000,   3.000000,  37.300445,  29.407758,  45.200529
1950.000000,   4.000000,  17.929855,  11.269569,  24.422832
1950.000000,   5.000000,  -2.767723,  -8.593876,   3.170282
1950.000000,   6.000000,  -6.636680, -13.171612,  -0.432025
1950.000000,   7.000000,  -0.811864,  -8.071595,   6.866765
1950.000000,   8.000000,  34.320891,  25.866979,  42.626656
1950.000000,   9.000000,  43.721886,  34.954785,  52.008962
1950.000000,  10.000000,  47.075615,  38.215911,  55.683903
1950.000000,  11.000000, 116.477702, 107.983147, 125.281947
1950.000000,  12.000000, 108.124851,  99.126751, 116.755939
1951.000000,   1.000000,  53.303024,  44.425798,  61.611150
1951.000000,   2.000000,  29.692708,  22.056690,  37.696099
1951.000000,   3.000000,  28.197404,  20.448280,  36.022885
1951.000000,   4.000000,  -0.263529,  -6.831141,   6.355846
1951.000000,   5.000000,  -4.314971, -10.048508,   1.571998
1951.000000,   6.000000,  -5.381467, -11.746806,   0.680366
1951.000000,   7.000000,  -3.326575, -10.632942,   4.415592
1951.000000,   8.000000,  26.430792,  18.264612,  34.397750
1951.000000,   9.000000,  69.173042,  60.656971,  77.717322
1951.000000,  10.000000,  60.706873,  51.825127,  69.149984
1951.000000,  11.000000, 117.020902, 108.246049, 125.919045
1951.000000,  12.000000,  91.688627,  82.875244, 100.455046
1952.000000,   1.000000,  50.020678,  41.721122,  58.440257
1952.000000,   2.000000,  34.836685,  26.711432,  43.001089
1952.000000,   3.000000,  31.065718,  23.303620,  39.007331
1952.000000,   4.000000,   3.497178,  -3.158418,  10.123724
1952.000000,   5.000000,  -3.238698,  -8.797213,   2.767038
1952.000000,   6.000000,  -5.747837, -11.852160,   0.443885
1952.000000,   7.000000,   8.860994,   1.336200,  16.667867
1952.000000,   8.000000,  34.562027,  26.754461,  42.809072
1952.000000,   9.000000,  71.042473,  62.705615,  79.553557
1952.000000,  10.000000, 131.616501, 123.195437, 140.266766
1952.000000,  11.000000,  82.240476,  73.193730,  90.735094
1952.000000,  12.000000,  78.703339,  69.338882,  87.256710
1953.000000,   1.000000,  71.834669,  63.455856,  80.016317
1953.000000,   2.000000,  44.299324,  36.405558,  51.941681
1953.000000,   3.000000,  27.606881,  19.665601,  35.108367
1953.000000,   4.000000,  13.647254,   7.207664,  20.276557
1953.000000,   5.000000,  -0.689210,  -6.659498,   5.297631
1953.000000,   6.000000,  -3.059095,  -9.353645,   3.066244
1953.000000,   7.000000,  21.954886,  14.620942,  29.381496
1953.000000,   8.000000,  34.525850,  26.267188,  42.929809
1953.000000,   9.000000,  91.006573,  82.686157,  99.626207
1953.000000,  10.000000,  65.116736,  56.537043,  73.641520
1953.000000,  11.000000,  88.685831,  80.000101,  97.646260
1953.000000,  12.000000, 120.629119, 111.574356, 129.134922
1954.000000,   1.000000, 101.967651,  93.467650, 110.705822
1954.000000,   2.000000,  29.362663,  21.839497,  37.493096
1954.000000,   3.000000,  54.530575,  47.213996,  62.157192
1954.000000,   4.000000,  11.012822,   4.246859,  17.743573
1954.000000,   5.000000,   2.139411,  -3.373968,   8.093201
1954.000000,   6.000000,  -4.296706, -10.512724,   1.941818
1954.000000,   7.000000,  13.832863,   6.291131,  21.446889
1954.000000,   8.000000,  48.676514,  40.083666,  56.708948
1954.000000,   9.000000,  52.475696,  43.710162,  60.928698
1954.000000,  10.000000,  68.748972,  60.120219,  77.047949
1954.000000,  11.000000,  82.436566,  73.601425,  91.274033
1954.000000,  12.000000, 107.042709,  97.773335, 116.092795
1955.000000,   1.000000,  91.091414,  82.341208,  99.375691
1955.000000,   2.000000,  41.198628,  33.669648,  48.976739
1955.000000,   3.000000,  44.893419,  37.421955,  52.525128
1955.000000,   4.000000,  -0.202096,  -6.809279,   6.402389
1955.000000,   5.000000,  -0.644763,  -6.343422,   4.992510
1955.000000,   6.000000,   3.389519,  -2.845894,   9.769016
1955.000000,   7.000000,  16.110719,   8.800096,  23.681972
1955.000000,   8.000000,  60.887436,  52.949769,  68.978837
1955.000000,   9.000000,  86.707986,  78.346232,  95.332352
1955.000000,  10.000000,  70.089217,  61.512668,  78.906419
1955.000000,  11.000000, 133.175156, 124.155720, 142.179559
1955.000000,  12.000000, 125.090874, 116.380933, 133.876312
1956.000000,   1.000000,  59.554912,  51.078468,  67.694018
1956.000000,   2.000000,  38.679662,  30.907631,  46.468133
1956.000000,   3.000000,  35.861247,  28.057638,  43.505781
