Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.00,   1.00,  89.94,  83.73,  95.93
1950.00,   2.00,  60.85,  55.12,  66.27
1950.00,   3.00,  66.33,  60.36,  72.04
1950.00,   4.00,  81.33,  75.14,  87.37
1950.00,   5.00,  34.20,  27.95,  40.74
1950.00,   6.00,  81.67,  75.24,  88.41
1950.00,   7.00,  93.25,  87.33,  99.70
1950.00,   8.00,  72.99,  66.88,  79.38
1950.00,   9.00,  66.39,  59.80,  73.29
1950.00,  10.00,  43.84,  37.13,  50.36
1950.00,  11.00,  79.75,  73.59,  86.09
1950.00,  12.00,  67.13,  60.95,  73.31
1951.00,   1.00,  58.07,  52.44,  64.38
1951.00,   2.00,  55.45,  50.04,  61.48
1951.00,   3.00,  76.92,  70.91,  82.99
1951.00,   4.00,  97.02,  91.03, 103.31
1951.00,   5.00,  45.50,  39.09,  52.12
1951.00,   6.00,  65.73,  59.09,  72.18
1951.00,   7.00, 106.65, 100.41, 112.74
1951.00,   8.00,  84.17,  78.15,  90.80
1951.00,   9.00,  86.57,  79.86,  93.44
1951.00,  10.00, 123.76, 117.11, 130.32
1951.00,  11.00,  80.45,  74.12,  86.95
1951.00,  12.00,  80.95,  74.91,  87.48
1952.00,   1.00,  67.16,  61.18,  73.07
1952.00,   2.00,  28.31,  22.87,  34.04
1952.00,   3.00,  64.16,  57.98,  69.88
1952.00,   4.00,  65.31,  59.19,  71.35
1952.00,   5.00,  72.81,  66.40,  79.36
1952.00,   6.00,  62.68,  56.48,  69.34
1952.00,   7.00, 132.48, 126.46, 138.88
1952.00,   8.00,  86.67,  80.77,  92.77
1952.00,   9.00,  50.32,  43.44,  57.32
1952.00,  10.00,  16.71,  10.69,  23.19
1952.00,  11.00,  85.33,  78.62,  91.64
1952.00,  12.00,  54.78,  48.77,  60.95
1953.00,   1.00,  54.48,  48.65,  60.45
1953.00,   2.00,  65.63,  59.98,  71.67
1953.00,   3.00,  62.91,  57.03,  68.80
1953.00,   4.00,  73.99,  68.04,  80.18
1953.00,   5.00,  77.96,  71.46,  84.13
1953.00,   6.00,  75.73,  69.34,  82.37
1953.00,   7.00,  77.24,  71.27,  83.32
1953.00,   8.00,  63.18,  57.17,  69.37
1953.00,   9.00,  73.17,  66.34,  80.16
1953.00,  10.00,  32.10,  25.67,  38.80
1953.00,  11.00,  44.21,  38.05,  50.41
1953.00,  12.00,  64.45,  58.65,  70.73
1954.00,   1.00,  43.87,  37.99,  49.83
1954.00,   2.00,  53.56,  47.65,  59.20
1954.00,   3.00,  64.70,  59.15,  70.73
