Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,   1.0,  80.7,  70.2,  91.1
1950.0,   2.0,  54.2,  44.4,  64.5
1950.0,   3.0,  93.6,  82.9, 104.4
1950.0,   4.0, 144.4, 133.0, 155.9
1950.0,   5.0, 105.0,  94.0, 116.0
1950.0,   6.0,  54.9,  44.7,  64.9
1950.0,   7.0,  40.2,  30.8,  49.7
1950.0,   8.0,  31.3,  23.7,  39.1
1950.0,   9.0,  36.2,  27.0,  45.9
1950.0,  10.0,  32.2,  22.9,  42.0
1950.0,  11.0,  42.0,  32.3,  51.5
1950.0,  12.0,  61.9,  51.9,  72.4
1951.0,   1.0,  62.9,  52.5,  73.0
1951.0,   2.0,  61.6,  51.9,  71.6
1951.0,   3.0,  95.3,  84.8, 106.1
1951.0,   4.0, 184.0, 172.7, 195.6
1951.0,   5.0,  93.7,  82.9, 104.6
1951.0,   6.0,  50.1,  40.2,  60.1
1951.0,   7.0,  52.3,  42.8,  62.3
1951.0,   8.0,  37.1,  28.8,  45.6
1951.0,   9.0,  39.0,  29.7,  48.7
1951.0,  10.0,  71.9,  61.8,  81.7
1951.0,  11.0,  97.0,  86.8, 107.8
1951.0,  12.0,  73.9,  64.2,  84.5
1952.0,   1.0,  90.3,  80.1, 100.1
1952.0,   2.0,  68.0,  58.6,  78.1
1952.0,   3.0,  86.8,  76.7,  97.0
1952.0,   4.0, 154.9, 143.9, 165.8
1952.0,   5.0,  77.5,  66.9,  88.3
1952.0,   6.0,  48.2,  38.8,  58.0
1952.0,   7.0,  45.6,  36.2,  55.2
1952.0,   8.0,  35.7,  27.9,  44.1
1952.0,   9.0,  30.7,  22.1,  39.6
1952.0,  10.0,  27.3,  19.1,  36.6
1952.0,  11.0,  40.0,  30.8,  49.9
1952.0,  12.0,  58.3,  48.3,  68.6
1953.0,   1.0,  49.4,  39.5,  59.3
1953.0,   2.0,  49.2,  39.5,  58.6
1953.0,   3.0,  98.4,  87.9, 108.7
1953.0,   4.0, 103.6,  93.0, 114.9
1953.0,   5.0,  86.9,  76.3,  97.6
1953.0,   6.0,  56.7,  47.0,  67.0
1953.0,   7.0,  42.6,  33.8,  52.3
1953.0,   8.0,  33.4,  25.8,  42.0
1953.0,   9.0,  28.7,  20.7,  37.2
1953.0,  10.0,  27.8,  19.6,  36.8
1953.0,  11.0,  26.0,  18.1,  34.8
1953.0,  12.0,  39.0,  30.5,  48.2
1954.0,   1.0,  40.0,  30.8,  49.3
1954.0,   2.0,  60.7,  50.9,  70.5
1954.0,   3.0,  87.7,  77.6,  98.2
1954.0,   4.0, 117.4, 106.1, 128.0
1954.0,   5.0,  90.5,  80.1, 101.9
1954.0,   6.0,  71.8,  61.9,  81.7
1954.0,   7.0,  44.7,  35.8,  54.0
1954.0,   8.0,  32.6,  25.1,  41.0
1954.0,   9.0,  37.6,  28.4,  47.7
1954.0,  10.0, 113.5, 103.4, 123.8
1954.0,  11.0,  64.9,  55.2,  75.3
1954.0,  12.0,  58.7,  48.8,  69.7
1955.0,   1.0,  58.0,  48.5,  67.8
1955.0,   2.0,  45.7,  36.5,  55.2
1955.0,   3.0,  82.6,  72.8,  93.0
1955.0,   4.0, 118.3, 106.8, 129.0
1955.0,   5.0,  54.1,  43.8,  64.6
1955.0,   6.0,  36.3,  27.4,  45.6
1955.0,   7.0,  23.4,  16.3,  30.7
1955.0,   8.0,  22.7,  16.9,  29.4
1955.0,   9.0,  22.9,  15.5,  31.1
1955.0,  10.0,  32.7,  23.4,  41.6
1955.0,  11.0,  49.7,  39.8,  60.5
1955.0,  12.0,  46.3,  36.8,  56.1
1956.0,   1.0,  42.4,  33.5,  51.5
1956.0,   2.0,  39.0,  30.4,  48.5
1956.0,   3.0,  67.3,  57.5,  77.5
1956.0,   4.0, 110.6, 100.2, 121.6
1956.0,   5.0, 119.3, 108.6, 129.7
1956.0,   6.0,  50.2,  40.3,  59.9
1956.0,   7.0,  47.5,  38.2,  56.6
1956.0,   8.0,  38.3,  30.2,  47.5
1956.0,   9.0,  35.4,  26.5,  44.6
1956.0,  10.0,  34.5,  24.9,  44.0
1956.0,  11.0,  37.0,  27.7,  46.5
1956.0,  12.0,  43.9,  34.7,  53.9
1957.0,   1.0,  36.0,  27.0,  45.1
1957.0,   2.0,  39.0,  29.9,  48.1
1957.0,   3.0,  59.1,  49.6,  69.0
1957.0,   4.0,  85.1,  74.6,  95.5
1957.0,   5.0,  74.1,  63.8,  85.2
1957.0,   6.0,  49.0,  39.5,  58.9
1957.0,   7.0,  66.9,  57.3,  76.3
1957.0,   8.0,  27.1,  20.5,  34.6
1957.0,   9.0,  31.0,  22.5,  40.2
1957.0,  10.0,  35.2,  26.0,  44.7
1957.0,  11.0,  65.5,  55.5,  75.7
1957.0,  12.0,  68.4,  58.4,  78.8
1958.0,   1.0,  51.7,  42.0,  61.9
1958.0,   2.0,  37.8,  29.2,  46.6
1958.0,   3.0,  59.7,  49.9,  70.2
1958.0,   4.0,  59.2,  48.6,  69.4
1958.0,   5.0,  34.5,  25.7,  44.1
1958.0,   6.0,  31.2,  22.6,  40.3
1958.0,   7.0,  37.5,  28.8,  46.3
1958.0,   8.0,  26.9,  20.1,  34.2
1958.0,   9.0,  28.4,  20.2,  37.4
1958.0,  10.0,  27.4,  19.0,  36.2
1958.0,  11.0,  31.8,  22.9,  41.3
1958.0,  12.0,  34.0,  25.5,  43.5
1959.0,   1.0,  32.9,  24.3,  41.8
1959.0,   2.0,  35.3,  26.7,  44.2
1959.0,   3.0,  74.9,  64.5,  85.5
1959.0,   4.0, 150.9, 139.5, 161.7
1959.0,   5.0,  91.5,  80.6, 102.0
1959.0,   6.0,  34.1,  25.3,  43.5
1959.0,   7.0,  24.9,  17.2,  32.9
1959.0,   8.0,  26.5,  19.6,  34.1
1959.0,   9.0,  30.7,  22.5,  40.2
1959.0,  10.0,  57.2,  47.8,  67.4
1959.0,  11.0,  77.1,  66.7,  87.7
1959.0,  12.0,  69.4,  59.3,  79.2
1960.0,   1.0,  64.9,  55.2,  74.4
1960.0,   2.0,  53.0,  43.4,  62.5
1960.0,   3.0,  56.6,  47.6,  66.6
1960.0,   4.0, 172.4, 161.4, 183.3
1960.0,   5.0, 177.8, 166.9, 188.7
1960.0,   6.0,  73.9,  63.7,  83.8
1960.0,   7.0,  55.5,  45.9,  65.2
1960.0,   8.0,  35.2,  27.2,  43.7
1960.0,   9.0,  32.0,  23.5,  41.2
1960.0,  10.0,  29.1,  20.4,  38.1
1960.0,  11.0,  51.5,  41.5,  61.0
1960.0,  12.0,  41.7,  32.8,  51.2
1961.0,   1.0,  32.5,  24.2,  41.0
1961.0,   2.0,  34.5,  25.8,  43.5
1961.0,   3.0,  65.2,  55.2,  75.5
1961.0,   4.0,  78.4,  67.3,  89.8
1961.0,   5.0,  63.6,  53.2,  73.7
1961.0,   6.0,  43.0,  33.6,  52.5
1961.0,   7.0,  35.0,  26.7,  44.0
1961.0,   8.0,  29.0,  22.2,  36.9
1961.0,   9.0,  40.6,  31.4,  49.8
1961.0,  10.0,  45.2,  35.5,  55.1
1961.0,  11.0,  54.2,  44.4,  64.1
1961.0,  12.0,  51.7,  42.2,  61.7
1962.0,   1.0,  43.0,  34.2,  52.8
1962.0,   2.0,  38.8,  30.0,  48.0
1962.0,   3.0,  83.6,  74.0,  93.9
1962.0,   4.0,  98.6,  87.9, 110.3
1962.0,   5.0,  81.7,  71.5,  92.5
1962.0,   6.0,  35.6,  26.8,  44.6
1962.0,   7.0,  26.5,  18.9,  34.8
1962.0,   8.0,  23.8,  17.9,  30.7
1962.0,   9.0,  22.8,  15.5,  30.8
1962.0,  10.0,  24.5,  16.3,  33.4
1962.0,  11.0,  29.7,  21.3,  39.1
1962.0,  12.0,  31.5,  23.4,  40.4
1963.0,   1.0,  29.9,  21.8,  39.0
1963.0,   2.0,  28.1,  20.4,  36.4
1963.0,   3.0,  65.7,  55.8,  76.0
1963.0,   4.0,  81.2,  70.7,  92.1
1963.0,   5.0,  64.9,  54.7,  75.5
1963.0,   6.0,  34.8,  26.2,  43.9
1963.0,   7.0,  26.5,  19.3,  34.6
1963.0,   8.0,  27.7,  21.1,  35.6
1963.0,   9.0,  23.7,  16.2,  32.0
1963.0,  10.0,  21.4,  14.0,  29.3
1963.0,  11.0,  25.8,  18.1,  34.5
1963.0,  12.0,  31.4,  22.9,  40.3
1964.0,   1.0,  34.9,  26.4,  44.2
1964.0,   2.0,  31.0,  23.5,  39.9
1964.0,   3.0,  44.1,  35.2,  53.9
1964.0,   4.0,  69.9,  59.3,  80.3
1964.0,   5.0,  64.8,  54.6,  75.3
1964.0,   6.0,  32.3,  24.1,  41.4
1964.0,   7.0,  27.0,  19.3,  35.5
1964.0,   8.0,  25.1,  18.8,  32.2
1964.0,   9.0,  24.5,  17.1,  32.9
1964.0,  10.0,  31.0,  22.3,  40.4
1964.0,  11.0,  31.6,  23.0,  40.7
1964.0,  12.0,  47.6,  38.2,  57.9
1965.0,   1.0,  42.8,  33.6,  52.5
1965.0,   2.0,  51.2,  42.0,  60.8
1965.0,   3.0,  69.1,  59.4,  79.3
1965.0,   4.0, 129.0, 117.7, 139.8
1965.0,   5.0,  97.0,  86.5, 108.0
1965.0,   6.0,  35.4,  26.4,  44.5
1965.0,   7.0,  25.6,  18.1,  33.8
1965.0,   8.0,  29.4,  22.1,  37.2
1965.0,   9.0,  47.2,  38.1,  57.0
1965.0,  10.0,  61.3,  51.3,  71.5
1965.0,  11.0,  61.3,  51.5,  71.5
1965.0,  12.0,  81.8,  71.8,  92.1
1966.0,   1.0,  65.9,  56.2,  76.2
1966.0,   2.0,  64.3,  54.7,  73.6
1966.0,   3.0,  92.2,  82.1, 102.8
1966.0,   4.0,  77.6,  67.2,  88.4
1966.0,   5.0,  63.9,  53.9,  74.6
1966.0,   6.0,  46.0,  36.4,  55.5
1966.0,   7.0,  25.3,  17.8,  33.8
1966.0,   8.0,  23.8,  17.6,  30.6
1966.0,   9.0,  19.6,  12.9,  27.2
1966.0,  10.0,  34.3,  25.1,  43.8
1966.0,  11.0,  61.1,  50.7,  71.2
1966.0,  12.0,  94.7,  84.6, 105.0
1967.0,   1.0,  63.2,  53.0,  73.0
1967.0,   2.0,  54.8,  45.0,  64.5
1967.0,   3.0,  79.5,  69.3,  89.9
1967.0,   4.0, 163.4, 152.5, 174.6
1967.0,   5.0,  93.7,  83.0, 104.0
1967.0,   6.0,  66.8,  56.6,  77.0
1967.0,   7.0,  40.2,  31.4,  49.9
1967.0,   8.0,  28.4,  21.5,  36.1
1967.0,   9.0,  27.1,  19.1,  35.7
1967.0,  10.0,  44.6,  35.1,  54.9
1967.0,  11.0,  75.0,  65.2,  86.0
1967.0,  12.0,  76.9,  66.8,  86.9
1968.0,   1.0,  54.8,  44.9,  64.6
