Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0000,   1.0000,  18.7104, -14.8150,  51.4186
1950.0000,   2.0000,  14.4750, -18.3826,  45.4167
1950.0000,   3.0000,  61.1352,  29.9388,  93.9845
1950.0000,   4.0000, 134.0003, 103.4047, 166.4273
1950.0000,   5.0000,  64.0472,  33.0701,  96.8773
1950.0000,   6.0000,  86.1622,  55.1770, 118.0906
1950.0000,   7.0000,  82.8382,  51.1345, 114.9957
1950.0000,   8.0000,  17.2626, -13.4865,  47.6434
1950.0000,   9.0000,   8.1862, -23.9322,  40.7265
1950.0000,  10.0000, -25.2183, -57.3039,   5.7392
1950.0000,  11.0000, -47.6359, -78.9494, -16.9555
1950.0000,  12.0000, -32.5688, -64.2258,   1.3431
1951.0000,   1.0000,  10.5144, -20.7126,  41.6236
1951.0000,   2.0000,  31.3652,   0.0377,  62.0439
1951.0000,   3.0000,  68.6461,  37.7514, 100.1966
1951.0000,   4.0000, 215.0546, 183.5967, 246.2202
1951.0000,   5.0000,  80.9776,  50.0894, 112.5831
1951.0000,   6.0000,  60.3966,  29.3621,  91.4231
1951.0000,   7.0000,  95.6335,  64.6634, 128.4469
1951.0000,   8.0000,  24.8105,  -5.9584,  55.3373
1951.0000,   9.0000, -10.0197, -42.7417,  20.9052
1951.0000,  10.0000,  64.1486,  33.3438,  97.5682
1951.0000,  11.0000,  -8.5933, -40.2761,  22.6735
1951.0000,  12.0000, -20.0672, -50.6788,  10.9993
1952.0000,   1.0000,  18.7948, -12.0400,  51.0849
1952.0000,   2.0000, -20.7583, -52.1919,  10.2380
1952.0000,   3.0000,  30.1987,  -2.1635,  60.8249
1952.0000,   4.0000, 121.8041,  89.6396, 152.8086
1952.0000,   5.0000,  70.2098,  37.5562, 101.6384
1952.0000,   6.0000,  15.0757, -15.2422,  46.3839
1952.0000,   7.0000,  55.3038,  23.3853,  87.3266
1952.0000,   8.0000,   3.1701, -27.6944,  35.2807
1952.0000,   9.0000, -70.8357,-102.7498, -38.6404
1952.0000,  10.0000,-168.1653,-199.9349,-135.7961
1952.0000,  11.0000, -36.3366, -67.5259,  -4.1239
1952.0000,  12.0000, -64.8438, -96.8889, -32.6902
1953.0000,   1.0000, -66.7694, -98.3282, -35.4646
1953.0000,   2.0000, -17.0806, -49.4223,  13.9780
1953.0000,   3.0000,  34.8276,   4.0332,  65.2480
1953.0000,   4.0000,  69.3441,  37.6330,  99.9863
1953.0000,   5.0000,  74.2346,  44.1240, 105.0925
1953.0000,   6.0000,  50.8063,  19.4395,  81.8522
1953.0000,   7.0000,  14.2700, -17.0998,  46.1893
1953.0000,   8.0000, -14.5700, -45.2011,  15.8795
1953.0000,   9.0000, -63.2483, -94.3392, -31.6730
1953.0000,  10.0000, -82.1137,-113.2318, -50.4439
1953.0000,  11.0000, -98.9780,-130.6136, -68.2068
1953.0000,  12.0000,-110.1300,-141.3733, -78.7390
1954.0000,   1.0000, -90.2506,-122.8221, -57.8707
1954.0000,   2.0000,  24.7420,  -6.6513,  54.8648
1954.0000,   3.0000,   5.3649, -26.5892,  37.5323
1954.0000,   4.0000, 121.6687,  91.5997, 153.9532
1954.0000,   5.0000,  51.0266,  19.8808,  81.9585
1954.0000,   6.0000, 111.5430,  79.3277, 142.8131
1954.0000,   7.0000,  11.5601, -19.1084,  44.0714
1954.0000,   8.0000, -28.5482, -59.5681,   3.3941
1954.0000,   9.0000,  28.7691,  -1.9479,  60.4033
1954.0000,  10.0000, 103.1974,  71.6589, 136.7848
1954.0000,  11.0000, -65.8821, -97.2299, -34.0317
1954.0000,  12.0000, -99.1979,-130.4763, -67.2744
1955.0000,   1.0000, -76.7941,-108.1936, -44.7667
1955.0000,   2.0000, -37.4868, -68.2608,  -5.6837
1955.0000,   3.0000, -11.2779, -43.0207,  21.0455
1955.0000,   4.0000,  84.7444,  54.3720, 115.4412
1955.0000,   5.0000,  22.0447,  -8.7136,  51.5765
1955.0000,   6.0000,  -9.4963, -39.5855,  21.9186
1955.0000,   7.0000, -40.1804, -71.2234,  -8.8234
1955.0000,   8.0000, -72.9822,-104.0221, -42.4044
1955.0000,   9.0000,-141.7569,-174.2115,-110.0122
1955.0000,  10.0000, -42.8998, -75.5137, -10.0694
1955.0000,  11.0000, -91.0491,-123.7758, -59.1970
1955.0000,  12.0000,-109.4738,-142.1600, -78.7846
1956.0000,   1.0000, -50.2369, -80.4443, -18.2721
1956.0000,   2.0000, -11.1985, -41.1682,  19.7125
1956.0000,   3.0000,  11.7358, -20.7018,  44.1773
1956.0000,   4.0000,  91.5861,  60.7773, 123.6038
1956.0000,   5.0000, 124.5396,  93.0211, 155.1789
1956.0000,   6.0000,  26.3853,  -5.0189,  58.5730
1956.0000,   7.0000,  38.4539,   5.8665,  69.8329
1956.0000,   8.0000,  21.8788, -10.1373,  53.0794
1956.0000,   9.0000, -72.5329,-103.9154, -41.4431
1956.0000,  10.0000, -80.6623,-113.2838, -48.8323
1956.0000,  11.0000, -98.2637,-129.8208, -68.2129
1956.0000,  12.0000, -88.2671,-119.6749, -58.3416
1957.0000,   1.0000, -67.4064, -97.0350, -36.9910
1957.0000,   2.0000, -26.8514, -57.9216,   4.0110
1957.0000,   3.0000, -14.7296, -46.9273,  15.7396
1957.0000,   4.0000,  64.4432,  34.1077,  95.7119
1957.0000,   5.0000,  73.9575,  42.1071, 105.1667
1957.0000,   6.0000,  63.6281,  33.2079,  95.0632
1957.0000,   7.0000,  37.0763,   6.3434,  68.8572
1957.0000,   8.0000, -58.7387, -89.5992, -27.8213
1957.0000,   9.0000, -35.0894, -65.1047,  -3.2697
1957.0000,  10.0000, -48.2452, -79.8895, -15.9053
1957.0000,  11.0000, -30.1947, -62.9548,   1.4545
1957.0000,  12.0000, -36.8506, -69.2173,  -5.9120
1958.0000,   1.0000, -31.6572, -63.3782,  -0.2959
1958.0000,   2.0000, -37.7884, -69.2858,  -7.8350
1958.0000,   3.0000, -16.3146, -47.1172,  15.7932
1958.0000,   4.0000,  13.0681, -16.9445,  44.4654
1958.0000,   5.0000, -24.1477, -55.3844,   4.9879
1958.0000,   6.0000,  12.2702, -18.4305,  42.7031
1958.0000,   7.0000,  15.7283, -15.4709,  45.7678
1958.0000,   8.0000, -39.5779, -71.8461,  -8.0312
1958.0000,   9.0000, -22.1283, -54.7579,   9.2898
1958.0000,  10.0000, -68.1382, -98.3265, -36.0017
1958.0000,  11.0000, -81.8461,-113.5407, -50.4235
1958.0000,  12.0000,-124.0002,-155.2631, -92.9503
1959.0000,   1.0000, -29.7138, -62.4293,   0.1072
1959.0000,   2.0000,  11.4320, -19.6281,  42.8016
1959.0000,   3.0000,  43.0307,  11.7231,  74.1209
1959.0000,   4.0000, 167.5410, 135.9140, 198.3792
1959.0000,   5.0000,  98.1355,  68.3583, 129.3551
1959.0000,   6.0000,  -4.3448, -34.5514,  26.8632
1959.0000,   7.0000,  14.4828, -17.6753,  46.8033
1959.0000,   8.0000,  57.2449,  26.2773,  88.6484
1959.0000,   9.0000, -17.9964, -48.9166,  14.3481
1959.0000,  10.0000,  41.9831,   9.7650,  73.3762
1959.0000,  11.0000,  -3.8566, -36.4535,  28.4416
1959.0000,  12.0000,  -1.5187, -33.6019,  29.9999
1960.0000,   1.0000,  -0.1423, -30.7443,  31.4417
1960.0000,   2.0000,   5.1235, -26.0012,  35.9842
1960.0000,   3.0000, -14.4894, -45.2590,  16.4084
1960.0000,   4.0000, 175.1944, 144.1779, 206.0722
1960.0000,   5.0000, 218.5865, 186.0303, 250.1382
1960.0000,   6.0000, 111.1777,  80.8674, 143.3875
1960.0000,   7.0000,  73.2231,  40.8402, 103.9739
1960.0000,   8.0000,  11.9780, -20.5674,  43.0349
1960.0000,   9.0000, -25.7087, -56.7644,   6.3049
1960.0000,  10.0000, -71.2211,-103.1604, -39.8146
1960.0000,  11.0000, -61.0027, -92.8849, -28.2202
1960.0000,  12.0000,-139.5076,-170.6205,-109.4897
1961.0000,   1.0000, -91.1654,-120.8029, -60.3723
1961.0000,   2.0000, -33.1604, -63.8520,  -1.0777
1961.0000,   3.0000,  19.6327, -11.4934,  50.6353
1961.0000,   4.0000,  37.2488,   6.4201,  69.6294
1961.0000,   5.0000,  13.0877, -15.8383,  44.6348
1961.0000,   6.0000,  40.7207,  10.4380,  72.5223
1961.0000,   7.0000,  14.2462, -16.8075,  47.0394
1961.0000,   8.0000, -29.3905, -59.6069,   2.0078
1961.0000,   9.0000,  33.5686,   1.9580,  65.5605
1961.0000,  10.0000, -57.4163, -89.8034, -25.4320
1961.0000,  11.0000, -61.1830, -93.2160, -30.5228
1961.0000,  12.0000, -90.3263,-122.1681, -59.3469
1962.0000,   1.0000, -33.4637, -63.7556,  -1.6922
1962.0000,   2.0000,   3.0596, -26.9102,  34.1828
1962.0000,   3.0000,  12.7319, -19.5583,  43.6021
1962.0000,   4.0000,  50.6271,  19.8780,  81.8909
1962.0000,   5.0000,  53.0593,  22.7349,  84.9533
1962.0000,   6.0000,   8.3657, -23.1061,  39.4300
1962.0000,   7.0000, -17.9696, -50.0459,  13.1768
1962.0000,   8.0000, -29.0770, -60.1459,   3.4565
1962.0000,   9.0000, -70.5230,-102.4328, -38.7831
1962.0000,  10.0000, -62.4629, -96.0640, -31.4157
1962.0000,  11.0000,-104.7964,-136.1299, -73.7782
1962.0000,  12.0000, -97.5163,-128.2683, -66.0551
1963.0000,   1.0000, -65.3089, -96.4559, -34.0984
1963.0000,   2.0000, -27.1884, -57.3439,   4.2106
1963.0000,   3.0000,  40.4994,   8.8092,  72.0709
1963.0000,   4.0000,  45.2944,  14.1520,  76.2109
1963.0000,   5.0000,  59.5922,  27.9976,  89.9078
1963.0000,   6.0000,   2.7883, -28.1575,  33.2979
1963.0000,   7.0000,  17.1568, -14.9553,  48.5070
1963.0000,   8.0000, -21.1139, -51.3125,  10.4943
1963.0000,   9.0000, -43.5274, -75.4814, -11.1901
1963.0000,  10.0000, -75.2486,-105.0985, -43.0967
1963.0000,  11.0000, -73.6375,-104.2283, -42.1837
1963.0000,  12.0000,-122.9633,-155.2345, -91.4085
1964.0000,   1.0000, -43.3993, -74.5766, -12.7784
1964.0000,   2.0000, -51.9372, -84.8062, -18.8784
1964.0000,   3.0000, -15.4548, -47.9141,  13.6962
1964.0000,   4.0000,  69.8977,  38.6999, 101.1491
1964.0000,   5.0000,  67.5799,  35.8343,  99.2799
