Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.000,   1.000, 231.179, 209.567, 255.446
1950.000,   2.000, 128.612, 105.743, 156.171
1950.000,   3.000, 288.651, 264.071, 311.821
1950.000,   4.000, 417.097, 390.943, 440.215
1950.000,   5.000, 168.400, 149.608, 191.379
1950.000,   6.000, 121.507, 100.117, 145.791
1950.000,   7.000,  81.780,  63.082, 101.504
1950.000,   8.000,  73.215,  53.142,  93.942
1950.000,   9.000,   9.885, -12.521,  28.913
1950.000,  10.000,  93.015,  72.948, 121.031
1950.000,  11.000, 159.228, 134.836, 178.761
1950.000,  12.000, 167.378, 142.240, 193.417
1951.000,   1.000, 210.278, 187.353, 231.309
1951.000,   2.000, 254.460, 229.774, 279.526
1951.000,   3.000, 390.661, 370.315, 414.199
1951.000,   4.000, 504.696, 473.965, 532.146
1951.000,   5.000, 181.807, 158.813, 203.964
1951.000,   6.000, 149.386, 129.067, 170.316
1951.000,   7.000, 155.004, 133.036, 180.786
1951.000,   8.000,  27.662,  10.599,  49.430
1951.000,   9.000,  24.298,   5.279,  43.039
1951.000,  10.000,  27.348,   5.960,  49.043
1951.000,  11.000, 102.145,  78.042, 121.927
1951.000,  12.000, 132.397, 100.766, 159.729
1952.000,   1.000, 202.396, 183.952, 224.057
1952.000,   2.000, 199.333, 177.290, 219.040
1952.000,   3.000, 303.336, 278.938, 324.107
1952.000,   4.000, 376.159, 352.062, 401.305
1952.000,   5.000, 259.963, 230.924, 279.073
1952.000,   6.000,  83.560,  62.419, 109.554
1952.000,   7.000,  66.877,  48.697,  86.095
1952.000,   8.000,  39.343,  20.029,  58.538
1952.000,   9.000,  26.179,   6.510,  47.512
1952.000,  10.000, -22.276, -41.413,   0.673
1952.000,  11.000,  66.040,  46.325,  88.806
1952.000,  12.000, 123.440,  97.622, 152.500
1953.000,   1.000, 101.800,  80.041, 125.145
1953.000,   2.000, 103.755,  83.500, 124.997
1953.000,   3.000, 301.030, 274.869, 323.741
1953.000,   4.000, 209.702, 185.951, 229.523
1953.000,   5.000, 337.724, 315.455, 360.746
1953.000,   6.000,  99.253,  78.567, 120.894
1953.000,   7.000,  41.438,  23.736,  58.792
1953.000,   8.000,  55.950,  36.300,  76.533
1953.000,   9.000,  30.753,  13.718,  51.542
1953.000,  10.000,   0.855, -19.769,  19.545
1953.000,  11.000,  36.483,  16.578,  56.058
1953.000,  12.000,  62.958,  41.737,  91.556
1954.000,   1.000,  26.355,   7.443,  50.903
1954.000,   2.000, 292.528, 270.247, 320.654
1954.000,   3.000, 308.012, 278.247, 337.932
1954.000,   4.000, 443.021, 421.753, 465.278
1954.000,   5.000, 232.950, 210.862, 253.153
1954.000,   6.000, 132.119, 108.840, 153.533
1954.000,   7.000,  10.821,  -5.731,  31.107
1954.000,   8.000,  53.287,  34.853,  72.153
1954.000,   9.000,  69.395,  52.056,  96.881
1954.000,  10.000, 133.984, 115.262, 158.303
1954.000,  11.000, 128.017, 104.726, 150.138
1954.000,  12.000, 151.254, 128.851, 177.619
1955.000,   1.000,  82.319,  59.998, 104.745
1955.000,   2.000, 115.157,  89.267, 136.443
1955.000,   3.000, 421.870, 400.595, 445.542
1955.000,   4.000, 382.129, 356.145, 405.273
1955.000,   5.000, 146.876, 124.802, 166.568
1955.000,   6.000,  59.806,  38.692,  79.438
1955.000,   7.000,  23.409,   5.298,  46.207
1955.000,   8.000,  74.700,  59.085,  95.150
1955.000,   9.000,  -7.012, -24.841,  14.254
1955.000,  10.000, 308.601, 283.370, 332.040
1955.000,  11.000,  94.167,  70.236, 116.757
1955.000,  12.000,  41.266,  17.008,  69.418
1956.000,   1.000,  34.092,  15.748,  54.783
1956.000,   2.000, 115.348,  93.519, 136.120
1956.000,   3.000, 324.582, 300.758, 347.944
1956.000,   4.000, 521.847, 497.814, 546.160
1956.000,   5.000, 409.751, 388.981, 435.667
1956.000,   6.000, 138.497, 117.972, 159.819
1956.000,   7.000,  83.718,  64.586, 105.457
1956.000,   8.000, 108.828,  85.618, 128.815
1956.000,   9.000,  53.296,  33.396,  75.259
1956.000,  10.000,  28.188,   6.621,  51.267
1956.000,  11.000,  27.052,   8.036,  48.965
1956.000,  12.000, 113.570,  85.679, 136.821
1957.000,   1.000, 128.079, 105.715, 148.048
1957.000,   2.000, 141.122, 119.343, 160.436
1957.000,   3.000, 216.891, 190.645, 245.720
1957.000,   4.000, 262.907, 236.217, 288.793
1957.000,   5.000, 209.562, 189.160, 238.725
1957.000,   6.000, 167.211, 144.946, 191.517
1957.000,   7.000,  69.011,  41.106,  95.692
1957.000,   8.000, -22.921, -40.134,  -3.549
1957.000,   9.000,  55.335,  39.441,  78.047
1957.000,  10.000,   0.757, -19.985,  21.372
1957.000,  11.000,  37.547,  17.571,  58.528
1957.000,  12.000, 153.251, 125.669, 183.438
1958.000,   1.000,  53.338,  30.749,  73.589
1958.000,   2.000,  80.269,  63.042, 103.312
1958.000,   3.000, 235.498, 214.085, 259.492
1958.000,   4.000, 313.344, 285.287, 335.151
1958.000,   5.000, 175.565, 152.293, 198.203
1958.000,   6.000, 143.750, 120.385, 162.708
1958.000,   7.000, 105.133,  83.567, 127.143
1958.000,   8.000,  65.282,  43.462,  87.977
1958.000,   9.000, 118.587,  95.861, 138.842
1958.000,  10.000,  60.876,  34.564,  84.083
1958.000,  11.000,  89.933,  62.639, 109.035
1958.000,  12.000,  20.072,  -5.090,  43.021
1959.000,   1.000, 145.531, 125.157, 167.991
1959.000,   2.000, 150.313, 131.283, 179.131
1959.000,   3.000, 275.091, 250.315, 301.309
1959.000,   4.000, 514.173, 486.620, 546.183
1959.000,   5.000, 196.977, 178.832, 217.880
1959.000,   6.000,  94.894,  73.594, 113.568
1959.000,   7.000, 112.522,  92.045, 136.149
1959.000,   8.000,  45.794,  27.038,  65.300
1959.000,   9.000,  -1.669, -19.734,  16.757
1959.000,  10.000, 122.623,  97.486, 142.505
1959.000,  11.000, 120.239,  88.179, 138.980
1959.000,  12.000, 266.667, 241.731, 295.284
1960.000,   1.000, 141.500, 118.344, 162.599
1960.000,   2.000, 251.216, 228.703, 279.326
1960.000,   3.000, 138.791, 113.138, 168.103
1960.000,   4.000, 599.430, 572.569, 629.481
1960.000,   5.000, 319.931, 297.184, 344.368
1960.000,   6.000, 194.225, 173.392, 218.316
1960.000,   7.000,  58.125,  40.713,  86.184
1960.000,   8.000,  39.638,  23.197,  59.297
1960.000,   9.000, -21.358, -36.958,  -3.116
1960.000,  10.000,  10.674,  -8.832,  35.398
1960.000,  11.000,  40.234,  19.428,  58.964
1960.000,  12.000, -40.687, -63.113, -15.062
1961.000,   1.000, -16.454, -32.845,   4.285
1961.000,   2.000, 158.162, 134.165, 180.417
1961.000,   3.000, 279.283, 251.748, 302.461
1961.000,   4.000, 370.649, 341.740, 392.657
1961.000,   5.000, 263.988, 236.945, 286.626
1961.000,   6.000, 217.562, 194.525, 238.673
1961.000,   7.000, 120.998,  98.020, 142.176
1961.000,   8.000,  49.841,  30.891,  77.241
1961.000,   9.000, -10.165, -27.558,  10.169
1961.000,  10.000,  -3.281, -22.216,  20.079
1961.000,  11.000,  65.700,  45.886,  87.903
1961.000,  12.000,  56.548,  28.529,  86.340
1962.000,   1.000,  58.239,  36.834,  76.633
1962.000,   2.000,  86.823,  66.295, 111.952
1962.000,   3.000, 215.892, 194.217, 238.360
1962.000,   4.000, 328.122, 300.927, 351.318
1962.000,   5.000, 161.908, 140.754, 186.310
1962.000,   6.000, 100.328,  84.137, 120.406
1962.000,   7.000,  41.794,  27.030,  62.780
1962.000,   8.000,  66.472,  46.776,  87.860
1962.000,   9.000,  58.125,  35.574,  75.114
1962.000,  10.000,  93.181,  71.354, 118.745
1962.000,  11.000,  78.636,  58.325, 101.371
1962.000,  12.000,  45.886,  25.459,  75.801
1963.000,   1.000,  15.867,  -3.089,  37.804
1963.000,   2.000,  29.626,  12.496,  48.805
1963.000,   3.000, 289.265, 265.071, 314.339
1963.000,   4.000, 392.436, 363.153, 421.784
1963.000,   5.000, 227.588, 209.345, 251.389
1963.000,   6.000,  69.660,  51.421,  91.100
1963.000,   7.000,  58.714,  40.164,  78.978
1963.000,   8.000,  64.559,  43.593,  81.758
1963.000,   9.000, -18.424, -37.271,   4.459
1963.000,  10.000,  -6.424, -23.836,  11.163
1963.000,  11.000, 116.546,  96.830, 139.230
1963.000,  12.000,  37.805,  13.760,  65.837
1964.000,   1.000, 103.386,  80.604, 126.388
1964.000,   2.000,  61.782,  39.442,  84.025
1964.000,   3.000, 294.272, 269.133, 314.733
1964.000,   4.000, 302.105, 277.769, 323.991
1964.000,   5.000, 189.883, 165.768, 212.305
1964.000,   6.000,  77.916,  57.865, 100.257
1964.000,   7.000,  73.420,  52.946,  92.662
1964.000,   8.000,  58.341,  40.114,  76.673
1964.000,   9.000, -29.622, -44.718,  -9.572
1964.000,  10.000, -15.928, -32.618,   5.342
1964.000,  11.000,  20.382,  -2.406,  44.258
1964.000,  12.000,  66.013,  44.396,  93.730
1965.000,   1.000,  54.793,  32.588,  79.047
1965.000,   2.000, 211.259, 184.496, 235.610
1965.000,   3.000, 149.939, 125.295, 174.950
1965.000,   4.000, 312.940, 289.842, 336.678
1965.000,   5.000, 147.410, 124.333, 170.643
1965.000,   6.000,  77.738,  60.748,  98.187
1965.000,   7.000,  51.881,  33.532,  71.144
1965.000,   8.000,  59.814,  44.363,  79.199
1965.000,   9.000,  67.002,  49.448,  88.019
1965.000,  10.000,  90.464,  66.493, 113.426
1965.000,  11.000, 172.119, 148.163, 191.748
1965.000,  12.000, 178.134, 149.849, 207.967
1966.000,   1.000,  89.813,  68.164, 110.803
1966.000,   2.000, 164.795, 141.975, 188.144
1966.000,   3.000, 328.168, 302.289, 352.716
1966.000,   4.000, 197.902, 172.203, 224.638
1966.000,   5.000, 146.454, 123.379, 165.032
1966.000,   6.000, 115.740,  92.613, 141.687
1966.000,   7.000,  13.573,  -1.687,  34.266
1966.000,   8.000,  45.731,  29.299,  65.587
1966.000,   9.000,  29.728,  10.807,  52.757
1966.000,  10.000, -12.932, -33.457,   9.182
1966.000,  11.000, 132.781, 109.359, 156.786
1966.000,  12.000, 168.604, 144.384, 192.241
1967.000,   1.000,  91.619,  67.992, 113.673
1967.000,   2.000,  54.853,  33.022,  74.702
1967.000,   3.000, 127.567, 105.124, 152.515
1967.000,   4.000, 290.390, 256.049, 310.258
1967.000,   5.000, 228.310, 201.361, 249.964
1967.000,   6.000, 142.748, 122.775, 164.264
1967.000,   7.000,  91.554,  69.289, 116.623
1967.000,   8.000,  59.832,  38.750,  82.115
1967.000,   9.000,  80.036,  56.168,  97.636
1967.000,  10.000, 156.364, 135.314, 180.209
