Year,Month,Median,2.5 Percentile,97.5 Percentile
 1.9500e+03, 1.0000e+00, 9.9592e+01, 9.3525e+01, 1.0568e+02
 1.9500e+03, 2.0000e+00, 8.3721e+01, 7.8411e+01, 8.8959e+01
 1.9500e+03, 3.0000e+00, 5.3663e+01, 4.8866e+01, 5.8317e+01
 1.9500e+03, 4.0000e+00, 2.5512e+01, 2.1268e+01, 2.9383e+01
 1.9500e+03, 5.0000e+00,-1.3710e+00,-4.9089e+00, 2.5514e+00
 1.9500e+03, 6.0000e+00, 1.6393e+01, 1.0963e+01, 2.0264e+01
 1.9500e+03, 7.0000e+00, 3.9753e+01, 3.3843e+01, 4.4623e+01
 1.9500e+03, 8.0000e+00, 6.0129e+01, 5.4758e+01, 6.5658e+01
 1.9500e+03, 9.0000e+00, 8.8560e+01, 8.1841e+01, 9.3672e+01
 1.9500e+03, 1.0000e+01, 6.3595e+01, 5.7257e+01, 6.8379e+01
 1.9500e+03, 1.1000e+01, 1.0019e+02, 9.4707e+01, 1.0557e+02
 1.9500e+03, 1.2000e+01, 1.0519e+02, 9.7305e+01, 1.1490e+02
 1.9510e+03, 1.0000e+00, 8.2738e+01, 7.6892e+01, 8.8626e+01
 1.9510e+03, 2.0000e+00, 3.8733e+01, 3.3440e+01, 4.3787e+01
 1.9510e+03, 3.0000e+00, 4.1739e+01, 3.6862e+01, 4.6566e+01
 1.9510e+03, 4.0000e+00, 7.3006e+00, 3.3099e+00, 1.1316e+01
 1.9510e+03, 5.0000e+00, 1.4834e+00,-2.2696e+00, 5.5632e+00
 1.9510e+03, 6.0000e+00, 1.6401e+01, 1.1720e+01, 2.0529e+01
 1.9510e+03, 7.0000e+00, 4.2721e+01, 3.7143e+01, 4.7751e+01
 1.9510e+03, 8.0000e+00, 7.3218e+01, 6.8292e+01, 7.8656e+01
 1.9510e+03, 9.0000e+00, 9.6038e+01, 9.0838e+01, 1.0117e+02
 1.9510e+03, 1.0000e+01, 7.1072e+01, 6.5264e+01, 7.5868e+01
 1.9510e+03, 1.1000e+01, 1.1065e+02, 1.0554e+02, 1.1664e+02
 1.9510e+03, 1.2000e+01, 1.0772e+02, 9.9782e+01, 1.1736e+02
 1.9520e+03, 1.0000e+00, 7.6273e+01, 7.0359e+01, 8.2197e+01
 1.9520e+03, 2.0000e+00, 4.3172e+01, 3.7884e+01, 4.8500e+01
 1.9520e+03, 3.0000e+00, 3.8476e+01, 3.3840e+01, 4.3521e+01
 1.9520e+03, 4.0000e+00, 5.5863e+00, 1.4152e+00, 9.8629e+00
 1.9520e+03, 5.0000e+00, 5.1998e+00, 1.6434e+00, 9.2548e+00
 1.9520e+03, 6.0000e+00, 2.0230e+01, 1.5845e+01, 2.5108e+01
 1.9520e+03, 7.0000e+00, 4.9000e+01, 4.4065e+01, 5.4138e+01
