Year,Month,Median,2.5 Percentile,97.5 Percentile
 1950,    1, 6084, 5837, 6363
 1950,    2, 6478, 6180, 6758
 1950,    3, 6845, 6580, 7149
 1950,    4, 7463, 7205, 7738
 1950,    5, 7737, 7519, 8011
 1950,    6, 7522, 7238, 7747
 1950,    7, 7284, 6918, 7564
 1950,    8, 7165, 6898, 7379
 1950,    9, 6932, 6602, 7185
 1950,   10, 6716, 6254, 6928
 1950,   11, 6797, 6549, 7061
 1950,   12, 6924, 6692, 7186
 1951,    1, 7053, 6821, 7331
 1951,    2, 6770, 6479, 7027
 1951,    3, 7597, 7393, 8016
 1951,    4, 7959, 7658, 8220
 1951,    5, 8333, 8095, 8648
 1951,    6, 8311, 8053, 8594
 1951,    7, 8331, 7920, 8651
 1951,    8, 7983, 7772, 8131
 1951,    9, 7536, 7292, 7734
 1951,   10, 7320, 7024, 7627
 1951,   11, 7299, 7012, 7580
 1951,   12, 7150, 6937, 7428
 1952,    1, 7256, 6992, 7573
 1952,    2, 7688, 7384, 7932
 1952,    3, 8012, 7778, 8315
 1952,    4, 8380, 8130, 8615
 1952,    5, 8673, 8429, 8912
 1952,    6, 8780, 8470, 8994
 1952,    7, 8635, 8344, 8904
 1952,    8, 8165, 7959, 8408
 1952,    9, 7713, 7529, 7992
 1952,   10, 7856, 7583, 8093
 1952,   11, 7430, 7192, 7686
 1952,   12, 7330, 7090, 7581
 1953,    1, 7140, 6908, 7367
 1953,    2, 7357, 7104, 7622
 1953,    3, 7424, 7149, 7770
 1953,    4, 7881, 7632, 8089
 1953,    5, 7879, 7616, 8142
 1953,    6, 8012, 7748, 8183
 1953,    7, 7824, 7567, 8061
 1953,    8, 7715, 7460, 7911
 1953,    9, 7570, 7292, 7851
 1953,   10, 7130, 6892, 7338
 1953,   11, 6860, 6664, 7089
 1953,   12, 6897, 6696, 7160
 1954,    1, 6480, 6282, 6702
 1954,    2, 6717, 6453, 6989
 1954,    3, 7428, 7166, 7714
 1954,    4, 7549, 7258, 7753
 1954,    5, 8082, 7778, 8326
 1954,    6, 7937, 7724, 8141
 1954,    7, 7942, 7571, 8193
 1954,    8, 7527, 7276, 7774
 1954,    9, 7157, 6950, 7459
 1954,   10, 7102, 6873, 7417
 1954,   11, 7105, 6881, 7359
 1954,   12, 7524, 7285, 7791
 1955,    1, 7106, 6888, 7307
 1955,    2, 7134, 6918, 7388
 1955,    3, 7891, 7659, 8168
 1955,    4, 8150, 7928, 8402
 1955,    5, 8598, 8307, 8814
 1955,    6, 8266, 7983, 8528
 1955,    7, 7905, 7534, 8132
 1955,    8, 7509, 7247, 7668
 1955,    9, 7198, 6989, 7408
 1955,   10, 7278, 6850, 7575
 1955,   11, 7531, 7297, 7738
 1955,   12, 7250, 7003, 7525
 1956,    1, 7000, 6784, 7202
 1956,    2, 6942, 6643, 7169
 1956,    3, 6817, 6465, 7219
 1956,    4, 7411, 7159, 7639
 1956,    5, 7756, 7423, 8026
 1956,    6, 7990, 7785, 8278
 1956,    7, 7773, 7438, 8059
 1956,    8, 7479, 7240, 7691
 1956,    9, 7541, 7323, 7793
 1956,   10, 6857, 6629, 7139
 1956,   11, 7261, 7017, 7470
 1956,   12, 6761, 6495, 6979
 1957,    1, 6714, 6442, 6941
 1957,    2, 6467, 6179, 6722
 1957,    3, 6671, 6439, 7086
 1957,    4, 6931, 6668, 7172
 1957,    5, 7188, 6904, 7406
 1957,    6, 7062, 6778, 7297
 1957,    7, 6810, 6562, 7101
 1957,    8, 7019, 6795, 7256
 1957,    9, 6645, 6437, 6904
 1957,   10, 6777, 6494, 7002
 1957,   11, 6203, 5885, 6378
 1957,   12, 6200, 5974, 6464
 1958,    1, 6262, 6060, 6507
 1958,    2, 6148, 5852, 6410
 1958,    3, 6315, 6035, 6631
 1958,    4, 6761, 6525, 7018
 1958,    5, 6728, 6489, 7088
 1958,    6, 6672, 6401, 6982
 1958,    7, 6784, 6379, 7036
 1958,    8, 6520, 6306, 6734
 1958,    9, 6205, 5950, 6482
 1958,   10, 6315, 6057, 6562
 1958,   11, 6224, 5959, 6524
 1958,   12, 5889, 5690, 6144
 1959,    1, 5314, 5018, 5564
 1959,    2, 5384, 5166, 5670
 1959,    3, 5814, 5526, 6033
 1959,    4, 7195, 7025, 7467
 1959,    5, 7437, 7254, 7733
 1959,    6, 7661, 7396, 7889
 1959,    7, 7554, 7096, 7875
 1959,    8, 6850, 6631, 7008
 1959,    9, 6411, 6194, 6707
 1959,   10, 6214, 5964, 6487
 1959,   11, 6165, 5856, 6382
 1959,   12, 6049, 5840, 6284
 1960,    1, 6059, 5807, 6264
 1960,    2, 6263, 6038, 6592
 1960,    3, 6600, 6338, 6942
 1960,    4, 6967, 6758, 7230
 1960,    5, 7591, 7225, 7815
 1960,    6, 8243, 7985, 8478
 1960,    7, 7850, 7502, 8080
 1960,    8, 7520, 7299, 7728
 1960,    9, 6944, 6734, 7181
 1960,   10, 6109, 5860, 6406
 1960,   11, 6338, 6110, 6564
 1960,   12, 6365, 6135, 6622
 1961,    1, 6228, 6034, 6506
 1961,    2, 6303, 6055, 6528
 1961,    3, 6233, 6040, 6506
 1961,    4, 6482, 6249, 6725
 1961,    5, 7293, 6917, 7596
 1961,    6, 8077, 7758, 8265
 1961,    7, 7830, 7482, 8129
 1961,    8, 7398, 7173, 7595
 1961,    9, 6985, 6747, 7276
 1961,   10, 6908, 6585, 7236
 1961,   11, 6555, 6271, 6830
 1961,   12, 6472, 6060, 6723
 1962,    1, 6288, 6058, 6524
 1962,    2, 6086, 5799, 6374
 1962,    3, 5908, 5656, 6254
 1962,    4, 5713, 5490, 5947
 1962,    5, 6078, 5805, 6249
 1962,    6, 6446, 6196, 6754
 1962,    7, 6459, 6163, 6708
