Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.00,   1.00, 103.84,  96.20, 111.11
1950.00,   2.00,  84.82,  78.12,  92.37
1950.00,   3.00,  73.31,  65.77,  81.39
1950.00,   4.00,  53.82,  46.29,  61.26
1950.00,   5.00,  49.01,  41.06,  56.80
1950.00,   6.00,  61.53,  53.43,  69.21
1950.00,   7.00,  72.50,  65.23,  79.65
1950.00,   8.00,  92.29,  84.89,  99.55
1950.00,   9.00,  43.13,  36.09,  50.71
1950.00,  10.00,  85.67,  78.43,  93.51
1950.00,  11.00, 114.78, 107.22, 121.33
1950.00,  12.00,  62.27,  54.77,  69.42
1951.00,   1.00,  69.98,  62.52,  78.33
1951.00,   2.00,  76.11,  69.89,  83.88
1951.00,   3.00, 103.18,  95.67, 110.90
1951.00,   4.00, 109.32, 101.52, 116.35
1951.00,   5.00,  43.41,  35.37,  51.08
1951.00,   6.00,  91.11,  84.31,  98.88
1951.00,   7.00, 102.86,  95.82, 110.69
1951.00,   8.00,  57.38,  49.73,  64.58
1951.00,   9.00,  68.50,  61.60,  76.18
1951.00,  10.00,  45.27,  38.23,  53.44
1951.00,  11.00,  88.01,  80.83,  95.39
1951.00,  12.00,  94.27,  86.95, 102.56
1952.00,   1.00,  63.95,  56.87,  71.33
1952.00,   2.00,  55.57,  48.87,  62.33
1952.00,   3.00,  69.95,  62.68,  77.85
1952.00,   4.00,  65.27,  57.98,  72.88
1952.00,   5.00, 104.84,  97.50, 113.04
1952.00,   6.00,  28.43,  21.70,  36.10
1952.00,   7.00,  63.22,  56.92,  70.99
1952.00,   8.00,  71.24,  63.93,  78.53
1952.00,   9.00,  71.73,  63.86,  79.31
1952.00,  10.00,  47.18,  39.26,  55.03
1952.00,  11.00,  68.79,  61.43,  75.81
1952.00,  12.00,  68.66,  61.10,  76.48
1953.00,   1.00,  63.10,  55.96,  70.75
1953.00,   2.00,  34.53,  28.29,  41.90
1953.00,   3.00,  89.20,  81.46,  96.81
1953.00,   4.00,  54.59,  47.39,  62.04
1953.00,   5.00, 125.34, 117.74, 133.24
1953.00,   6.00,  44.63,  37.23,  51.91
1953.00,   7.00,  55.01,  48.28,  61.72
1953.00,   8.00,  69.14,  62.11,  76.90
1953.00,   9.00,  88.61,  81.02,  95.92
1953.00,  10.00,  25.98,  18.62,  33.56
1953.00,  11.00,  51.62,  43.82,  58.47
1953.00,  12.00,  63.02,  56.28,  70.67
1954.00,   1.00,  60.73,  53.21,  67.83
1954.00,   2.00,  80.36,  73.48,  87.53
1954.00,   3.00,  89.38,  81.70,  97.14
1954.00,   4.00, 100.62,  93.53, 108.15
1954.00,   5.00,  43.50,  36.23,  50.81
1954.00,   6.00,  69.94,  62.62,  77.83
1954.00,   7.00,  25.89,  19.71,  32.57
1954.00,   8.00,  91.90,  83.70,  99.35
1954.00,   9.00,  80.17,  73.25,  87.89
1954.00,  10.00, 101.61,  94.12, 109.49
1954.00,  11.00,  85.47,  78.24,  92.77
1954.00,  12.00,  94.30,  87.29, 102.26
1955.00,   1.00,  41.45,  34.21,  48.20
1955.00,   2.00,  51.18,  44.80,  57.97
1955.00,   3.00,  96.60,  89.50, 103.63
1955.00,   4.00,  62.51,  55.08,  70.40
1955.00,   5.00,  66.34,  59.01,  73.61
1955.00,   6.00,  24.70,  17.97,  32.15
1955.00,   7.00,  48.47,  42.02,  55.39
1955.00,   8.00, 117.99, 110.06, 125.69
1955.00,   9.00,  51.91,  45.38,  59.65
1955.00,  10.00, 212.64, 205.68, 220.20
1955.00,  11.00,  42.55,  35.35,  49.29
1955.00,  12.00,  47.41,  40.29,  54.84
1956.00,   1.00,  41.87,  34.78,  49.56
1956.00,   2.00,  55.20,  48.80,  61.92
1956.00,   3.00,  77.25,  69.76,  85.19
1956.00,   4.00,  93.48,  86.04, 100.84
1956.00,   5.00, 110.42, 101.79, 117.85
1956.00,   6.00,  36.00,  28.40,  43.38
1956.00,   7.00,  67.86,  61.09,  74.91
1956.00,   8.00, 113.76, 105.70, 120.98
1956.00,   9.00,  72.67,  65.64,  80.23
1956.00,  10.00,  31.55,  24.75,  38.95
1956.00,  11.00,  53.15,  45.67,  59.67
1956.00,  12.00,  59.49,  51.74,  67.13
1957.00,   1.00,  71.50,  64.17,  78.74
1957.00,   2.00,  44.95,  37.98,  51.45
1957.00,   3.00,  36.64,  29.71,  43.86
1957.00,   4.00,  73.10,  65.89,  81.10
1957.00,   5.00,  77.85,  70.57,  85.42
1957.00,   6.00,  99.65,  92.31, 107.01
1957.00,   7.00,  57.75,  50.34,  64.94
1957.00,   8.00,  27.34,  20.75,  34.16
1957.00,   9.00,  89.44,  81.95,  96.66
1957.00,  10.00,  40.00,  32.66,  47.63
1957.00,  11.00,  59.45,  51.82,  66.15
1957.00,  12.00,  81.72,  74.33,  89.98
1958.00,   1.00,  62.05,  54.54,  69.48
1958.00,   2.00,  76.21,  69.66,  82.81
1958.00,   3.00,  21.22,  14.48,  28.07
1958.00,   4.00,  60.97,  53.39,  68.19
1958.00,   5.00,  49.38,  40.78,  57.28
1958.00,   6.00,  74.86,  67.34,  82.55
1958.00,   7.00,  76.99,  69.03,  83.99
1958.00,   8.00,  92.06,  84.46,  99.33
1958.00,   9.00, 106.20,  99.14, 112.89
1958.00,  10.00,  65.61,  58.02,  72.88
1958.00,  11.00,  75.64,  68.68,  83.11
1958.00,  12.00,  51.57,  44.55,  59.28
1959.00,   1.00,  91.08,  84.19,  98.11
1959.00,   2.00,  69.39,  62.47,  76.48
1959.00,   3.00,  54.43,  46.74,  62.39
1959.00,   4.00,  74.20,  66.07,  81.54
1959.00,   5.00,  61.22,  53.50,  69.52
1959.00,   6.00,  39.19,  31.32,  46.78
1959.00,   7.00,  82.74,  76.06,  89.77
1959.00,   8.00,  53.14,  45.75,  60.37
1959.00,   9.00,  58.09,  51.14,  65.44
1959.00,  10.00, 118.05, 110.57, 125.81
1959.00,  11.00,  75.70,  68.25,  83.12
1959.00,  12.00, 105.86,  97.83, 113.92
1960.00,   1.00,  69.77,  62.94,  77.18
1960.00,   2.00, 102.45,  95.68, 109.74
1960.00,   3.00,  40.72,  33.09,  48.69
1960.00,   4.00,  74.94,  67.18,  81.95
1960.00,   5.00, 105.38,  97.64, 113.52
1960.00,   6.00,  77.32,  70.17,  84.68
1960.00,   7.00,  43.84,  36.39,  51.10
1960.00,   8.00,  64.32,  56.27,  71.48
1960.00,   9.00,  17.43,  11.60,  24.55
1960.00,  10.00,  66.08,  58.86,  74.42
1960.00,  11.00,  48.70,  41.55,  55.88
1960.00,  12.00,  39.02,  31.79,  46.24
1961.00,   1.00,  28.75,  21.88,  36.28
1961.00,   2.00,  72.74,  65.73,  80.44
1961.00,   3.00,  61.05,  53.31,  69.34
1961.00,   4.00, 102.24,  94.62, 109.73
1961.00,   5.00,  78.01,  70.34,  86.13
1961.00,   6.00, 103.56,  95.82, 111.16
1961.00,   7.00,  72.59,  65.30,  79.71
1961.00,   8.00,  70.05,  62.48,  77.49
1961.00,   9.00,  27.27,  20.72,  34.31
1961.00,  10.00,  41.85,  35.08,  49.69
1961.00,  11.00,  82.34,  75.69,  89.48
1961.00,  12.00,  62.77,  54.82,  70.34
1962.00,   1.00,  74.91,  67.66,  82.31
1962.00,   2.00,  64.07,  57.90,  70.81
1962.00,   3.00,  23.17,  16.20,  30.52
1962.00,   4.00,  63.16,  55.23,  69.95
1962.00,   5.00,  58.55,  51.23,  66.58
1962.00,   6.00,  59.27,  52.19,  67.21
1962.00,   7.00,  67.79,  59.97,  75.62
1962.00,   8.00,  71.02,  63.82,  78.66
1962.00,   9.00, 105.87,  98.55, 112.82
1962.00,  10.00,  83.20,  75.71,  91.95
