Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,   1.0, 226.7, 205.1, 249.8
1950.0,   2.0, 127.2, 105.7, 154.9
1950.0,   3.0, 268.8, 245.8, 291.4
1950.0,   4.0, 388.4, 364.8, 411.3
1950.0,   5.0, 118.1, 100.6, 140.2
1950.0,   6.0,  76.2,  56.4,  97.4
1950.0,   7.0,  48.5,  31.1,  67.4
1950.0,   8.0,  40.8,  23.6,  60.7
1950.0,   9.0,  54.5,  34.9,  72.0
1950.0,  10.0,  71.5,  51.8,  94.3
1950.0,  11.0, 144.7, 120.9, 163.5
1950.0,  12.0, 211.6, 187.4, 232.5
1951.0,   1.0, 222.7, 200.5, 245.5
1951.0,   2.0, 217.3, 193.6, 241.4
1951.0,   3.0, 329.2, 309.2, 350.6
1951.0,   4.0, 402.6, 376.5, 430.4
1951.0,   5.0, 139.9, 117.5, 163.6
1951.0,   6.0,  74.7,  54.8,  94.2
1951.0,   7.0,  94.8,  74.1, 122.0
1951.0,   8.0,  43.5,  28.5,  63.2
1951.0,   9.0,  51.6,  33.8,  69.8
1951.0,  10.0,  53.3,  33.8,  72.1
1951.0,  11.0, 124.3, 103.2, 142.9
1951.0,  12.0, 144.9, 121.0, 169.9
1952.0,   1.0, 215.1, 194.9, 236.4
1952.0,   2.0, 187.0, 165.0, 207.5
1952.0,   3.0, 271.0, 248.1, 293.8
1952.0,   4.0, 316.7, 292.9, 339.7
1952.0,   5.0, 159.7, 133.8, 179.0
1952.0,   6.0,  75.6,  55.9, 100.3
1952.0,   7.0,  53.0,  32.9,  70.9
1952.0,   8.0,  39.2,  22.5,  58.5
1952.0,   9.0,  42.8,  26.1,  61.0
1952.0,  10.0,  57.2,  40.3,  75.8
1952.0,  11.0,  66.3,  48.4,  86.5
1952.0,  12.0, 150.7, 124.0, 172.7
1953.0,   1.0, 126.6, 104.6, 149.2
1953.0,   2.0, 133.2, 114.1, 154.8
1953.0,   3.0, 244.3, 220.4, 267.8
1953.0,   4.0, 174.0, 151.5, 195.0
1953.0,   5.0, 226.7, 205.8, 250.3
1953.0,   6.0,  75.8,  56.0,  97.0
1953.0,   7.0,  48.4,  31.2,  66.0
1953.0,   8.0,  54.3,  34.8,  74.0
1953.0,   9.0,  44.9,  29.3,  63.4
1953.0,  10.0,  43.0,  24.4,  61.8
1953.0,  11.0,  57.6,  37.8,  76.7
1953.0,  12.0, 113.0,  91.5, 137.1
1954.0,   1.0,  87.7,  68.5, 110.9
1954.0,   2.0, 250.6, 227.7, 278.7
1954.0,   3.0, 276.6, 252.4, 304.2
1954.0,   4.0, 356.5, 335.3, 379.2
1954.0,   5.0, 201.6, 181.1, 222.3
1954.0,   6.0,  80.0,  59.8,  99.3
1954.0,   7.0,  40.2,  25.9,  59.0
1954.0,   8.0,  40.9,  24.8,  58.5
1954.0,   9.0,  60.5,  43.7,  88.3
1954.0,  10.0,  98.4,  79.3, 118.3
1954.0,  11.0, 120.1,  98.3, 140.4
1954.0,  12.0, 162.5, 141.1, 190.4
1955.0,   1.0, 149.7, 127.6, 170.9
1955.0,   2.0, 102.8,  73.6, 125.4
1955.0,   3.0, 382.0, 360.7, 404.7
1955.0,   4.0, 321.9, 296.4, 343.3
1955.0,   5.0,  85.7,  65.7, 105.1
1955.0,   6.0,  59.7,  41.1,  77.7
1955.0,   7.0,  37.1,  21.0,  57.7
1955.0,   8.0,  38.9,  23.8,  57.8
1955.0,   9.0,  35.5,  21.3,  56.0
1955.0,  10.0, 161.2, 135.6, 181.7
1955.0,  11.0, 173.3, 148.8, 193.4
1955.0,  12.0, 124.7, 101.6, 148.4
1956.0,   1.0,  76.9,  59.2,  96.1
1956.0,   2.0, 103.7,  84.9, 126.0
1956.0,   3.0, 296.9, 274.9, 320.8
1956.0,   4.0, 441.8, 419.8, 466.3
1956.0,   5.0, 304.6, 283.8, 327.4
1956.0,   6.0, 115.0,  94.6, 133.1
1956.0,   7.0,  58.5,  39.7,  80.2
1956.0,   8.0,  50.8,  31.3,  71.1
1956.0,   9.0,  72.0,  52.4,  92.3
1956.0,  10.0,  58.3,  37.4,  77.0
1956.0,  11.0,  55.7,  38.1,  77.9
1956.0,  12.0, 153.9, 129.5, 175.4
1957.0,   1.0, 153.5, 135.0, 174.6
1957.0,   2.0, 132.8, 111.6, 154.0
1957.0,   3.0, 213.4, 190.0, 239.6
1957.0,   4.0, 206.6, 179.9, 231.1
1957.0,   5.0, 140.9, 120.7, 166.6
1957.0,   6.0,  80.1,  59.6, 103.2
1957.0,   7.0,  65.3,  38.8,  89.3
1957.0,   8.0,  41.6,  26.0,  60.5
1957.0,   9.0,  41.5,  27.3,  63.4
1957.0,  10.0,  38.3,  22.0,  54.7
1957.0,  11.0,  70.7,  54.2,  89.7
1957.0,  12.0, 161.9, 133.0, 188.4
1958.0,   1.0,  93.4,  73.8, 114.1
1958.0,   2.0,  74.5,  55.9,  97.9
1958.0,   3.0, 231.4, 209.7, 253.4
1958.0,   4.0, 265.3, 239.6, 287.2
