Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.000,   1.000,  23.498,   7.075,  39.036
1950.000,   2.000,  22.207,   7.651,  36.146
1950.000,   3.000,  52.520,  37.638,  67.608
1950.000,   4.000, 116.972, 102.015, 131.750
1950.000,   5.000, 306.844, 291.827, 322.010
1950.000,   6.000, 190.718, 176.957, 204.763
1950.000,   7.000, 155.323, 140.619, 169.407
1950.000,   8.000, 128.108, 113.337, 143.503
1950.000,   9.000,  76.870,  61.579,  92.038
1950.000,  10.000,  74.153,  58.191,  89.666
1950.000,  11.000,  46.606,  31.134,  61.691
1950.000,  12.000,  -3.573, -18.391,  11.974
1951.000,   1.000,   5.580,  -8.469,  19.369
1951.000,   2.000,  77.075,  63.566,  90.037
1951.000,   3.000,  98.478,  84.292, 112.758
1951.000,   4.000, 171.847, 157.798, 186.130
1951.000,   5.000, 163.041, 149.041, 177.199
1951.000,   6.000, 176.094, 162.926, 189.465
1951.000,   7.000,  99.183,  86.010, 112.267
1951.000,   8.000, 147.647, 133.656, 162.179
1951.000,   9.000, 140.919, 125.796, 155.796
1951.000,  10.000,  82.125,  67.392,  97.335
1951.000,  11.000,  17.503,   2.668,  32.891
1951.000,  12.000,  12.414,  -3.154,  27.259
1952.000,   1.000,  24.261,  10.966,  38.364
1952.000,   2.000,  11.716,  -2.319,  25.220
1952.000,   3.000,  53.701,  40.084,  67.755
1952.000,   4.000, 127.776, 113.304, 142.418
1952.000,   5.000, 105.636,  91.806, 119.972
1952.000,   6.000, 164.787, 151.782, 177.776
1952.000,   7.000, 198.492, 184.524, 211.994
1952.000,   8.000, 124.651, 110.522, 139.964
1952.000,   9.000,  26.049,  11.236,  40.538
1952.000,  10.000, -53.002, -67.218, -38.738
1952.000,  11.000,   2.481, -11.056,  16.644
1952.000,  12.000, -17.487, -32.131,  -2.475
1953.000,   1.000,   4.138,  -9.283,  17.830
1953.000,   2.000,  30.050,  15.970,  43.434
1953.000,   3.000,  67.255,  53.642,  82.185
1953.000,   4.000, 114.945, 101.789, 129.449
1953.000,   5.000, 213.645, 200.307, 227.364
1953.000,   6.000, 192.744, 179.790, 205.927
1953.000,   7.000, 151.389, 137.893, 165.003
1953.000,   8.000, 127.177, 113.735, 141.454
1953.000,   9.000,  41.184,  26.146,  55.684
1953.000,  10.000,   2.257, -11.679,  16.733
1953.000,  11.000,   0.534, -13.747,  14.786
1953.000,  12.000,  -8.467, -23.201,   6.127
1954.000,   1.000,  -5.631, -19.683,   8.195
1954.000,   2.000,  28.012,  13.847,  41.966
1954.000,   3.000,  23.641,   9.972,  37.506
1954.000,   4.000, 174.529, 160.254, 188.383
1954.000,   5.000, 234.695, 220.760, 248.674
1954.000,   6.000, 162.219, 148.679, 174.935
1954.000,   7.000,  78.528,  64.779,  91.603
1954.000,   8.000,  67.301,  53.421,  80.978
1954.000,   9.000,  74.224,  59.891,  88.320
1954.000,  10.000,  34.610,  19.550,  49.779
1954.000,  11.000,  -1.748, -17.098,  12.079
1954.000,  12.000, -46.711, -61.411, -32.771
1955.000,   1.000, -24.348, -38.478, -10.498
1955.000,   2.000,   4.481,  -9.073,  17.980
1955.000,   3.000,  63.620,  50.121,  77.095
1955.000,   4.000, 143.070, 129.937, 156.978
1955.000,   5.000, 125.502, 111.676, 139.594
1955.000,   6.000,  88.572,  76.500, 101.155
1955.000,   7.000, 113.644, 101.463, 126.442
1955.000,   8.000, 103.638,  89.640, 117.445
1955.000,   9.000,  53.761,  38.772,  68.208
1955.000,  10.000,  80.993,  66.412,  95.462
1955.000,  11.000,  20.623,   5.513,  35.285
1955.000,  12.000, -24.747, -39.222, -10.333
1956.000,   1.000,  -1.797, -15.540,  13.412
1956.000,   2.000, -11.861, -25.161,   1.469
1956.000,   3.000,   4.631,  -8.637,  18.642
1956.000,   4.000,  84.263,  70.262,  98.359
1956.000,   5.000, 175.037, 161.444, 188.666
1956.000,   6.000, 119.816, 107.616, 132.441
1956.000,   7.000, 129.887, 115.926, 143.161
1956.000,   8.000,  97.950,  84.035, 112.019
1956.000,   9.000,  46.387,  31.388,  60.647
1956.000,  10.000,   8.542,  -5.338,  22.695
1956.000,  11.000,  -6.969, -20.966,   7.086
1956.000,  12.000,  -3.480, -17.505,  11.051
1957.000,   1.000, -25.852, -39.753, -12.166
1957.000,   2.000,  27.159,  13.479,  39.931
1957.000,   3.000,  48.818,  35.576,  61.851
1957.000,   4.000, 134.058, 119.862, 148.470
1957.000,   5.000, 119.482, 105.818, 133.931
1957.000,   6.000, 144.064, 131.628, 156.550
