Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.000000,   1.000000, 101.423933,  89.147322, 113.353118
1950.000000,   2.000000,  41.362156,  30.083594,  52.790404
1950.000000,   3.000000,  28.769815,  17.450290,  39.455067
1950.000000,   4.000000,  20.074020,  11.244796,  29.902274
1950.000000,   5.000000,   0.589074,  -6.505646,   7.476561
1950.000000,   6.000000,  -4.842750, -10.846102,   1.192512
1950.000000,   7.000000,  -6.462007, -14.607526,   2.501703
1950.000000,   8.000000,  -0.425021, -11.191888,  10.149216
1950.000000,   9.000000,  15.860887,   4.560089,  26.387918
1950.000000,  10.000000,  37.695925,  26.266482,  48.356333
1950.000000,  11.000000,  98.489040,  86.899411, 109.577524
1950.000000,  12.000000,  97.872619,  85.816041, 109.152067
1951.000000,   1.000000,  61.883060,  51.006419,  73.228830
1951.000000,   2.000000,  22.520768,  11.778274,  33.388478
1951.000000,   3.000000,  25.101780,  14.362130,  35.815106
1951.000000,   4.000000,   7.123720,  -2.213140,  16.277808
1951.000000,   5.000000,   0.463709,  -6.682267,   7.219067
1951.000000,   6.000000,  -2.395612,  -8.058634,   3.098700
1951.000000,   7.000000,  -2.856539, -10.884662,   5.424798
1951.000000,   8.000000,   1.791107,  -8.097628,  12.139916
1951.000000,   9.000000,  41.030631,  30.140635,  52.123108
1951.000000,  10.000000,  59.682411,  48.574230,  70.394664
1951.000000,  11.000000, 103.741708,  92.609655, 114.840320
1951.000000,  12.000000,  88.134011,  76.655802, 100.084947
1952.000000,   1.000000,  66.390911,  54.838014,  77.650736
1952.000000,   2.000000,  37.932258,  26.687632,  49.237785
1952.000000,   3.000000,  29.336629,  18.066362,  40.083911
1952.000000,   4.000000,  11.938996,   2.971218,  20.812788
1952.000000,   5.000000,   2.920509,  -4.159930,   9.743595
1952.000000,   6.000000,  -3.584874,  -9.394552,   2.087130
1952.000000,   7.000000,  -7.014041, -15.553602,   1.515324
1952.000000,   8.000000,   4.427406,  -5.999791,  14.455998
1952.000000,   9.000000,  39.808670,  29.077727,  50.561272
1952.000000,  10.000000, 105.462903,  94.486994, 116.069035
1952.000000,  11.000000,  84.235486,  73.155746,  94.791469
1952.000000,  12.000000,  84.775218,  73.141515,  96.531676
1953.000000,   1.000000,  79.282852,  68.206283,  90.342882
1953.000000,   2.000000,  49.971239,  39.192206,  61.330414
1953.000000,   3.000000,  29.238532,  18.553184,  39.423819
1953.000000,   4.000000,  17.736585,   8.727321,  26.640370
1953.000000,   5.000000,   0.475953,  -6.913141,   7.421665
1953.000000,   6.000000,  -4.353903, -10.123132,   1.176901
1953.000000,   7.000000,   0.530418,  -7.640870,   8.951212
1953.000000,   8.000000,   5.702033,  -4.597421,  16.094119
1953.000000,   9.000000,  64.378854,  54.145918,  75.266531
1953.000000,  10.000000,  54.761651,  44.236805,  65.015669
1953.000000,  11.000000,  84.994419,  74.236395,  95.638025
1953.000000,  12.000000, 114.169748, 102.553561, 125.972647
1954.000000,   1.000000, 105.241311,  94.119605, 116.434747
1954.000000,   2.000000,  39.615571,  28.352398,  50.575972
1954.000000,   3.000000,  63.205665,  52.242731,  74.008436
1954.000000,   4.000000,  19.965775,  10.295202,  28.932731
1954.000000,   5.000000,   3.791225,  -3.260550,  10.638622
1954.000000,   6.000000,  -3.923929,  -9.714630,   2.128685
1954.000000,   7.000000,  -3.269176, -11.087430,   5.055866
1954.000000,   8.000000,  17.390179,   7.173151,  26.977531
1954.000000,   9.000000,  44.621592,  33.774642,  55.069457
1954.000000,  10.000000,  68.729278,  58.068584,  79.625071
1954.000000,  11.000000,  75.582137,  63.920118,  87.133302
1954.000000,  12.000000, 103.366944,  92.445336, 115.533398
1955.000000,   1.000000, 101.955284,  90.698549, 112.869414
1955.000000,   2.000000,  67.709410,  56.529953,  79.029865
1955.000000,   3.000000,  58.629948,  47.686237,  69.039416
1955.000000,   4.000000,   3.752288,  -5.563940,  12.830151
1955.000000,   5.000000,   3.352301,  -3.642209,  10.419722
1955.000000,   6.000000,  -1.881865,  -7.733245,   3.751933
1955.000000,   7.000000,   0.041975,  -8.242716,   8.377457
1955.000000,   8.000000,  20.166587,   9.957615,  30.335683
1955.000000,   9.000000,  67.701966,  56.588407,  78.295811
1955.000000,  10.000000,  56.328216,  45.815202,  67.490535
1955.000000,  11.000000, 110.680400,  99.481428, 122.457303
1955.000000,  12.000000, 121.469165, 109.934706, 132.821911
1956.000000,   1.000000,  76.223186,  65.242379,  87.391808
1956.000000,   2.000000,  59.606803,  48.811303,  70.560637
1956.000000,   3.000000,  44.458898,  33.456216,  54.850663
1956.000000,   4.000000,  26.729200,  17.654622,  35.894924
1956.000000,   5.000000,   3.057310,  -3.933420,  10.324550
1956.000000,   6.000000,  -2.855594,  -8.629921,   2.859755
1956.000000,   7.000000,  -4.090960, -12.284196,   4.383805
1956.000000,   8.000000,   7.494326,  -2.809556,  17.644510
1956.000000,   9.000000,  49.909400,  39.360266,  61.332675
1956.000000,  10.000000,  48.593158,  38.267389,  59.260609
1956.000000,  11.000000, 103.953037,  93.343938, 115.024540
1956.000000,  12.000000,  98.650755,  87.386204, 110.227632
1957.000000,   1.000000,  88.841677,  77.641177,  99.711195
1957.000000,   2.000000,  31.099099,  19.908553,  41.721783
1957.000000,   3.000000,  20.777698,  10.073543,  31.456621
1957.000000,   4.000000,  12.146005,   2.943472,  20.909931
1957.000000,   5.000000,   4.035023,  -2.866282,  10.937374
1957.000000,   6.000000,  -3.268857,  -8.806289,   2.332472
1957.000000,   7.000000,  -2.260800, -10.477934,   5.867905
1957.000000,   8.000000,   8.199724,  -2.075317,  18.132517
1957.000000,   9.000000,  52.360860,  41.236563,  63.092206
1957.000000,  10.000000,  64.651596,  53.588399,  75.524443
1957.000000,  11.000000,  96.806030,  85.576231, 108.019392
1957.000000,  12.000000,  93.515048,  81.445813, 104.661272
1958.000000,   1.000000,  65.302568,  54.095343,  76.008643
1958.000000,   2.000000,  55.340993,  44.467874,  66.323663
1958.000000,   3.000000,  24.671811,  14.007921,  35.524410
1958.000000,   4.000000,  22.752518,  13.805521,  31.505624
1958.000000,   5.000000,   6.273553,  -0.748090,  13.409285
1958.000000,   6.000000,  -2.165851,  -7.739017,   3.732532
1958.000000,   7.000000,  -1.969726, -10.522674,   6.544338
1958.000000,   8.000000,  25.025569,  14.516074,  35.307746
1958.000000,   9.000000,  42.361349,  31.771057,  53.252695
1958.000000,  10.000000,  60.191609,  49.335448,  71.285426
1958.000000,  11.000000, 106.677335,  95.629529, 117.855091
1958.000000,  12.000000, 125.160183, 113.989683, 136.862215
1959.000000,   1.000000,  88.037323,  76.356716,  99.573253
1959.000000,   2.000000,  34.801207,  23.843884,  46.231166
1959.000000,   3.000000,  24.512111,  13.819754,  35.473250
1959.000000,   4.000000,  13.702556,   4.594643,  23.036768
1959.000000,   5.000000,  -1.004869,  -8.072882,   5.848227
1959.000000,   6.000000,  -4.115032,  -9.946790,   1.760580
1959.000000,   7.000000,  -2.682739, -11.310899,   6.046772
1959.000000,   8.000000,  -1.071432, -11.314910,   9.359823
1959.000000,   9.000000,  43.994167,  33.578098,  54.960677
1959.000000,  10.000000,  83.688553,  72.800308,  94.615109
1959.000000,  11.000000, 119.793522, 108.083302, 130.929248
1959.000000,  12.000000,  82.574066,  70.819284,  93.983642
1960.000000,   1.000000,  75.412756,  64.203620,  86.151100
1960.000000,   2.000000,  51.932129,  41.062093,  63.035818
1960.000000,   3.000000,  39.106657,  28.201721,  49.940089
1960.000000,   4.000000,  13.345817,   4.430099,  22.244030
1960.000000,   5.000000,   2.839855,  -4.378763,  10.167980
1960.000000,   6.000000,  -2.213614,  -8.162898,   3.459459
1960.000000,   7.000000,  -2.395818, -10.588339,   5.869910
1960.000000,   8.000000,   7.763488,  -2.234807,  17.928671
1960.000000,   9.000000,  50.827426,  40.471490,  61.272741
1960.000000,  10.000000,  70.620212,  60.124582,  80.955928
1960.000000,  11.000000,  88.224990,  77.150192,  99.322246
1960.000000,  12.000000, 116.098609, 104.307432, 127.608298
1961.000000,   1.000000,  73.633944,  62.847011,  84.692816
1961.000000,   2.000000,  28.535179,  17.451540,  39.512785
1961.000000,   3.000000,  27.021770,  16.244058,  37.335369
1961.000000,   4.000000,  17.765590,   8.217216,  27.112685
1961.000000,   5.000000,   6.860228,  -0.480814,  14.215217
1961.000000,   6.000000,  -0.958666,  -6.902951,   4.954209
1961.000000,   7.000000,   0.663564,  -7.371227,   9.030654
