Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.00,   1.00,  95.17,  87.53, 103.32
1950.00,   2.00,  38.58,  31.20,  45.76
1950.00,   3.00,  50.29,  42.36,  57.96
1950.00,   4.00,  73.65,  65.95,  81.35
1950.00,   5.00,  86.93,  78.93,  95.02
1950.00,   6.00,  97.53,  89.63, 106.19
1950.00,   7.00,  81.54,  73.40,  89.98
1950.00,   8.00,  80.62,  72.82,  89.04
1950.00,   9.00,  56.17,  48.27,  64.38
1950.00,  10.00,  64.47,  56.35,  72.78
1950.00,  11.00, 103.53,  95.78, 111.67
1950.00,  12.00,  58.25,  50.45,  65.73
1951.00,   1.00,  35.37,  28.17,  42.63
1951.00,   2.00,  65.55,  58.47,  72.70
1951.00,   3.00,  83.14,  75.92,  90.90
1951.00,   4.00,  57.84,  50.00,  65.83
1951.00,   5.00,  48.04,  40.22,  56.16
1951.00,   6.00, 109.08, 101.22, 117.13
1951.00,   7.00,  51.28,  43.44,  59.20
1951.00,   8.00, 112.75, 104.58, 120.96
1951.00,   9.00, 125.57, 117.15, 134.02
1951.00,  10.00,  77.89,  69.80,  86.19
1951.00,  11.00,  59.74,  51.89,  67.65
1951.00,  12.00,  51.49,  44.19,  59.07
1952.00,   1.00,  53.75,  46.28,  61.23
1952.00,   2.00,  18.98,  12.59,  25.69
1952.00,   3.00,  46.18,  38.90,  53.76
1952.00,   4.00,  41.57,  34.19,  49.34
1952.00,   5.00,  49.92,  41.88,  57.84
1952.00,   6.00, 109.36, 101.09, 117.49
1952.00,   7.00, 122.33, 114.29, 130.28
1952.00,   8.00,  83.74,  75.67,  92.25
1952.00,   9.00,  34.04,  26.16,  42.07
1952.00,  10.00,  25.34,  17.68,  33.21
1952.00,  11.00,  55.84,  48.11,  63.76
1952.00,  12.00,  34.63,  27.37,  42.17
1953.00,   1.00,  51.43,  43.90,  59.09
1953.00,   2.00,  50.91,  43.92,  57.90
1953.00,   3.00,  52.54,  45.14,  60.11
1953.00,   4.00,  55.64,  47.72,  63.57
1953.00,   5.00, 111.01, 102.84, 119.05
1953.00,   6.00,  98.56,  90.51, 106.62
1953.00,   7.00,  93.33,  85.32, 101.39
1953.00,   8.00,  84.61,  76.07,  92.77
1953.00,   9.00,  76.28,  67.82,  84.78
1953.00,  10.00,  26.08,  18.70,  33.96
1953.00,  11.00,  54.13,  46.56,  61.88
1953.00,  12.00,  66.91,  59.53,  74.44
1954.00,   1.00,  65.03,  57.48,  72.69
1954.00,   2.00,  35.83,  28.84,  42.96
1954.00,   3.00,  47.07,  39.78,  54.31
1954.00,   4.00,  91.25,  83.65,  98.90
1954.00,   5.00,  98.06,  90.08, 106.14
1954.00,   6.00,  78.06,  70.17,  85.77
1954.00,   7.00,  32.17,  24.69,  40.37
1954.00,   8.00,  53.84,  45.77,  61.75
1954.00,   9.00,  88.55,  80.14,  96.43
1954.00,  10.00,  62.82,  54.74,  71.18
1954.00,  11.00,  36.87,  29.25,  44.54
1954.00,  12.00,  23.78,  16.83,  30.80
1955.00,   1.00,  45.87,  38.38,  53.53
1955.00,   2.00,  40.94,  33.89,  47.90
1955.00,   3.00,  87.81,  79.93,  95.59
1955.00,   4.00,  44.74,  36.92,  52.35
1955.00,   5.00,  73.33,  65.38,  81.48
1955.00,   6.00,  50.14,  42.39,  57.98
1955.00,   7.00,  82.94,  74.80,  90.97
1955.00,   8.00,  89.54,  81.12,  97.89
1955.00,   9.00,  91.82,  83.65, 100.12
1955.00,  10.00,  99.79,  91.75, 107.93
1955.00,  11.00,  86.70,  78.78,  94.41
1955.00,  12.00,  59.77,  52.52,  67.50
1956.00,   1.00,  39.15,  31.71,  46.74
1956.00,   2.00,  19.66,  13.37,  26.68
1956.00,   3.00,  20.38,  13.11,  28.15
1956.00,   4.00,  40.86,  33.18,  48.60
1956.00,   5.00,  85.05,  76.94,  93.33
1956.00,   6.00,  66.69,  58.78,  74.93
1956.00,   7.00,  79.59,  71.75,  88.11
1956.00,   8.00,  73.75,  65.60,  82.16
1956.00,   9.00,  64.61,  56.29,  73.24
1956.00,  10.00,  25.89,  18.37,  33.81
1956.00,  11.00,  66.20,  58.59,  73.99
1956.00,  12.00,  66.30,  58.83,  73.86
1957.00,   1.00,  38.76,  31.49,  46.46
1957.00,   2.00,  33.53,  26.41,  40.71
1957.00,   3.00,  35.44,  27.88,  42.82
1957.00,   4.00,  54.06,  46.29,  61.94
1957.00,   5.00,  51.41,  43.77,  59.48
1957.00,   6.00,  88.98,  80.98,  97.22
1957.00,   7.00,  51.10,  43.32,  59.68
1957.00,   8.00,  41.84,  33.74,  50.13
1957.00,   9.00,  98.09,  89.64, 106.63
1957.00,  10.00,  31.27,  23.58,  39.16
1957.00,  11.00,  89.80,  81.63,  97.38
1957.00,  12.00,  41.54,  34.49,  48.70
1958.00,   1.00,  39.35,  31.87,  47.05
1958.00,   2.00,  22.40,  15.79,  29.09
1958.00,   3.00,  14.62,   7.87,  21.49
1958.00,   4.00,  31.78,  24.14,  39.32
1958.00,   5.00,  46.46,  38.57,  54.33
1958.00,   6.00,  84.35,  76.15,  92.35
1958.00,   7.00,  88.13,  80.11,  96.47
1958.00,   8.00, 105.72,  97.23, 113.67
1958.00,   9.00,  76.50,  67.98,  85.00
1958.00,  10.00,  46.42,  38.08,  54.38
1958.00,  11.00,  97.39,  89.54, 105.10
1958.00,  12.00,  59.31,  52.17,  66.74
1959.00,   1.00,  35.06,  27.49,  42.44
1959.00,   2.00,  21.30,  14.79,  28.15
1959.00,   3.00,  31.59,  24.20,  39.16
1959.00,   4.00,  30.49,  22.94,  38.19
1959.00,   5.00, 108.23, 100.18, 116.27
1959.00,   6.00,  62.41,  54.54,  70.43
1959.00,   7.00,  54.45,  46.37,  62.24
1959.00,   8.00, 152.35, 143.97, 160.94
1959.00,   9.00, 127.61, 119.22, 136.08
1959.00,  10.00,  97.21,  88.91, 105.03
1959.00,  11.00,  50.91,  43.10,  58.60
1959.00,  12.00,  36.08,  28.98,  43.41
1960.00,   1.00,  47.56,  40.16,  55.12
1960.00,   2.00,  27.11,  19.83,  33.96
1960.00,   3.00,  25.91,  18.56,  33.15
1960.00,   4.00, 107.13,  99.35, 114.71
1960.00,   5.00,  94.00,  85.90, 102.25
1960.00,   6.00,  62.01,  53.90,  69.82
1960.00,   7.00,  72.27,  64.22,  80.41
1960.00,   8.00,  66.06,  57.79,  74.31
1960.00,   9.00,  68.67,  60.06,  77.09
1960.00,  10.00,  60.39,  52.28,  68.64
1960.00,  11.00,  75.35,  67.51,  83.26
1960.00,  12.00,  37.67,  30.39,  44.98
1961.00,   1.00,  27.80,  20.73,  35.34
1961.00,   2.00,  35.81,  28.91,  42.68
1961.00,   3.00,  50.06,  42.98,  57.59
1961.00,   4.00,  40.72,  33.38,  48.15
1961.00,   5.00,  70.96,  63.05,  79.21
1961.00,   6.00,  52.52,  44.14,  60.23
1961.00,   7.00,  50.87,  42.99,  58.88
1961.00,   8.00,  40.27,  32.08,  48.26
1961.00,   9.00, 122.68, 114.19, 131.02
1961.00,  10.00,  62.52,  54.40,  70.50
1961.00,  11.00,  62.17,  54.43,  70.40
1961.00,  12.00,  52.26,  44.91,  59.52
1962.00,   1.00,  50.26,  42.53,  58.17
1962.00,   2.00,  50.97,  43.56,  57.99
1962.00,   3.00,  14.77,   7.88,  21.96
1962.00,   4.00,  42.06,  34.21,  49.74
1962.00,   5.00,  89.53,  81.56,  97.27
1962.00,   6.00,  42.91,  35.14,  50.67
1962.00,   7.00,  49.58,  42.19,  57.50
1962.00,   8.00,  93.95,  85.87, 102.17
1962.00,   9.00,  85.94,  77.63,  94.26
1962.00,  10.00,  27.33,  19.62,  35.29
1962.00,  11.00,  27.15,  19.65,  34.23
1962.00,  12.00,  54.26,  46.77,  61.92
1963.00,   1.00,  41.08,  33.71,  49.04
1963.00,   2.00,  30.49,  23.20,  37.55
1963.00,   3.00,  44.85,  37.34,  52.66
1963.00,   4.00,  61.96,  54.00,  69.71
1963.00,   5.00,  52.36,  44.28,  60.31
1963.00,   6.00,  95.01,  87.23, 103.06
1963.00,   7.00,  43.59,  35.70,  51.34
1963.00,   8.00,  74.13,  65.84,  82.03
1963.00,   9.00,  48.49,  40.67,  56.41
1963.00,  10.00,  24.55,  17.08,  32.27
1963.00,  11.00,  56.96,  49.38,  64.88
1963.00,  12.00,  57.58,  50.01,  64.81
1964.00,   1.00,  49.83,  42.49,  57.46
1964.00,   2.00,  29.94,  23.12,  36.70
1964.00,   3.00,  43.42,  35.81,  51.15
1964.00,   4.00,  84.06,  76.50,  92.02
1964.00,   5.00, 109.34, 101.38, 117.36
1964.00,   6.00,  83.78,  76.21,  91.92
1964.00,   7.00,  50.77,  43.16,  58.97
1964.00,   8.00, 103.71,  95.97, 112.22
1964.00,   9.00, 103.58,  95.29, 112.27
1964.00,  10.00,  50.90,  42.79,  58.80
1964.00,  11.00,  58.68,  50.97,  66.45
1964.00,  12.00,  69.12,  61.36,  76.73
1965.00,   1.00,  49.73,  42.38,  57.06
1965.00,   2.00,  64.09,  56.98,  71.40
1965.00,   3.00,  38.92,  31.52,  46.42
