Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0000,   1.0000, -32.3830, -65.6215,   1.5269
1950.0000,   2.0000, -31.5519, -64.3077,   1.4724
1950.0000,   3.0000,  -6.2103, -39.6028,  26.0121
1950.0000,   4.0000,  59.3139,  26.5430,  92.4377
1950.0000,   5.0000, 250.0193, 216.6856, 284.0616
1950.0000,   6.0000,  98.8144,  66.1403, 131.3010
1950.0000,   7.0000,  43.3525,  10.1081,  76.7599
1950.0000,   8.0000,  12.8116, -20.5562,  46.2827
1950.0000,   9.0000, -29.9777, -64.8237,   2.7169
1950.0000,  10.0000, -37.1576, -69.4415,  -4.6364
1950.0000,  11.0000, -56.9961, -90.0903, -24.6233
1950.0000,  12.0000,-103.5935,-136.3990, -71.3881
1951.0000,   1.0000, -67.5583, -99.4514, -35.1816
1951.0000,   2.0000,  12.8403, -17.7708,  44.0916
1951.0000,   3.0000,  25.5039,  -6.6483,  58.4874
1951.0000,   4.0000,  80.5627,  47.2309, 114.0068
1951.0000,   5.0000,  54.0302,  19.6100,  86.8918
1951.0000,   6.0000,  66.5720,  35.0299,  98.5906
1951.0000,   7.0000, -15.1786, -46.8854,  15.5075
1951.0000,   8.0000,  35.6858,   4.2535,  68.2870
1951.0000,   9.0000,  31.8128,  -0.6468,  64.9115
1951.0000,  10.0000, -26.6906, -59.1203,   6.9188
1951.0000,  11.0000, -86.6787,-122.0798, -54.0305
1951.0000,  12.0000, -75.4227,-107.9993, -42.8457
1952.0000,   1.0000, -49.4762, -81.4144, -17.5966
1952.0000,   2.0000, -58.6304, -90.1866, -25.0197
1952.0000,   3.0000, -19.8162, -52.6320,  12.2998
1952.0000,   4.0000,  53.8450,  19.3603,  84.9798
1952.0000,   5.0000,   4.1835, -28.1817,  37.3649
1952.0000,   6.0000,  93.7423,  61.3975, 126.3513
1952.0000,   7.0000, 136.7000, 104.3807, 169.7348
1952.0000,   8.0000,  15.1109, -17.8911,  48.0199
1952.0000,   9.0000, -79.7495,-112.5539, -48.7671
1952.0000,  10.0000,-160.4448,-193.0889,-127.7437
1952.0000,  11.0000, -95.1698,-127.3157, -61.8801
1952.0000,  12.0000, -86.6902,-118.9236, -52.5136
1953.0000,   1.0000, -59.0809, -91.4734, -26.6662
1953.0000,   2.0000, -27.0954, -60.0463,   4.8620
1953.0000,   3.0000,   4.3106, -26.5243,  37.5200
1953.0000,   4.0000,  47.5273,  15.2365,  78.9544
1953.0000,   5.0000, 132.5469,  99.5201, 164.6227
1953.0000,   6.0000, 111.3273,  79.6430, 143.0004
1953.0000,   7.0000,  57.6686,  26.2531,  88.9196
1953.0000,   8.0000,  13.9176, -19.1616,  46.7046
1953.0000,   9.0000, -66.7606,-100.1332, -34.3189
1953.0000,  10.0000,-102.0170,-134.8715, -69.6015
1953.0000,  11.0000, -84.9051,-119.4011, -52.6231
1953.0000,  12.0000, -78.4401,-111.3627, -44.7251
1954.0000,   1.0000, -68.3762,-100.3586, -36.7351
1954.0000,   2.0000, -29.5981, -62.4992,   3.1643
1954.0000,   3.0000, -39.6102, -72.6124,  -7.2800
1954.0000,   4.0000, 112.3876,  79.6948, 143.9057
1954.0000,   5.0000, 168.5512, 136.3900, 201.9052
1954.0000,   6.0000,  93.1589,  61.8953, 124.7768
1954.0000,   7.0000, -16.2749, -48.5936,  14.2719
1954.0000,   8.0000, -39.3989, -70.9183,  -7.6136
1954.0000,   9.0000, -24.5067, -57.6246,   8.9077
1954.0000,  10.0000, -52.3008, -83.8011, -18.9668
1954.0000,  11.0000, -67.8638,-101.1099, -34.0416
1954.0000,  12.0000,-104.9494,-136.7500, -71.9911
1955.0000,   1.0000, -80.9773,-111.9407, -47.8467
1955.0000,   2.0000, -44.7897, -78.4946, -12.5444
1955.0000,   3.0000,   8.7233, -22.8638,  40.5472
1955.0000,   4.0000,  90.4149,  57.2654, 123.5622
1955.0000,   5.0000,  64.7302,  32.4929,  97.1395
1955.0000,   6.0000,  28.4413,  -4.6874,  58.6895
1955.0000,   7.0000,  56.2810,  24.7290,  87.5548
1955.0000,   8.0000,  46.9027,  14.9056,  78.3333
1955.0000,   9.0000,  17.4127, -16.0407,  50.4212
1955.0000,  10.0000,  34.3361,   1.3080,  66.8766
1955.0000,  11.0000, -52.1536, -85.4615, -19.6518
1955.0000,  12.0000, -93.8319,-126.5934, -60.4681
1956.0000,   1.0000, -67.6349, -98.6178, -35.3575
1956.0000,   2.0000, -76.3061,-107.7214, -45.3451
1956.0000,   3.0000, -63.1590, -96.3388, -30.8680
1956.0000,   4.0000,  15.1638, -19.2433,  48.5722
1956.0000,   5.0000, 113.8517,  82.4809, 146.8980
1956.0000,   6.0000,  74.6331,  42.9290, 107.6416
1956.0000,   7.0000,  79.6008,  48.4378, 113.7555
1956.0000,   8.0000,  32.7924,   0.7522,  64.2574
1956.0000,   9.0000, -17.0772, -50.4476,  15.5173
1956.0000,  10.0000, -58.2134, -89.9699, -26.0025
1956.0000,  11.0000, -69.9732,-104.6015, -38.0805
1956.0000,  12.0000, -67.2837, -99.3751, -34.8581
1957.0000,   1.0000, -88.4537,-120.4043, -54.8099
1957.0000,   2.0000, -28.3104, -59.5651,   5.2066
1957.0000,   3.0000,  -2.9020, -33.6078,  29.5787
1957.0000,   4.0000,  83.7573,  51.3671, 118.3585
1957.0000,   5.0000,  75.6407,  42.0152, 107.8068
1957.0000,   6.0000, 101.7210,  69.2358, 133.1645
1957.0000,   7.0000,  51.1627,  20.9052,  82.8233
1957.0000,   8.0000,   6.1212, -26.6799,  38.0650
1957.0000,   9.0000,  16.6353, -16.1416,  49.1111
1957.0000,  10.0000, -63.4420, -95.3449, -31.2041
1957.0000,  11.0000, -23.1264, -56.7796,  10.8861
1957.0000,  12.0000, -74.3528,-108.0466, -43.4169
1958.0000,   1.0000, -53.7857, -85.5129, -21.5053
1958.0000,   2.0000, -60.3711, -92.3114, -28.1310
1958.0000,   3.0000, -39.2392, -71.7482,  -6.8029
1958.0000,   4.0000,  10.8167, -19.6634,  42.7422
1958.0000,   5.0000,  29.3622,  -2.3567,  61.3488
1958.0000,   6.0000,  80.1178,  48.8427, 112.2816
1958.0000,   7.0000,  93.3985,  60.1346, 124.5525
1958.0000,   8.0000,  63.1018,  29.6613,  95.7026
1958.0000,   9.0000,  29.4629,  -3.3161,  61.7479
1958.0000,  10.0000, -32.9465, -65.8171,  -0.8034
1958.0000,  11.0000, -21.6831, -54.6143,  11.2928
1958.0000,  12.0000, -85.6366,-119.4662, -52.6260
1959.0000,   1.0000, -78.2927,-109.9718, -46.7811
1959.0000,   2.0000, -36.8556, -69.3404,  -6.0024
1959.0000,   3.0000, -15.7464, -48.9917,  16.5396
1959.0000,   4.0000,  16.4827, -15.3898,  47.8358
1959.0000,   5.0000, 137.2739, 103.7413, 169.7651
1959.0000,   6.0000,  67.6809,  36.2079,  99.1225
1959.0000,   7.0000,  42.2706,   9.6817,  74.4003
1959.0000,   8.0000, 133.3065, 101.1346, 166.0059
1959.0000,   9.0000,  65.6212,  32.6646,  97.7146
1959.0000,  10.0000, -29.4805, -61.7987,   3.1528
1959.0000,  11.0000,-130.7820,-163.0521, -98.3906
1959.0000,  12.0000, -89.8315,-121.4804, -56.6149
1960.0000,   1.0000, -61.8596, -94.8685, -28.4333
1960.0000,   2.0000, -61.8510, -95.0252, -29.6809
1960.0000,   3.0000, -48.4368, -80.1274, -15.2690
1960.0000,   4.0000, 132.5680,  99.3773, 164.2752
1960.0000,   5.0000, 157.6535, 124.6188, 189.6956
1960.0000,   6.0000,  21.7838,  -9.1626,  54.3312
1960.0000,   7.0000,   5.7046, -25.4741,  37.2959
1960.0000,   8.0000,  -9.1087, -41.1910,  23.1085
1960.0000,   9.0000, -47.8074, -80.5428, -14.4222
1960.0000,  10.0000, -66.9142,-100.2115, -33.3909
1960.0000,  11.0000, -32.3872, -64.9717,   0.1053
1960.0000,  12.0000,-106.7012,-138.4586, -73.9832
1961.0000,   1.0000, -75.6689,-106.8412, -42.1939
1961.0000,   2.0000, -18.2346, -49.6112,  13.3057
1961.0000,   3.0000,   1.3791, -32.5149,  35.4059
1961.0000,   4.0000,  32.7754,  -0.1518,  64.1933
1961.0000,   5.0000,  83.7845,  51.0941, 117.2953
1961.0000,   6.0000,  42.8882,  10.6330,  75.2222
1961.0000,   7.0000,  26.6883,  -5.8069,  57.7523
1961.0000,   8.0000,  -4.2290, -35.4109,  28.7273
1961.0000,   9.0000,  42.2992,   9.7021,  75.1853
1961.0000,  10.0000, -10.5966, -44.6005,  21.9234
1961.0000,  11.0000, -43.6467, -76.4648, -10.2413
1961.0000,  12.0000, -74.8519,-108.1856, -43.2950
1962.0000,   1.0000, -83.1748,-116.6601, -51.4354
1962.0000,   2.0000, -10.4632, -42.5858,  23.7316
1962.0000,   3.0000, -31.3644, -64.3410,   1.4682
1962.0000,   4.0000,  22.2328,  -9.6238,  53.5211
1962.0000,   5.0000, 124.5893,  90.9146, 156.3348
1962.0000,   6.0000,  41.9639,  11.8965,  74.0407
1962.0000,   7.0000,  29.4855,  -2.6737,  61.6203
1962.0000,   8.0000,  65.1338,  32.7171,  98.8620
1962.0000,   9.0000,  20.9361, -13.3716,  52.5713
1962.0000,  10.0000, -63.0729, -95.1665, -30.8002
1962.0000,  11.0000, -81.1327,-113.6444, -47.4748
1962.0000,  12.0000, -89.2340,-122.5238, -57.4850
1963.0000,   1.0000, -64.2002, -95.6130, -31.9363
1963.0000,   2.0000, -34.8267, -66.1450,  -1.6539
1963.0000,   3.0000,   4.2578, -28.8697,  37.2722
1963.0000,   4.0000,  62.5677,  30.8456,  94.8013
1963.0000,   5.0000,  56.2088,  23.1961,  87.9974
1963.0000,   6.0000, 117.4862,  86.0941, 149.5967
1963.0000,   7.0000,  28.8833,  -3.0662,  61.5527
1963.0000,   8.0000,  43.0495,   9.9590,  76.1746
1963.0000,   9.0000, -19.6140, -52.4642,  13.9342
1963.0000,  10.0000, -32.7859, -65.1611,  -0.2176
1963.0000,  11.0000, -53.3344, -86.5470, -19.6761
1963.0000,  12.0000, -97.8440,-129.2832, -65.4890
1964.0000,   1.0000, -53.6444, -84.9691, -21.7772
1964.0000,   2.0000, -60.8307, -93.5958, -27.7006
1964.0000,   3.0000, -44.4969, -76.2399, -11.0019
1964.0000,   4.0000,  92.9332,  61.4104, 125.6420
1964.0000,   5.0000, 173.6600, 138.6316, 205.6574
1964.0000,   6.0000, 101.7853,  69.6946, 132.2877
1964.0000,   7.0000,  33.5672,   2.3253,  65.7022
1964.0000,   8.0000,  39.5234,   6.0061,  71.2333
1964.0000,   9.0000,  15.2202, -16.5422,  48.3163
1964.0000,  10.0000, -59.1842, -91.7258, -26.2042
1964.0000,  11.0000, -74.6744,-105.8606, -41.1195
1964.0000,  12.0000, -83.1384,-114.7105, -50.1167
1965.0000,   1.0000, -99.8349,-131.8010, -67.8510
1965.0000,   2.0000, -25.9696, -58.3819,   5.8783
1965.0000,   3.0000, -27.8251, -59.1786,   5.4258
1965.0000,   4.0000,  46.8570,  13.8270,  79.6039
1965.0000,   5.0000, 129.2143,  94.9802, 162.0718
1965.0000,   6.0000,  41.1019,   7.9700,  71.8810
1965.0000,   7.0000,  26.9120,  -5.6617,  59.2170
1965.0000,   8.0000,   7.1821, -24.2804,  39.0184
1965.0000,   9.0000,  35.6135,   3.6228,  69.1224
1965.0000,  10.0000, -18.1871, -50.7815,  13.3573
1965.0000,  11.0000, -25.7500, -58.7447,   8.6873
1965.0000,  12.0000, -51.5826, -84.0645, -19.3978
1966.0000,   1.0000, -71.9919,-104.7286, -39.5056
1966.0000,   2.0000, -28.1817, -62.5980,   4.3454
1966.0000,   3.0000,  21.8425, -10.5746,  54.5920
1966.0000,   4.0000,  39.5561,   7.2688,  72.3867
1966.0000,   5.0000,  81.3717,  50.3786, 114.4735
1966.0000,   6.0000,  63.0545,  30.4668,  95.8451
1966.0000,   7.0000,  16.6108, -14.7687,  48.4525
1966.0000,   8.0000,  62.6730,  30.3211,  93.7567
1966.0000,   9.0000, -67.3147,-100.6274, -35.8344
1966.0000,  10.0000, -11.8532, -45.2297,  22.0124
1966.0000,  11.0000, -67.5536,-102.2648, -35.6737
1966.0000,  12.0000, -73.3132,-106.0979, -40.9099
1967.0000,   1.0000, -38.9115, -71.9909,  -6.8749
1967.0000,   2.0000, -38.9985, -71.1033,  -6.7962
1967.0000,   3.0000, -12.2230, -43.9383,  21.4867
1967.0000,   4.0000, 105.8463,  72.4556, 139.1850
1967.0000,   5.0000,  39.3140,   8.3278,  72.2697
1967.0000,   6.0000,  98.2031,  67.4358, 130.1502
1967.0000,   7.0000,  13.5005, -18.5043,  45.4163
1967.0000,   8.0000,  26.1634,  -4.7918,  57.4189
1967.0000,   9.0000, -72.3003,-104.3001, -39.6719
1967.0000,  10.0000,   2.9571, -31.0457,  35.9562
1967.0000,  11.0000, -60.9228, -93.0039, -27.4226
1967.0000,  12.0000, -84.6482,-117.9277, -53.6039
1968.0000,   1.0000, -84.0565,-116.5973, -50.7641
1968.0000,   2.0000, -63.7154, -95.9018, -31.2641
1968.0000,   3.0000,  12.0163, -22.2394,  43.2354
1968.0000,   4.0000, 120.2715,  87.3149, 151.8841
1968.0000,   5.0000,  90.6369,  58.6064, 122.7308
1968.0000,   6.0000, 177.5821, 144.7509, 209.6990
1968.0000,   7.0000, 133.0780, 101.8184, 165.7482
1968.0000,   8.0000,  34.1540,  -0.2134,  66.5961
1968.0000,   9.0000,  49.1511,  16.9600,  82.1711
1968.0000,  10.0000,  -4.4241, -36.5035,  28.5789
1968.0000,  11.0000,-113.7729,-146.3921, -80.0496
1968.0000,  12.0000, -68.2297,-102.2013, -34.6852
1969.0000,   1.0000, -23.8891, -56.7861,   8.0441
1969.0000,   2.0000, -68.6847,-100.9376, -37.1831
1969.0000,   3.0000, -76.4191,-108.4144, -44.9941
1969.0000,   4.0000,  72.2146,  38.4319, 104.6574
1969.0000,   5.0000,  49.3156,  16.8086,  81.0024
1969.0000,   6.0000,  33.5743,   1.3272,  65.3348
1969.0000,   7.0000,  -4.5632, -37.5005,  28.3179
1969.0000,   8.0000, -17.0354, -49.0987,  14.8732
1969.0000,   9.0000, -56.7512, -89.1588, -23.5520
1969.0000,  10.0000, -12.0874, -45.0706,  20.0611
1969.0000,  11.0000, -59.7428, -94.1860, -27.7843
1969.0000,  12.0000, -81.8535,-116.7127, -49.2801
1970.0000,   1.0000, -59.3078, -91.2990, -27.2545
1970.0000,   2.0000, -72.7810,-105.0802, -41.3145
1970.0000,   3.0000, -44.0773, -76.5397, -12.9215
1970.0000,   4.0000,  69.3644,  36.6669, 100.8592
1970.0000,   5.0000, 194.1082, 161.3089, 226.3739
1970.0000,   6.0000,  83.6748,  52.0401, 115.4894
1970.0000,   7.0000, 100.2851,  67.5629, 131.5158
1970.0000,   8.0000, -39.9240, -71.8466,  -7.1548
1970.0000,   9.0000,  24.9235,  -7.2135,  58.0297
1970.0000,  10.0000,  67.3017,  35.3898,  99.2180
1970.0000,  11.0000, -12.3106, -46.2247,  22.7884
1970.0000,  12.0000, -75.7009,-108.1241, -43.0032
1971.0000,   1.0000, -94.0349,-126.0252, -60.0663
1971.0000,   2.0000, -17.0788, -50.1849,  15.4315
1971.0000,   3.0000, -28.0451, -62.0255,   3.3700
1971.0000,   4.0000,  51.6458,  19.8497,  83.8871
1971.0000,   5.0000, 124.5149,  92.8013, 156.4119
1971.0000,   6.0000,  68.7999,  36.5973, 102.1955
